x,y,group
84277.99700000137,446959.6020000018,external
84776.37200000137,445217.45800000057,external
82008.80000000075,454021.1000000015,external
81018.79100000113,452205.9459999986,external
81729.10700000077,450693.54399999976,external
126966.6099999994,476868.51199999824,engineering work
122988.94999999925,484411.118999999,engineering work
124990.14999999851,480577.1499999985,engineering work
121860.19999999925,488006.5,engineering work
123884.03599999845,485920.8839999996,engineering work
125859.85000000149,478992.8990000002,engineering work
127871.08100000024,464858.32400000095,engineering work
143957.57400000095,439853.7529999986,engineering work
124288.24599999934,481810.7650000006,engineering work
147018.0639999993,432726.8960000016,engineering work
148539.0,411325.0,engineering work
139936.33700000122,449620.5159999989,engineering work
140726.8909999989,447676.4470000006,engineering work
130807.43800000101,460866.3999999985,engineering work
136044.60599999875,455672.31599999964,engineering work
134605.20699999854,457252.3960000016,engineering work
146453.79,424424.55999999866,engineering work
138202.97399999946,453276.98999999836,engineering work
136872.12999999896,454504.6090000011,engineering work
91862.17399999872,437774.2890000008,external
112377.12999999896,480358.21599999815,external
208461.31599999964,376202.9239999987,accidents
182927.61899999902,385282.5469999984,accidents
200483.0,382191.0,accidents
209579.60399999842,375390.243999999,accidents
112846.0940000005,517566.61100000143,accidents
116835.2659999989,520429.63500000164,accidents
112377.12999999896,480358.21599999815,rolling stock
121860.19999999925,488006.5,rolling stock
117315.25899999961,485704.4310000017,rolling stock
117637.09600000083,489170.6719999984,rolling stock
91862.17399999872,437774.2890000008,rolling stock
112377.12999999896,480358.21599999815,rolling stock
187036.4849999994,330929.0229999982,engineering work
193241.88199999928,324097.7289999984,engineering work
196364.94799999893,322507.0859999992,engineering work
190573.4200000018,325676.23999999836,engineering work
187550.4549999982,328276.6469999999,engineering work
189349.24799999967,327792.04,engineering work
188107.28400000185,334803.7129999995,engineering work
139308.0,476946.0,engineering work
131623.35799999908,480504.26300000027,engineering work
234495.0,556742.1000000015,accidents
235028.9609999992,580495.9829999991,accidents
233603.33999999985,581086.0949999988,accidents
237254.99399999902,577322.7019999996,accidents
202650.45100000128,465785.31500000134,rolling stock
206802.0,463511.0,rolling stock
210240.0700000003,462160.375,rolling stock
79227.09299999848,390031.7320000008,accidents
66669.53500000015,383468.4290000014,accidents
61145.0,387141.0,accidents
69705.0,382218.0,accidents
203295.3900000006,366203.34600000083,accidents
207618.0,372446.5,accidents
108136.01199999824,478591.05799999833,rolling stock
112377.12999999896,480358.21599999815,rolling stock
90576.44299999997,395008.93299999833,logistical
126576.11899999902,502737.375,rolling stock
125567.34099999815,501809.2820000015,rolling stock
124224.73600000143,501021.78599999845,rolling stock
116006.55200000107,494683.29,rolling stock
