Year,Bike,Bus/tram/metro,Other,Passenger car (driver),Passenger car (passenger),Train,Walking
2018,18.5,6.5,17.6,108.8,38.7,22.8,5.2
2019,17.8,6.5,17.9,108.5,39,24.1,5.2
2020,15.5,2.9,12.1,79.4,25.8,9.6,6.6
2021,16.1,3.5,14.7,85.6,30.2,10.2,8.2
2022,18.4,5,15,92.9,32.7,15.8,7.2
