"ID";"Periods";"TotalEnergySupplyTPES_1";"IndigenousProductionTotal_2";"IndigenousProductionHardCoal_3";"IndigenousProductionLignite_4";"Imports_5";"Exports_6";"Bunkers_7";"StockChange_8";"PatentFuelOutput_9";"OutputTotal_10";"ManufactureOfCokeOvenProductsOutput_11";"OutputOther_12";"OutputByPublicGasWorksCompanies_13";"DeliveryByEnergyCompanies_14"
"49";"1851JJ00";"488";;"12";;"491";"15";;;;;;;;
"50";"1852JJ00";"559";;"16";;"559";"16";;;;;;;;
"51";"1853JJ00";"530";;"22";;"518";"10";;;;;;;;
"52";"1854JJ00";"628";;"29";;"608";"9";;;;;;;;
"53";"1855JJ00";"700";;"28";;"683";"11";;;;;;;;
"54";"1856JJ00";"680";;"28";;"663";"11";;;;;;;;
"55";"1857JJ00";"672";;"29";;"654";"11";;;;;;;;
"56";"1858JJ00";"746";;"28";;"724";"6";;;;;;;;
"57";"1859JJ00";"788";;"28";;"766";"6";;;;;;;;
"58";"1860JJ00";"976";;"26";;"956";"6";;;;;;;;
"59";"1861JJ00";"860";;"29";;"840";"9";;;;;;;;
"60";"1862JJ00";"858";;"24";;"841";"7";;;;;;;;
"61";"1863JJ00";"851";;"26";;"830";"5";;;;;;;;
"62";"1864JJ00";"1258";;"27";;"1252";"21";;;;;;;;
"63";"1865JJ00";"1442";;"27";;"1429";"14";;;;;;;;
"64";"1866JJ00";"1540";;"29";;"1545";"34";;;;;;;;
"65";"1867JJ00";"1547";;"31";;"1596";"80";;;;;;;;
"66";"1868JJ00";"1606";;"30";;"1625";"49";;;;;;;;
"67";"1869JJ00";"1655";;"31";;"1658";"34";;;;;;;;
"68";"1870JJ00";"1851";;"40";;"1842";"31";;;;;;;;
"69";"1871JJ00";"1874";;"45";;"1860";"31";;;;;;;;
"70";"1872JJ00";"2004";;"47";;"1987";"30";;;;;;;;
"71";"1873JJ00";"1918";;"62";;"1970";"114";;;;;;;;
"72";"1874JJ00";"1777";;"66";;"1781";"70";;;;;;;;
"73";"1875JJ00";"2024";;"64";;"2049";"89";;;;;;;;
"74";"1876JJ00";"2332";;"79";;"2322";"69";;;;;;;;
"75";"1877JJ00";"2352";;"56";;"2361";"65";;;;;;;;
"76";"1878JJ00";"2505";;"60";;"2516";"71";;;;;;;;
"77";"1879JJ00";"2693";;"69";;"2693";"69";;;;;;;;
"78";"1880JJ00";"2978";;"76";;"2992";"90";;;;;;;;
"79";"1881JJ00";"3001";;"80";;"3015";"94";;;;;;;;
"80";"1882JJ00";"3027";;"77";;"3047";"97";;;;;;;;
"81";"1883JJ00";"3292";;"84";;"3320";"112";;;;;;;;
"82";"1884JJ00";"3347";;"85";;"3333";"71";;;;;;;;
"83";"1885JJ00";"3499";;"83";;"3487";"71";;;;;;;;
"84";"1886JJ00";"3527";;"79";;"3516";"68";;;;;;;;
"85";"1887JJ00";"3585";;"89";;"3573";"77";;;;;;;;
"86";"1888JJ00";"3990";;"91";;"3978";"79";;;;;;;;
"87";"1889JJ00";"3885";;"101";;"3922";"138";;;;;;;;
"88";"1890JJ00";"3744";;"98";;"3765";"119";;;;;;;;
