Station Code,distance_VH,services_per_day_VH,n_of_disruptions_VH
RS,113,0,257
RSD,104,0.03225806451612903,196
RSN,163,0,414
RSW,27,0,25
RTA,55,0,206
RTB,47,0.03225806451612903,196
RTD,46,0.03225806451612903,126
RTN,51,0,196
RTST,51,0,205
RTZ,50,0,205
RV,201,0,365
RVS,133,0,275
SBK,222,0,397
SD,78,0,205
SDA,278,0,436
SDM,42,0.03225806451612903,126
SDT,76,0,315
SDTB,73,0,315
SGL,246,0,383
SGN,77,0,208
SHL,37,0,10
SK,262,0,379
SKND,261,0,379
SM,195,0,365
SN,224,0,398
SOG,244,0,384
SPTN,28,0.06451612903225806,98
SPTZ,26,0.06451612903225806,98
SRN,208,0,394
SSH,16,0,10
ST,77,0,205
STD,215,0,365
STM,273,0,442
STV,291,0,387
STZ,76,0,205
SWD,262,0,430
SWK,187,0,412
TB,117,0,519
TBG,152,0,475
TBR,112,0,538
TBU,116,0,540
TG,195,0,401
TL,96,0,305
TPSW,94,0,305
TWL,132,0,383
UHM,286,0,446
UHZ,283,0,446
UST,278,0,445
UT,58,0,108
UTG,40,0,118
UTLN,62,0,181
UTLR,55,0,122
UTO,61,0,181
UTT,53,0,117
UTVR,59,0,181
UTZL,60,0,181
VB,26,0,39
VD,152,0,383
VDL,238,0,384
VDM,278,0,443
VEM,136,0,385
VG,110,0,254
VH,0,0,0
VHP,185,0,372
VK,247,0,384
VL,190,0,400
VLB,167,0,501
VNDC,93,0,215
VNDW,92,0,215
VP,122,0,441
VRY,174,0,502
VS,179,0.03225806451612903,234
VSS,178,0.03225806451612903,234
VST,13,18.322580645161292,95
VSV,159,0,475
VTN,51,0,108
VZ,182,0,484
WAD,33,0,121
WADN,32,0,121
WADT,34,0,121
WC,140,0,278
WD,42,0,107
WDN,171,0,421
WF,108,0,203
WFM,275,0,445
WH,154,0,424
WK,278,0,382
WL,141,0,458
WM,47,0,144
WP,54,0,353
WR,305,0,454
WS,283,0,445
WSM,267,0,431
WT,166,0,316
WTV,121,0,440
WV,200,0,362
WW,180,0,494
WWW,181,0,494
WZ,136,0,361
YPB,30,0,42
ZA,118,0,308
ZB,270,0,439
ZBM,93,0,305
ZD,42,0,101
ZDK,45,0,104
ZH,263,0,430
ZL,145,0,348
ZLSH,150,0,362
ZLW,81,0,313
ZP,140,0,383
ZTM,35,0,39
ZTMO,36,0,42
ZV,130,0,438
ZVB,89,0,318
ZVT,29,0.9354838709677419,81
ZWD,64,0,310
ZZS,45,0,104
