Station Code,distance_DV,services_per_day_DV,n_of_disruptions_DV
AC,103,0,349
AH,45,34.29032258064516,3
AHP,44,0.8387096774193549,7
AHPR,42,0.8387096774193549,6
AHZ,53,0,260
AKL,122,0,321
AKM,108,0,74
ALM,105,0,253
ALMB,106,0,35
ALMM,104,0,252
ALMO,104,0,24
ALMP,107,0,384
AMF,58,51.32258064516129,0
AMFS,61,0,240
AML,39,72.58064516129032,0
AMPO,102,0,252
AMR,142,0,526
AMRI,41,6.419354838709677,70
AMRN,143,0,601
ANA,172,0,612
APD,15,85.83870967741936,0
APDM,16,0,35
APDO,12,30.258064516129032,0
APG,171,0,104
APN,114,0,250
ARN,239,0,747
ASA,100,0,244
ASB,100,0,244
ASD,103,15.806451612903226,241
ASDL,110,0,520
ASDM,99,0.03225806451612903,259
ASDZ,102,17.258064516129032,244
ASHD,101,0,258
ASN,109,0,24
ASS,107,0,499
ASSP,98,0.03225806451612903,259
ATN,73,0,14
AVAT,64,0,246
BD,150,32.38709677419355,388
BDE,189,0,462
BDG,106,0,241
BDM,152,0,93
BDPB,155,0,711
BET,129,0,418
BF,156,0,93
BGN,187,0,716
BHDV,133,0,341
BHV,70,0,244
BK,182,0,462
BKF,161,0,584
BKG,160,0,580
BKL,91,0,316
BL,93,0,29
BLL,125,0,536
BMN,23,0.8064516129032258,0
BMR,89,0,295
BN,48,6.419354838709677,70
BNC,77,0,241
BNK,87,0,313
BNN,74,0,240
BNZ,75,0,283
BP,150,0,41
BR,124,0,324
BRD,146,0,483
BRN,67,0.03225806451612903,240
BSD,108,0,320
BSK,120,0,331
BSKS,121,0,354
BSMZ,79,0.03225806451612903,241
BTL,119,0,375
BV,132,0,559
BZL,219,0,747
CAS,130,0,523
CK,79,0,292
CL,97,0,341
CO,79,0,87
CPS,124,0,398
CVM,199,0,479
DA,50,0,70
DB,91,0,313
DDN,56,0,15
DDR,150,0,354
DDRS,147,0,352
DDZD,151,0,471
DEI,130,0,41
DID,62,0,12
DL,43,0,24
DLD,67,0,240
DLN,83,0,101
DMN,96,0.03225806451612903,258
DMNZ,96,0.03225806451612903,258
DN,152,0,376
DR,29,34.29032258064516,0
DRH,130,0,555
DRON,63,0,24
DRP,137,0,55
DT,148,0,413
DTC,73,0,32
DTCH,71,0,32
DTCP,148,0,468
DV,0,0,0
DVC,4,33.096774193548384,0
DVD,98,16.032258064516128,241
DVN,52,0,9
DVNK,132,0,348
DWE,143,0,41
DZ,175,0,122
DZW,174,0,122
EC,162,0,459
ED,62,0,260
EDC,64,0,282
EDN,204,0,463
EEM,182,0,121
EGH,198,0,478
EGHM,199,0,478
EHS,138,0,494
EHV,139,0,375
EKZ,164,0,592
EML,74,0,27
EMN,99,0,102
EMNZ,95,0,101
ES,61,41.774193548387096,89
ESK,57,7.0,89
EST,56,0,260
ETN,161,32.38709677419355,711
FN,143,0,41
FWD,140,0,41
GBG,72,0,87
GD,111,17.483870967741936,313
GDG,108,0,313
GDM,101,0,277
GDR,78,0,49
GERP,135,0,77
GK,156,0,92
GLN,178,0,461
GN,137,0,77
GND,136,0,341
GNN,141,0,92
GO,46,0,7
GP,145,0,437
GR,127,0,339
GS,224,0,747
GV,140,0,398
GVC,139,17.451612903225808,398
GVM,140,0,433
GVMW,141,0,413
GW,113,0,81
GZ,140,0.1935483870967742,390
HAD,126,0,536
HB,189,0,492
HBZM,139,0,351
HD,70,0,24
HDB,66,0,74
HDE,49,0,24
HDG,136,0,41
HDR,184,0,621
HDRZ,183,0,621
HFD,118,0,368
HGL,53,48.38709677419355,70
HGLG,55,0,89
HGLO,55,0,89
HGV,79,0,24
HGZ,148,0,100
HIL,133,0,576
HK,129,0,559
HKS,156,0,576
HLG,152,0,42
HLGH,153,0,46
HLM,122,0,499
HLMS,121,0,520
HLO,137,0,526
HM,152,0,437
HMBH,153,0,441
HMBV,149,0,437
HMH,151,0,437
HMN,70,0,274
HN,146,0,520
HNK,147,0,576
HNO,43,0,24
HNP,168,0,44
HON,19,33.064516129032256,0
HOR,80,0,241
HR,97,0,24
HRL,193,0,461
HRLW,195,0,478
HRN,131,0,77
HRT,134,0,376
HT,107,32.41935483870968,302
HTN,87,0,313
HTNC,88,0,341
HTO,106,0,302
HVL,64,0,240
HVS,74,33.54838709677419,240
HVSM,75,0.03225806451612903,241
HVSP,75,0,241
HWD,149,0,602
HWZB,114,0,520
HZE,150,0,443
IJT,151,0,42
KBD,206,0,747
KBK,24,0,36
KLP,69,0,282
KMA,121,0,533
KMR,201,0,478
KMW,173,0,49
KPN,46,0,24
KPNZ,46,0,24
KRD,201,0,489
KRG,213,0,747
KTR,77,0,274
KW,145,0,98
KZ,115,0,523
LAA,140,0,427
LC,33,0,0
LDL,128,0,331
LDM,115,0,321
LEDN,129,0,338
LG,196,0,478
LLS,88,0,24
LLZM,124,0,398
LP,163,0,104
LTN,70,0,283
LTV,51,0,2
LUT,178,0,461
LW,126,0,24
LWC,129,0,41
MAS,86,0,313
MDB,243,0,747
MES,201,0,463
MG,136,0,41
MMLH,74,0,281
MP,59,0,24
MRB,58,0,71
MRN,99,0,345
MT,195,0,461
MTH,146,0,100
MTN,198,0,463
MTR,196,0,463
MZ,160,0,448
NDB,80,0.03225806451612903,241
NH,186,0,492
NKK,69,0,240
NM,64,33.29032258064516,260
NMD,69,0,281
NMGO,67,0,281
NMH,67,0,281
NML,63,0,274
NS,58,0,24
NSCH,181,0,107
NVD,42,0,7
NVP,123,0,496
NWK,120,0,398
O,88,32.41935483870968,281
OBD,155,0,612
ODB,181,0,716
ODZ,64,0,89
OMN,54,0,31
OP,73,0,274
OST,10,36.58064516129032,0
OT,128,0,418
OTB,49,0,260
OVN,124,0,536
OW,89,0,302
PMO,128,0,521
PMR,127,0,520
PMW,126,0,523
PT,76,0,243
RAI,101,0,244
RAT,49,0,24
RB,203,0,747
RD,175,0,108
RH,35,0.8387096774193549,3
RHN,122,0,348
RL,38,0,2
RLB,142,0,477
RM,149,0,410
RS,100,0.03225806451612903,302
RSD,174,32.38709677419355,711
RSN,26,37.193548387096776,0
RSW,143,0,413
RTA,125,0,398
RTB,136,0,468
RTD,135,0,398
RTN,130,0,400
RTST,140,0,477
RTZ,139,0,477
RV,138,0,396
RVS,80,0,260
SBK,181,0,491
SD,71,0,254
SDA,164,0,98
SDM,139,0,468
SDT,140,0,351
SDTB,143,0,352
SGL,205,0,477
SGN,163,0,612
SHL,113,15.935483870967742,318
SK,148,0,41
SKND,147,0,41
SM,144,0,410
SN,183,0,492
SOG,203,0,478
SPTN,129,0,554
SPTZ,127,0,554
SRN,167,0,488
SSH,134,0,496
ST,72,0,254
STD,174,0,459
STM,159,0,104
STV,177,0,49
STZ,73,0,244
SWD,148,0,92
SWK,73,0,74
TB,129,32.38709677419355,375
TBG,79,0,49
TBR,134,0.1935483870967742,388
TBU,130,0.0967741935483871,388
TG,131,0,377
TL,89,0,277
TPSW,91,0,277
TWL,5,32.645161290322584,0
UHM,172,0,108
UHZ,169,0,108
UST,164,0,107
UT,79,17.580645161290324,240
UTG,126,0,558
UTLN,83,0,313
UTLR,82,0,313
UTO,76,0.03225806451612903,264
UTT,84,0,313
UTVR,80,0,313
UTZL,81,0,313
VB,136,0.03225806451612903,398
VD,28,0,0
VDL,197,0,478
VDM,164,0,105
VEM,20,0,0
VG,111,0,375
VH,137,0,348
VHP,52,0,71
VK,206,0,478
VL,126,0,376
VLB,96,0,323
VNDC,114,0,347
VNDW,113,0,347
VP,39,0.8387096774193549,6
VRY,103,0,324
VS,249,0,749
VSS,248,0,749
VST,134,0,433
VSV,82,0,33
VTN,86,0,318
VZ,45,0,70
WAD,119,0,398
WADN,120,0,398
WADT,118,0,398
WC,73,0.03225806451612903,260
WD,95,0,240
WDN,34,30.612903225806452,7
WF,53,0,260
WFM,161,0,107
WH,17,36.58064516129032,10
WK,164,0,44
WL,68,0,32
WM,119,0,523
WP,89,0.03225806451612903,252
WR,191,0,116
WS,169,0,107
WSM,153,0,93
WT,167,0,437
WTV,48,0,9
WV,86,0,24
WW,61,0,14
WWW,60,0,14
WZ,40,0,24
YPB,132,0,398
ZA,67,0,274
ZB,156,0,101
ZBM,110,0,320
ZD,113,0,520
ZDK,116,0,523
ZH,149,0,92
ZL,31,36.74193548387097,10
ZLSH,36,0,24
ZLW,165,0,729
ZP,16,39.225806451612904,0
ZTM,127,0,398
ZTMO,126,0,398
ZV,57,0,12
ZVB,173,0,734
ZVT,130,0,537
ZWD,152,0,471
ZZS,116,0,523
