Station Code,Distance from DDZD,Services from/to DDZD,Disruptions on path to DDZD
ZA,84,0.0,197
ZB,288,0.0,679
ZBM,59,0.0,194
ZD,109,0.0,258
ZDK,112,0.0,261
ZH,281,0.0,670
ZL,163,0.0,588
ZLSH,168,0.0,602
ZLW,14,60.12903225806452,0
ZP,135,0.0,471
ZTM,56,0.0,332
ZTMO,57,0.0,335
ZV,120,0.0,468
ZVB,22,29.41935483870968,5
ZVT,96,0.0,391
ZWD,3,0.0,117
ZZS,112,0.0,261
