Station Code,Distance from VDL,Services from/to VDL,Disruptions on path to VDL
SHL,226,0.0,290
SK,345,0.0,585
SKND,344,0.0,585
SM,53,0.0,68
SN,14,0.0,17
SOG,6,38.41935483870968,0
SPTN,245,0.0,589
SPTZ,243,0.0,589
SRN,30,0.0,19
SSH,238,0.0,384
ST,199,0.0,300
STD,23,0.0,17
STM,356,0.0,648
STV,374,0.0,593
STZ,198,0.0,300
SWD,345,0.0,636
SWK,270,0.0,618
TB,137,0.0,130
TBG,188,0.0,512
TBR,142,0.0,143
TBU,138,0.0,143
TG,66,0.0,82
TL,166,0.0,246
TPSW,164,0.0,246
TWL,202,0.0,544
UHM,369,0.0,652
UHZ,366,0.0,652
UST,361,0.0,651
UT,180,0.0,203
UTG,242,0.0,593
UTLN,176,0.0,327
UTLR,183,0.0,276
UTO,183,0.0,276
UTT,185,0.0,276
UTVR,179,0.0,327
UTZL,182,0.0,276
VB,234,0.0,668
VD,193,0.0,478
VDL,0,0.0,0
VDM,361,0.0,649
VEM,185,0.0,478
VG,128,0.0,249
VH,238,0.0,384
VHP,249,0.0,615
VK,9,38.41935483870968,0
VL,71,0.0,101
VLB,101,0.0,154
VNDC,213,0.0,405
VNDW,212,0.0,405
VP,158,0.0,478
VRY,94,0.0,154
VS,257,0.0,491
VSS,256,0.0,491
VST,235,0.0,469
VSV,195,0.0,512
VTN,187,0.0,281
VZ,242,0.0,614
WAD,220,0.0,361
WADN,221,0.0,361
WADT,219,0.0,361
WC,142,0.0,218
WD,196,0.0,276
WDN,231,0.0,551
WF,160,0.0,475
WFM,358,0.0,651
WH,214,0.0,554
WK,361,0.0,588
WL,177,0.0,495
WM,235,0.0,558
WP,213,0.0,288
WR,388,0.0,660
WS,366,0.0,651
WSM,350,0.0,637
WT,72,0.0,68
WTV,157,0.0,477
WV,283,0.0,568
WW,216,0.0,531
WWW,217,0.0,531
WZ,237,0.0,568
YPB,233,0.0,361
ZA,152,0.0,232
ZB,353,0.0,645
ZBM,145,0.0,203
ZD,229,0.0,555
ZDK,232,0.0,558
ZH,346,0.0,636
ZL,228,0.0,554
ZLSH,233,0.0,568
ZLW,173,0.0,471
ZP,181,0.0,478
ZTM,228,0.0,361
ZTMO,227,0.0,361
ZV,166,0.0,475
ZVB,181,0.0,476
ZVT,246,0.0,572
ZWD,190,0.0,570
ZZS,232,0.0,558
