Station Code,Distance from DRP,Services from/to DRP,Disruptions on path to DRP
AC,217,0.0,377
AH,182,0.0,124
AHP,181,0.0,128
AHPR,179,0.0,127
AHZ,190,0.0,381
AKL,240,0.0,388
AKM,29,0.0,33
ALM,187,0.0,56
ALMB,181,0.0,56
ALMM,188,0.0,187
ALMO,179,0.0,45
ALMP,185,0.0,61
AMF,172,0.0,31
AMFS,169,0.0,45
AML,151,0.0,66
AMPO,190,0.0,188
AMR,256,0.0,330
AMRI,153,0.0,136
AMRN,257,0.0,405
ANA,286,0.0,416
APD,152,0.0,45
APDM,153,0.0,80
APDO,149,0.0,121
APG,99,0.0,58
APN,228,0.0,281
ARN,371,0.0,541
ASA,214,0.0,49
ASB,214,0.0,49
ASD,217,0.0,45
ASDL,224,0.0,303
ASDM,213,0.0,271
ASDZ,216,0.0,46
ASHD,215,0.0,63
ASN,93,0.0,46
ASS,221,0.0,303
ASSP,212,0.0,64
ATN,210,0.0,135
AVAT,166,0.0,51
BD,284,0.0,430
BDE,326,0.0,582
BDG,220,0.0,272
BDM,80,0.0,47
BDPB,289,0.0,753
BET,263,0.0,344
BF,84,0.0,47
BGN,319,0.0,540
BHDV,251,0.0,408
BHV,184,0.0,275
BK,319,0.0,583
BKF,275,0.0,388
BKG,274,0.0,384
BKL,205,0.0,344
BL,109,0.0,99
BLL,239,0.0,340
BMN,160,0.0,121
BMR,226,0.0,416
BN,160,0.0,136
BNC,191,0.0,272
BNK,201,0.0,344
BNN,188,0.0,271
BNZ,193,0.0,288
BP,35,0.0,31
BR,261,0.0,445
BRD,260,0.0,505
BRN,181,0.0,271
BSD,226,0.0,387
BSK,234,0.0,362
BSKS,235,0.0,385
BSMZ,193,0.0,46
BTL,253,0.0,417
BV,246,0.0,324
BZL,351,0.0,571
CAS,244,0.0,327
CK,216,0.0,413
CL,211,0.0,372
CO,161,0.0,65
CPS,238,0.0,429
CVM,336,0.0,600
DA,148,0.0,55
DB,205,0.0,344
DDN,170,0.0,155
DDR,268,0.0,419
DDRS,265,0.0,419
DDZD,269,0.0,536
DEI,7,17.70967741935484,0
DID,199,0.0,133
DL,118,0.0,45
DLD,181,0.0,271
DLN,165,0.0,79
DMN,210,0.0,63
DMNZ,210,0.0,46
DN,289,0.0,497
DR,166,0.0,121
DRH,244,0.0,341
DRON,138,0.0,45
DRP,0,0.0,0
DT,262,0.0,444
DTC,210,0.0,153
DTCH,208,0.0,153
DTCP,262,0.0,499
DV,137,0.0,55
DVC,141,0.0,121
DVD,212,0.0,46
DVN,189,0.0,130
DVNK,246,0.0,379
DWE,28,0.0,31
DZ,103,0.0,76
DZW,102,0.0,76
EC,299,0.0,580
ED,199,0.0,381
EDC,201,0.0,403
EDN,341,0.0,584
EEM,110,0.0,75
EGH,335,0.0,599
EGHM,336,0.0,599
EHS,272,0.0,420
EHV,273,0.0,420
EKZ,278,0.0,396
EML,149,0.0,48
EMN,181,0.0,80
EMNZ,177,0.0,79
ES,173,0.0,155
ESK,169,0.0,155
EST,193,0.0,381
ETN,295,0.0,753
FN,6,19.096774193548388,0
FWD,25,0.0,31
GBG,154,0.0,65
GD,225,0.0,344
GDG,222,0.0,344
GDM,219,0.0,344
GDR,215,0.0,170
GERP,67,0.0,46
GK,46,0.0,54
GLN,315,0.0,582
GN,65,0.0,31
GND,254,0.0,408
GNN,69,0.0,46
GO,180,0.0,188
GP,279,0.0,482
GR,245,0.0,406
GS,356,0.0,541
GV,254,0.0,429
GVC,253,0.0,347
GVM,254,0.0,464
GVMW,255,0.0,444
GW,24,0.0,31
GZ,274,0.0,432
HAD,240,0.0,324
HB,326,0.0,613
HBZM,257,0.0,418
HD,145,0.0,45
HDB,148,0.0,52
HDE,124,0.0,45
HDG,21,0.0,31
HDR,298,0.0,425
HDRZ,297,0.0,425
HFD,232,0.0,120
HGL,165,0.0,136
HGLG,167,0.0,155
HGLO,167,0.0,155
HGV,98,0.0,88
HGZ,80,0.0,69
HIL,247,0.0,324
HK,243,0.0,363
HKS,270,0.0,380
HLG,15,19.096774193548388,1
HLGH,16,19.096774193548388,5
HLM,236,0.0,303
HLMS,235,0.0,324
HLO,251,0.0,330
HM,286,0.0,482
HMBH,287,0.0,486
HMBV,283,0.0,482
HMH,285,0.0,482
HMN,207,0.0,395
HN,260,0.0,324
HNK,261,0.0,380
HNO,118,0.0,45
HNP,53,0.0,34
HON,156,0.0,121
HOR,194,0.0,46
HR,40,0.0,31
HRL,330,0.0,582
HRLW,332,0.0,599
HRN,71,0.0,46
HRT,271,0.0,497
HT,241,0.0,344
HTN,201,0.0,344
HTNC,202,0.0,372
