Station Code,Distance from UHM,Services from/to UHM,Disruptions on path to UHM
AC,252,0.0,396
AH,217,0.0,129
AHP,216,0.0,133
AHPR,214,0.0,132
AHZ,225,0.0,386
AKL,275,0.0,407
AKM,107,0.0,50
ALM,222,0.0,50
ALMB,216,0.0,50
ALMM,223,0.0,181
ALMO,214,0.0,50
ALMP,220,0.0,55
AMF,207,0.0,50
AMFS,204,0.0,50
AML,186,0.0,71
AMPO,225,0.0,182
AMR,291,0.0,335
AMRI,188,0.0,141
AMRN,292,0.0,410
ANA,321,0.0,421
APD,187,0.0,50
APDM,188,0.0,85
APDO,184,0.0,126
APG,47,0.0,27
APN,263,0.0,300
ARN,406,0.0,560
ASA,249,0.0,184
ASB,249,0.0,184
ASD,252,0.0,50
ASDL,259,0.0,308
ASDM,248,0.0,290
ASDZ,251,0.0,181
ASHD,250,0.0,198
ASN,63,0.0,31
ASS,256,0.0,308
ASSP,247,0.0,189
ATN,245,0.0,140
AVAT,201,0.0,56
BD,319,0.0,449
BDE,361,0.0,587
BDG,255,0.0,291
BDM,28,0.0,16
BDPB,324,0.0,772
BET,298,0.0,363
BF,16,34.03225806451613,1
BGN,354,0.0,559
BHDV,286,0.0,427
BHV,219,0.0,294
BK,354,0.0,588
BKF,310,0.0,393
BKG,309,0.0,389
BKL,240,0.0,363
BL,79,0.0,84
BLL,274,0.0,345
BMN,195,0.0,126
BMR,261,0.0,421
BN,195,0.0,141
BNC,226,0.0,291
BNK,236,0.0,363
BNN,223,0.0,290
BNZ,228,0.0,307
BP,65,0.0,31
BR,296,0.0,450
BRD,295,0.0,524
BRN,216,0.0,290
BSD,261,0.0,406
BSK,269,0.0,381
BSKS,270,0.0,404
BSMZ,228,0.0,51
BTL,288,0.0,436
BV,281,0.0,329
BZL,386,0.0,590
CAS,279,0.0,332
CK,251,0.0,418
CL,246,0.0,391
CO,196,0.0,70
CPS,273,0.0,448
CVM,371,0.0,605
DA,183,0.0,60
DB,240,0.0,363
DDN,205,0.0,160
DDR,303,0.0,438
DDRS,300,0.0,438
DDZD,304,0.0,555
DEI,93,0.0,48
DID,234,0.0,138
DL,153,0.0,50
DLD,216,0.0,290
DLN,200,0.0,84
DMN,245,0.0,188
DMNZ,245,0.0,51
DN,324,0.0,502
DR,201,0.0,126
DRH,279,0.0,346
DRON,173,0.0,50
DRP,100,0.0,62
DT,297,0.0967741935483871,15
DTC,245,0.0,158
DTCH,243,0.0,158
DTCP,297,0.0,518
DV,172,0.0,60
DVC,176,0.0,126
DVD,247,0.0,181
DVN,224,0.0,135
DVNK,281,0.0,398
DWE,72,0.0,54
DZ,51,0.0,45
DZW,50,0.0,45
EC,334,0.0,585
ED,234,0.0,386
EDC,236,0.0,408
EDN,376,0.0,589
EEM,10,4.709677419354839,13
EGH,370,0.0,604
EGHM,371,0.0,604
EHS,307,0.0,439
EHV,308,0.0,439
EKZ,313,0.0,401
EML,184,0.0,53
EMN,216,0.0,85
EMNZ,212,0.0,84
ES,208,0.0,160
ESK,204,0.0,160
EST,228,0.0,386
ETN,330,0.0,772
FN,106,0.0,48
FWD,75,0.0,31
GBG,189,0.0,70
GD,260,0.0,363
GDG,257,0.0,363
GDM,254,0.0,363
GDR,250,0.0,175
GERP,37,0.0,31
GK,54,0.0,31
GLN,350,0.0,587
GN,35,34.03225806451613,16
GND,289,0.0,427
GNN,31,34.0,16
GO,215,0.0,193
GP,314,0.0,501
GR,280,0.0,425
GS,391,0.0,560
GV,289,0.064516129032258,0
GVC,288,0.064516129032258,1
GVM,289,0.0,483
GVMW,290,0.064516129032258,0
GW,102,0.0,48
GZ,309,0.0,451
HAD,275,0.0,329
HB,361,0.0,618
HBZM,292,0.0,437
HD,180,0.0,50
HDB,183,0.0,57
HDE,159,0.0,50
HDG,79,0.0,31
HDR,333,0.0,430
HDRZ,332,0.0,430
HFD,267,0.0,255
HGL,200,0.0,141
HGLG,202,0.0,160
HGLO,202,0.0,160
HGV,93,0.0,31
HGZ,50,0.0,54
HIL,282,0.0,329
HK,278,0.0,368
HKS,305,0.0,385
HLG,115,0.0,49
HLGH,116,0.0,53
HLM,271,0.0,308
HLMS,270,0.0,329
HLO,286,0.0,335
HM,321,0.0,501
HMBH,322,0.0,505
HMBV,318,0.0,501
HMH,320,0.0,501
HMN,242,0.0,400
HN,295,0.0,329
HNK,296,0.0,385
HNO,153,0.0,50
HNP,131,0.0,51
HON,191,0.0,126
HOR,229,0.0,51
HR,118,0.0,48
HRL,365,0.0,587
HRLW,367,0.0,604
HRN,41,0.0,31
HRT,306,0.0,502
HT,276,0.0,363
HTN,236,0.0,363
HTNC,237,0.0,391
HTO,277,0.0,436
HVL,213,0.0,290
HVS,223,0.0,50
HVSM,224,0.0,51
HVSP,224,0.0,51
HWD,298,0.0,411
HWZB,263,0.0,329
HZE,319,0.0,507
IJT,114,0.0,49
KBD,373,0.0,560
KBK,196,0.0,86
KLP,241,0.0,408
KMA,270,0.0,342
KMR,373,0.0,604
KMW,136,0.0,56
KPN,156,0.0,50
KPNZ,156,0.0,50
