station,distance,services_per_day,n_of_disruptions
TBU,117,0,171
TG,181,0,666
TL,84,0,209
TPSW,82,0,209
TWL,97,0,287
UHM,225,0,241
UHZ,222,0,241
UST,217,0,240
UT,46,0,12
UTG,50,0,338
UTLN,50,0,85
UTLR,49,0,85
UTM,54,0,85
UTO,43,0,12
UTT,51,0,85
UTVR,47,0,85
UTZL,48,0,85
VB,84,0,171
VD,117,0,287
VDL,226,0,288
VDM,217,0,238
VEM,101,0,289
VG,98,0,158
VH,67,0,359
VHP,124,0,167
VK,235,0,288
VL,176,0,665
VLB,146,0,612
VNDC,81,0,119
VNDW,80,0,119
VP,101,0,552
VRY,153,0,613
VS,234,0,398
VSS,233,0,398
VST,71,0,237
VSV,138,0,586
VTN,53,0,90
VZ,131,0,168
WAD,86,0,170
WADN,87,0,170
WADT,85,0,170
WC,123,0,549
WD,62,0,85
WDN,124,0,169
WF,87,0,292
WFM,214,0,240
WH,98,0,157
WK,217,0,166
WL,120,0,569
WM,43,0,303
WP,13,0,0
WR,244,0,249
WS,222,0,240
WSM,206,0,226
WT,154,0,220
WTV,100,0,551
WV,139,0,146
WW,150,0,301
WWW,149,0,301
WZ,93,0,157
YPB,88,0,174
ZA,106,0,212
ZB,209,0,234
ZBM,81,0,209
ZD,37,0,300
ZDK,40,0,303
ZH,202,0,225
ZL,84,0,143
ZLSH,89,0,157
ZLW,136,0,360
ZP,105,0,287
ZTM,93,0,171
ZTMO,93,0,170
ZV,109,0,549
ZVB,144,0,365
ZVT,54,0,317
ZWD,120,0,354
ZZS,40,0,303
