Station Code,Distance from WM,Services from/to WM,Disruptions on path to WM
AC,31,44.354838709677416,296
AH,112,0.032258064516129,576
AHP,113,0.0,833
AHPR,115,0.0,833
AHZ,120,0.0,833
AKL,102,0.0,399
AKM,204,0.0,346
ALM,46,0.0,282
ALMB,52,0.0,413
ALMM,45,0.0,289
ALMO,54,0.0,413
ALMP,48,0.0,413
AMF,61,0.0,296
AMFS,64,0.0,536
AML,158,0.0,602
AMPO,43,0.0,289
AMR,23,4.451612903225806,3
AMRI,160,0.0,672
AMRN,24,0.967741935483871,78
ANA,53,0.967741935483871,89
APD,104,0.0,536
APDM,105,0.0,571
APDO,107,0.0,571
APG,267,0.0,376
APN,70,0.0,98
ARN,216,0.0,282
ASA,22,44.38709677419355,282
ASB,26,44.354838709677416,282
ASD,16,47.354838709677416,24
ASDL,15,0.0,24
ASDM,20,44.354838709677416,282
ASDZ,28,0.0,282
ASHD,27,44.354838709677416,296
ASN,205,0.0,296
ASS,12,47.354838709677416,3
ASSP,21,0.0,282
ATN,164,0.0,870
AVAT,67,0.0,542
BD,143,0.0,277
BDE,227,0.0,544
BDG,73,0.0,283
BDM,248,0.0,365
BDPB,138,0.0,329
BET,125,0.0,355
BF,252,0.0,365
BGN,164,0.0,328
BHDV,113,0.0,419
BHV,64,0.0,355
BK,220,0.0,545
BKF,54,0.0,67
BKG,53,0.0,63
BKL,43,44.354838709677416,423
BL,189,0.0,296
BLL,23,0.0,46
BMN,129,0.0,571
BMR,156,0.0,611
BN,167,0.0,672
BNC,80,0.0,537
BNK,63,6.096774193548387,355
BNN,77,0.0,536
BNZ,82,0.0,553
BP,246,0.0,553
BR,185,0.0,525
BRD,104,0.0,283
BRN,52,0.0,283
BSD,88,0.0,398
BSK,76,0.0,179
BSKS,77,0.0,202
BSMZ,40,0.0,300
BTL,115,0.0,428
BV,13,0.0,26
BZL,196,0.0,359
CAS,11,4.451612903225806,0
CK,146,0.0,608
CL,73,0.0,383
CO,182,0.0,316
CPS,91,35.45161290322581,368
CVM,225,0.0,124
DA,169,0.0,306
DB,67,6.129032258064516,355
DDN,162,0.0,586
DDR,113,0.0,207
DDRS,116,0.0,324
DDZD,114,0.0,324
DEI,226,0.0,553
DID,131,0.0,833
DL,139,0.0,296
DLD,64,0.0,297
DLN,186,0.0,330
DMN,23,0.0,282
DMNZ,26,0.0,322
DN,157,0.0,497
DR,128,0.0,833
DRH,18,0.0,44
DRON,95,0.0,427
DRP,233,0.0,567
DT,79,0.0,106
DTC,142,0.0,853
DTCH,140,0.0,853
DTCP,80,0.0,207
DV,119,0.0,536
DVC,123,0.0,571
DVD,24,44.354838709677416,319
DVN,121,0.0,835
DVNK,58,0.0,91
DWE,239,0.0,553
DZ,271,0.0,394
DZW,270,0.0,394
EC,200,0.0,542
ED,95,0.032258064516129,554
EDC,93,0.0,553
EDN,242,0.0,546
EEM,278,0.0,393
EGH,224,0.0,123
EGHM,225,0.0,123
EHS,134,0.0,431
EHV,135,0.0,431
EKZ,57,0.0,75
EML,84,0.0,536
EMN,202,0.0,331
EMNZ,198,0.0,330
ES,175,0.0,638
ESK,171,0.0,638
EST,123,0.0,833
ETN,154,0.0,600
FN,239,0.0,553
FWD,236,0.0,553
GBG,175,0.0,316
GD,78,35.45161290322581,283
GDG,75,35.45161290322581,283
GDM,81,0.0,355
GDR,147,0.0,870
GERP,231,0.0,349
GK,252,0.0,364
GLN,216,0.0,544
GN,233,0.0,349
GND,116,0.0,419
GNN,237,0.0,364
GO,152,0.0,578
GP,141,0.0,493
GR,107,0.0,417
GS,201,0.0,282
GV,71,0.0,91
GVC,70,0.0,91
GVM,66,0.0,176
GVMW,72,0.0,106
GW,209,0.0,353
GZ,136,0.0,443
HAD,30,0.0,81
HB,223,0.0,123
HBZM,119,0.0,429
HD,88,0.0,539
HDB,169,0.0,303
HDE,109,0.0,536
HDG,232,0.0,553
HDR,65,0.967741935483871,98
HDRZ,64,0.967741935483871,98
HFD,32,0.0,74
HGL,167,0.0,619
HGLG,165,0.0,619
HGLO,169,0.0,638
HGV,175,0.0,296
HGZ,244,0.0,372
HIL,37,0.0,46
HK,10,0.0,26
HKS,49,0.0,59
HLG,248,0.0,554
HLGH,249,0.0,558
HLM,26,0.0,44
HLMS,26,0.0,24
HLO,18,4.451612903225806,3
HM,148,0.0,493
HMBH,149,0.0,497
HMBV,145,0.0,493
HMH,147,0.0,493
HMN,112,0.0,401
HN,39,0.0,3
HNK,40,0.0,59
HNO,139,0.0,296
HNP,264,0.0,556
HON,138,0.0,571
HOR,51,0.0,282
HR,193,0.0,353
HRL,219,0.0,106
HRLW,221,0.0,123
HRN,227,0.0,349
HRT,175,0.0,525
HT,103,0.0,355
HTN,63,0.0,355
HTNC,64,0.0,383
HTO,104,0.0,428
HVL,67,0.0,536
HVS,45,0.0,282
HVSM,44,0.0,333
HVSP,46,0.0,283
HWD,30,0.967741935483871,79
HWZB,19,0.0,24
HZE,146,0.0,499
IJT,247,0.0,554
KBD,183,0.0,282
KBK,113,0.0,572
KLP,89,0.0,355
KMA,2,47.064516129032256,0
KMR,227,0.0,123
KMW,269,0.0,561
KPN,142,0.0,3
KPNZ,112,0.0,428
KRD,227,0.0,134
KRG,190,0.0,282
KTR,105,0.0,398
KW,241,0.0,370
KZ,4,47.80645161290322,0
LAA,69,0.0,91
LC,139,0.0,571
LDL,56,0.0,91
LDM,95,0.0,399
LEDN,55,0.0,81
LG,222,0.0,123
LLS,70,0.0,413
LLZM,85,0.0,120
LP,259,0.0,376
LTN,87,0.0,553
LTV,157,0.0,573
LUT,216,0.0,544
LW,222,0.0,536
LWC,225,0.0,553
MAS,48,8.903225806451612,296
MDB,220,0.0,309
MES,239,0.0,546
MG,232,0.0,553
MMLH,141,0.0,597
MP,155,0.0,296
MRB,161,0.0,303
MRN,75,1.064516129032258,387
MT,233,0.0,544
MTH,242,0.0,372
MTN,236,0.0,546
MTR,234,0.0,546
MZ,156,0.0,504
NDB,39,0.0,289
NH,224,0.0,575
NKK,72,0.0,536
NM,131,0.032258064516129,576
NMD,136,0.0,597
NMGO,134,0.0,597
NMH,134,0.0,597
NML,130,0.0,847
NS,100,0.0,536
NSCH,277,0.0,379
NVD,159,0.0,305
NVP,37,0.0,74
NWK,87,35.45161290322581,368
O,122,0.0,428
OBD,36,0.0,89
ODB,144,0.0,329
ODZ,178,0.0,638
OMN,150,0.0,303
OP,109,0.0,401
OST,129,0.0,602
OT,124,0.0,471
OTB,108,0.0,576
OVN,28,0.0,81
OW,121,0.0,428
PMO,21,0.0,3
