Station Code,Distance from CVM,Services from/to CVM,Disruptions on path to CVM
OVN,201,0.0,43
OW,152,0.0,185
PMO,235,0.0,64
PMR,234,0.0,64
PMW,233,0.0,67
PT,221,0.0,498
RAI,211,0.0,186
RAT,248,0.0,569
RB,213,0.0,490
RD,374,0.0,653
RH,164,0.0,477
RHN,223,0.0,388
RL,205,0.0,481
RLB,181,0.0,189
RM,50,0.0,20
RS,141,0.0,185
RSD,184,0.0,454
RSN,225,0.0,479
RSW,155,0.0,18
RTA,184,0.0,189
RTB,175,0.0,189
RTD,174,0.0,119
RTN,179,0.0,189
RTST,179,0.0,189
RTZ,178,0.0,189
RV,61,0.0,69
RVS,151,0.0,219
SBK,18,0.0,18
SD,202,0.0,282
SDA,363,0.0,643
SDM,170,0.0,119
SDT,195,0.0,259
SDTB,197,0.0,571
SGL,22,36.41935483870968,18
SGN,255,0.0,169
SHL,199,0.0,62
SK,347,0.0,586
SKND,346,0.0,586
SM,55,0.0,69
SN,16,0.0,18
SOG,16,36.41935483870968,18
SPTN,206,0.0,43
SPTZ,204,0.0,43
SRN,32,0.0,20
SSH,178,0.0,43
ST,201,0.0,282
STD,25,0.0,18
STM,358,0.0,649
STV,376,0.0,594
STZ,200,0.0,282
SWD,347,0.0,637
SWK,272,0.0,619
TB,139,0.0,112
TBG,190,0.0,513
TBR,144,0.0,125
TBU,140,0.0,125
TG,68,0.0,83
TL,168,0.0,228
TPSW,166,0.0,228
TWL,204,0.0,545
UHM,371,0.0,653
UHZ,368,0.0,653
UST,363,0.0,652
UT,182,0.0,185
UTG,218,0.0,63
UTLN,178,0.0,309
UTLR,185,0.0,258
UTO,185,0.0,258
UTT,187,0.0,258
UTVR,181,0.0,309
UTZL,184,0.0,258
VB,158,0.0,62
VD,195,0.0,479
VDL,10,36.41935483870968,18
VDM,363,0.0,650
VEM,187,0.0,479
VG,130,0.0,112
VH,178,0.0,43
VHP,251,0.0,616
VK,19,36.41935483870968,18
VL,73,0.0,102
VLB,103,0.0,155
VNDC,215,0.0,387
VNDW,214,0.0,387
VP,160,0.0,477
VRY,96,0.0,155
VS,259,0.0,486
VSS,258,0.0,459
VST,165,0.0,36
VSV,197,0.0,513
VTN,189,0.0,263
VZ,244,0.0,615
WAD,191,0.0,118
WADN,192,0.0,118
WADT,190,0.0,118
WC,144,0.0,219
WD,198,0.0,258
WDN,233,0.0,486
WF,162,0.0,219
WFM,360,0.0,652
WH,216,0.0,555
WK,363,0.0,589
WL,179,0.0,496
WM,225,0.0,89
WP,215,0.0,270
WR,390,0.0,661
WS,368,0.0,652
WSM,352,0.0,638
WT,74,0.0,69
WTV,159,0.0,478
WV,285,0.0,569
WW,218,0.0,532
WWW,219,0.0,532
WZ,239,0.0,569
YPB,162,0.0,65
ZA,154,0.0,233
ZB,355,0.0,646
ZBM,147,0.0,185
ZD,220,0.0,64
ZDK,223,0.0,67
ZH,348,0.0,637
ZL,230,0.0,555
ZLSH,235,0.0,569
ZLW,175,0.0,472
ZP,183,0.0,479
ZTM,167,0.0,62
ZTMO,168,0.0,62
ZV,168,0.0,476
ZVB,183,0.0,477
ZVT,207,0.0,43
ZWD,192,0.0,294
ZZS,223,0.0,67
