Station Code,Distance from TG,Services from/to TG,Disruptions on path to TG
UT,137,0.0,74
UTG,199,0.0,464
UTLN,133,0.0,198
UTLR,140,0.0,147
UTO,140,0.0,147
UTT,142,0.0,147
UTVR,136,0.0,198
UTZL,139,0.0,147
VB,191,0.0,648
VD,127,0.0,377
VDL,66,0.0,82
VDM,295,0.0,548
VEM,119,0.0,377
VG,85,0.0,106
VH,195,0.0,255
VHP,183,0.0,514
VK,75,0.0,82
VL,5,37.32258064516129,0
VLB,35,35.32258064516129,53
VNDC,155,0.0,173
VNDW,154,0.0,173
VP,92,0.0,375
VRY,28,35.32258064516129,53
VS,214,0.0,418
VSS,213,0.0,391
VST,192,0.0,340
VSV,129,0.0,411
VTN,144,0.0,152
VZ,176,0.0,513
WAD,177,0.0,232
WADN,178,0.0,232
WADT,176,0.0,232
WC,76,0.0,117
WD,153,0.0,147
WDN,165,0.0,384
WF,94,0.0,117
WFM,292,0.0,550
WH,148,0.0,453
WK,295,0.0,487
WL,111,0.0,394
WM,192,0.0,429
WP,168,0.0,409
WR,322,0.0,559
WS,300,0.0,550
WSM,284,0.0,536
WT,42,0.0,63
WTV,91,0.0,376
WV,217,0.0,467
WW,150,0.0,430
WWW,151,0.0,430
WZ,171,0.0,467
YPB,190,0.0,150
ZA,86,0.0,131
ZB,287,0.0,544
ZBM,102,0.0,74
ZD,186,0.0,426
ZDK,189,0.0,429
ZH,280,0.0,535
ZL,162,0.0,453
ZLSH,167,0.0,467
ZLW,130,0.0,404
ZP,115,0.0,377
ZTM,185,0.0,147
ZTMO,184,0.0,232
ZV,100,0.0,374
ZVB,138,0.0,409
ZVT,203,0.0,442
ZWD,147,0.0,503
ZZS,189,0.0,429
