Station Code,Distance from RM,Services from/to RM,Disruptions on path to RM
RV,11,37.32258064516129,0
RVS,101,0.0,150
SBK,32,0.0,32
SD,152,0.0,213
SDA,313,0.0,574
SDM,164,0.0,455
SDT,145,0.0,190
SDTB,147,0.0,502
SGL,56,0.0,18
SGN,231,1.3548387096774193,560
SHL,178,0.0967741935483871,203
SK,297,0.0,517
SKND,296,0.0,517
SM,5,37.32258064516129,0
SN,34,0.0,33
SOG,54,0.0,19
SPTN,197,0.0,484
SPTZ,195,0.0,484
SRN,18,36.67741935483871,29
SSH,190,0.0,297
ST,151,0.0,213
STD,25,103.48387096774194,0
STM,308,0.0,580
STV,326,0.0,525
STZ,150,0.0,213
SWD,297,0.0,568
SWK,222,0.0,550
TB,89,0.0,43
TBG,140,0.0,444
TBR,94,0.0,56
TBU,90,0.0,56
TG,18,37.32258064516129,14
TL,118,0.0,159
TPSW,116,0.0,159
TWL,154,0.0,476
UHM,321,0.0,584
UHZ,318,0.0,584
UST,313,0.0,583
UT,132,48.64516129032258,116
UTG,194,0.0,506
UTLN,128,0.0,240
UTLR,135,0.0,189
UTO,135,0.0,189
UTT,137,0.0,189
UTVR,131,0.0,240
UTZL,134,0.0,189
VB,186,0.0,647
VD,145,0.0,410
VDL,48,0.0,19
VDM,313,0.0,581
VEM,137,0.0,410
VG,80,0.0,43
VH,190,0.0,297
VHP,201,0.0,547
VK,57,0.0,19
VL,23,37.32258064516129,33
VLB,53,35.32258064516129,86
VNDC,165,0.0,318
VNDW,164,0.0,318
VP,110,0.0,408
VRY,46,35.32258064516129,86
VS,209,0.0,417
VSS,208,0.0,390
VST,187,0.0,382
VSV,147,0.0,444
VTN,139,0.0,194
VZ,194,0.0,546
WAD,172,0.0,274
WADN,173,0.0,274
WADT,171,0.0,274
WC,94,0.0,150
WD,148,0.0,189
WDN,183,0.0,417
WF,112,0.0,150
WFM,310,0.0,583
WH,166,0.0,486
WK,313,0.0,520
WL,129,0.0,427
WM,187,0.0,471
WP,165,0.0,201
WR,340,0.0,592
WS,318,0.0,583
WSM,302,0.0,569
WT,24,66.12903225806451,0
WTV,109,0.0,409
WV,235,0.0,500
WW,168,0.0,463
WWW,169,0.0,463
WZ,189,0.0,500
YPB,185,0.0,192
ZA,104,0.0,164
ZB,305,0.0,577
ZBM,97,0.1290322580645161,116
ZD,181,14.838709677419354,468
ZDK,184,0.0,471
ZH,298,0.0,568
ZL,180,0.0,486
ZLSH,185,0.0,500
ZLW,125,0.0,403
ZP,133,0.0,410
ZTM,180,0.0,189
ZTMO,179,0.0,274
ZV,118,0.0,407
ZVB,133,0.0,408
ZVT,198,0.0,484
ZWD,142,0.0,502
ZZS,184,0.0,471
