Station Code,Distance from WK,Services from/to WK,Disruptions on path to WK
VH,278,0.0,368
VHP,173,0.0,44
VK,370,0.0,588
VL,290,0.0,486
VLB,260,0.0,433
VNDC,255,0.0,367
VNDW,254,0.0,367
VP,203,0.0,116
VRY,267,0.0,434
VS,408,0.0,557
VSS,407,0.0,530
VST,275,0.0,453
VSV,246,0.0,143
VTN,227,0.0,338
VZ,180,0.0,45
WAD,260,0.0,418
WADN,261,0.0,418
WADT,259,0.0,418
WC,237,0.0,370
WD,236,0.0,260
WDN,173,0.0,55
WF,217,0.0,370
WFM,116,0.0,50
WH,147,0.0,34
WK,0,0.0,0
WL,232,0.0,142
WM,260,0.0,316
WP,230,0.0,46
WR,150,0.0,74
WS,128,0.0,65
WSM,108,0.0,36
WT,328,0.0,471
WTV,212,0.0,119
WV,78,0.0,20
WW,225,0.0,124
WWW,224,0.0,124
WZ,142,0.0,34
YPB,273,0.0,336
ZA,231,0.0,384
ZB,115,0.0,59
ZBM,255,0.0,376
ZD,254,0.0,313
ZDK,257,0.0,316
ZH,80,0.0,20
ZL,133,0.0,20
ZLSH,138,0.0,34
ZLW,310,0.0,525
ZP,180,0.0,110
ZTM,268,0.0,333
ZTMO,267,0.0,418
ZV,221,0.0,122
ZVB,318,0.0,530
ZVT,271,0.0,329
ZWD,294,0.0,593
ZZS,257,0.0,316
