Station Code,Distance from HBZM,Services from/to HBZM,Disruptions on path to HBZM
AC,88,0.0,180
AH,94,0.0,91
AHP,95,0.0,348
AHPR,97,0.0,348
AHZ,86,0.0,91
AKL,17,32.16129032258065,12
AKM,228,0.0,451
ALM,113,0.0,160
ALMB,119,0.0,291
ALMM,112,0.0,159
ALMO,121,0.0,291
ALMP,115,0.0,291
AMF,85,0.0,147
AMFS,88,0.0,387
AML,178,0.0,417
AMPO,110,0.0,159
AMR,133,0.0,284
AMRI,180,0.0,487
AMRN,134,0.0,359
ANA,163,0.0,370
APD,128,0.0,387
APDM,129,0.0,422
APDO,131,0.0,422
APG,291,0.0,481
APN,73,0.0,296
ARN,114,0.0,123
ASA,97,0.0,147
ASB,93,0.0,74
ASD,103,0.0,147
ASDL,110,0.0,313
ASDM,99,0.0,184
ASDZ,99,0.0,88
ASHD,92,0.0,307
ASN,229,0.0,401
ASS,107,0.0,405
ASSP,100,0.0,198
ATN,146,0.0,385
AVAT,91,0.0,393
BD,41,0.0,118
BDE,184,0.0,241
BDG,81,0.0,377
BDM,272,0.0,470
BDPB,36,0.0,123
BET,82,0.0,147
BF,276,0.0,470
BGN,62,0.0,122
BHDV,6,34.064516129032256,10
BHV,73,0.0,147
BK,177,0.0,242
BKF,161,0.0,490
BKG,160,0.0,486
BKL,76,0.0,147
BL,213,0.0,401
BLL,101,0.0,244
BMN,116,0.0,351
BMR,116,0.0,126
BN,173,0.0,418
BNC,104,0.0,388
BNK,70,0.0,155
BNN,101,0.0,387
BNZ,106,0.0,404
BP,270,0.0,404
BR,142,0.0,222
BRD,20,0.0,118
BRN,88,0.0,171
BSD,31,32.16129032258065,30
BSK,67,0.0,273
BSKS,66,0.0,273
BSMZ,87,0.0,148
BTL,72,0.0,147
BV,111,0.0,246
BZL,94,0.0,153
CAS,121,0.0,281
CK,106,0.0,123
CL,46,0.0,74
CO,206,0.0,421
CPS,42,0.0,190
CVM,194,0.0,259
DA,189,0.0,487
DB,74,0.0,199
DDN,163,0.0,366
DDR,11,32.12903225806452,1
DDRS,8,32.12903225806452,1
DDZD,12,0.0,118
DEI,250,0.0,404
DID,113,0.0,348
DL,163,0.0,401
DLD,76,0.0,167
DLN,210,0.0,435
DMN,102,0.0,198
DMNZ,97,0.0,150
DN,114,0.0,194
DR,110,0.0,348
DRH,106,0.0,245
DRON,162,0.0,305
DRP,257,0.0,418
DT,45,0.0,118
DTC,124,0.0,368
DTCH,122,0.0,368
DTCP,44,0.0,188
DV,139,0.0,351
DVC,143,0.0,417
DVD,95,0.0,147
DVN,103,0.0,350
DVNK,66,0.0,237
DWE,263,0.0,404
DZ,295,0.0,499
DZW,294,0.0,499
EC,157,0.0,239
ED,103,0.0,231
EDC,105,0.0,253
EDN,199,0.0,243
EEM,302,0.0,498
EGH,193,0.0,258
EGHM,194,0.0,258
EHS,91,0.0,223
EHV,92,0.0,147
EKZ,164,0.0,498
EML,108,0.0,387
EMN,226,0.0,436
EMNZ,222,0.0,435
ES,176,0.0,418
ESK,172,0.0,418
EST,83,0.0,77
ETN,52,0.0,441
FN,263,0.0,404
FWD,260,0.0,404
GBG,199,0.0,421
GD,55,0.0,188
GDG,58,0.0,273
GDM,38,32.16129032258065,31
GDR,129,0.0,385
GERP,255,0.0,454
GK,276,0.0,469
GLN,173,0.0,241
GN,257,0.0,454
GND,3,34.064516129032256,0
GNN,261,0.0,469
GO,153,0.0,358
GP,98,0.0,209
GR,12,34.0,10
GS,99,0.0,123
GV,53,0.0,219
GVC,54,0.0,234
GVM,58,0.0,234
GVMW,52,0.0,219
GW,233,0.0,458
GZ,51,0.0,441
HAD,94,0.0,244
HB,184,0.0,272
HBZM,0,0.0,0
HD,112,0.0,390
HDB,193,0.0,408
HDE,133,0.0,387
HDG,256,0.0,404
HDR,175,0.0,379
HDRZ,174,0.0,379
HFD,93,0.0,234
HGL,168,0.0,399
HGLG,166,0.0,399
HGLO,170,0.0,418
HGV,199,0.0,401
HGZ,268,0.0,477
HIL,87,0.0,244
HK,114,0.0,264
HKS,156,0.0,482
HLG,272,0.0,405
HLGH,273,0.0,409
HLM,98,0.0,244
HLMS,99,0.0,244
HLO,128,0.0,264
HM,105,0.0,190
HMBH,106,0.0,194
HMBV,102,0.0,209
HMH,104,0.0,209
HMN,69,0.0,77
HN,146,0.0,426
HNK,147,0.0,482
HNO,163,0.0,401
HNP,288,0.0,407
HON,158,0.0,351
HOR,76,0.0,147
HR,217,0.0,458
HRL,188,0.0,241
HRLW,190,0.0,258
HRN,251,0.0,454
HRT,132,0.0,222
HT,60,0.0,74
HTN,56,0.0,127
HTNC,55,0.0,127
HTO,61,0.0,147
HVL,91,0.0,387
HVS,82,0.0,147
HVSM,83,0.0,148
HVSP,81,0.0,147
HWD,140,0.0,360
HWZB,106,0.0,244
HZE,103,0.0,215
IJT,271,0.0,405
