Station Code,Distance from WT,Services from/to WT,Disruptions on path to WT
VDM,328,0.0,524
VEM,155,0.0,400
VG,56,0.0,43
VH,166,0.0,297
VHP,219,0.0,537
VK,81,0.0,68
VL,47,0.0,82
VLB,77,0.0,135
VNDC,141,0.0,318
VNDW,140,0.0,318
VP,128,0.0,398
VRY,70,0.0,135
VS,185,0.0,417
VSS,184,0.0,390
VST,163,0.0,382
VSV,165,0.0,434
VTN,115,0.0,194
VZ,212,0.0,536
WAD,148,0.0,274
WADN,149,0.0,274
WADT,147,0.0,274
WC,94,0.0,140
WD,124,0.0,189
WDN,201,0.0,407
WF,130,0.0,397
WFM,325,0.0,526
WH,184,0.0,476
WK,328,0.0,449
WL,147,0.0,417
WM,163,0.0,471
WP,141,0.0,201
WR,355,0.0,535
WS,333,0.0,526
WSM,317,0.0,512
WT,0,0.0,0
WTV,127,0.0,399
WV,250,0.0,443
WW,186,0.0,453
WWW,187,0.0,453
WZ,186,0.0,442
YPB,161,0.0,192
ZA,116,0.0,162
ZB,320,0.0,520
ZBM,73,0.1290322580645161,116
ZD,157,14.838709677419354,468
ZDK,160,0.0,471
ZH,313,0.0,511
ZL,195,0.0,429
ZLSH,200,0.0,443
ZLW,101,0.0,403
ZP,151,0.0,400
ZTM,156,0.0,189
ZTMO,155,0.0,274
ZV,136,0.0,397
ZVB,109,0.0,408
ZVT,174,0.0,484
ZWD,118,0.0,502
ZZS,160,0.0,471
