Station Code,Distance from ZLW,Services from/to ZLW,Disruptions on path to ZLW
AC,106,0.0,306
AH,120,7.354838709677419,451
AHP,121,0.0,708
AHPR,123,0.0,708
AHZ,112,7.354838709677419,483
AKL,43,0.0,130
AKM,254,0.0,569
ALM,138,0.0,289
ALMB,144,0.0,420
ALMM,137,0.0,439
ALMO,146,0.0,420
ALMP,140,0.0,420
AMF,111,0.0,265
AMFS,114,0.0,505
AML,204,0.0,777
AMPO,135,0.0,439
AMR,137,0.0,283
AMRI,206,0.0,847
AMRN,138,0.0,358
ANA,167,0.0,369
APD,154,0.0,505
APDM,155,0.0,540
APDO,157,0.0,540
APG,317,0.0,599
APN,77,0.0,295
ARN,88,0.0967741935483871,43
ASA,115,0.0,286
ASB,111,0.0,272
ASD,121,0.8064516129032258,262
ASDL,114,0.0,312
ASDM,117,0.0,286
ASDZ,113,0.0,312
ASHD,110,0.0,433
ASN,255,0.0,519
ASS,117,0.7419354838709677,243
ASSP,118,0.0,300
ATN,172,0.0,745
AVAT,117,0.0,511
BD,15,30.70967741935484,18
BDE,165,0.0,454
BDG,85,0.0,376
BDM,298,0.0,588
BDPB,10,30.70967741935484,0
BET,63,0.0,397
BF,302,0.0,588
BGN,36,0.1612903225806451,0
BHDV,32,0.0,128
BHV,99,0.0,265
BK,158,0.0,455
BKF,171,0.0,328
BKG,170,0.0,324
BKL,94,0.0,273
BL,239,0.0,519
BLL,105,0.0,243
BMN,142,0.0,711
BMR,126,0.0,483
BN,199,0.0,778
BNC,130,0.0,506
BNK,96,0.0,273
BNN,127,0.0,505
BNZ,132,0.0,522
BP,296,0.0,522
BR,123,0.0,435
BRD,24,0.0,117
BRN,114,0.0,289
BSD,57,0.0,148
BSK,71,0.0,272
BSKS,70,0.0,272
BSMZ,113,0.0,266
BTL,53,0.0,354
BV,115,0.0,245
BZL,68,0.0967741935483871,31
CAS,125,0.0,280
CK,116,0.0,480
CL,72,0.0,192
CO,232,0.0,539
CPS,46,0.0,189
CVM,175,0.0,472
DA,215,0.0,847
DB,100,0.0,317
DDN,189,0.0,726
DDR,15,60.83870967741935,0
DDRS,18,0.0,117
DDZD,14,60.774193548387096,0
DEI,276,0.0,522
DID,139,0.0,708
DL,189,0.0,519
DLD,102,0.0,285
DLN,236,0.0,553
DMN,120,0.0,300
DMNZ,115,0.0,289
DN,95,0.0,407
DR,136,0.0,708
DRH,110,0.0,244
DRON,187,0.0,434
DRP,283,0.0,536
DT,49,1.096774193548387,117
DTC,150,0.0,728
DTCH,148,0.0,728
DTCP,48,0.0,187
DV,165,0.0,711
DVC,169,0.0,777
DVD,113,0.0,286
DVN,129,0.0,710
DVNK,70,0.0,236
DWE,289,0.0,522
DZ,321,0.0,617
DZW,320,0.0,617
EC,138,0.0,452
ED,129,0.0,349
EDC,131,0.0,371
EDN,180,0.0,456
EEM,328,0.0,616
EGH,174,0.0,471
EGHM,175,0.0,471
EHS,72,0.0,473
EHV,73,0.0,341
EKZ,174,0.0,336
EML,134,0.0,505
EMN,252,0.0,554
EMNZ,248,0.0,553
ES,202,0.0,778
ESK,198,0.0,778
EST,109,7.354838709677419,469
ETN,26,0.0,341
FN,289,0.0,522
FWD,286,0.0,522
GBG,225,0.0,539
GD,59,0.0,187
GDG,62,0.0,272
GDM,64,0.0,149
GDR,155,0.0,745
GERP,281,0.0,572
GK,302,0.0,587
GLN,154,0.0,454
GN,283,0.0,572
GND,29,0.0,118
GNN,287,0.0,587
GO,179,0.0,718
GP,79,0.0,403
GR,38,0.0,128
GS,73,0.1290322580645161,31
GV,57,0.967741935483871,218
GVC,58,0.0,233
GVM,62,0.0,233
GVMW,56,0.0,218
GW,259,0.0,576
GZ,25,28.870967741935484,341
HAD,98,0.7419354838709677,243
HB,165,0.0,485
HBZM,26,0.0,118
HD,138,0.0,508
HDB,219,0.0,526
HDE,159,0.0,505
HDG,282,0.0,522
HDR,179,0.0,378
HDRZ,178,0.0,378
HFD,97,0.0,233
HGL,194,0.0,759
HGLG,192,0.0,759
HGLO,196,0.0,778
HGV,225,0.0,519
HGZ,294,0.0,595
HIL,91,0.0,243
HK,118,0.0,263
HKS,166,0.0,320
HLG,298,0.0,523
HLGH,299,0.0,527
HLM,102,0.7419354838709677,243
HLMS,103,0.0,243
HLO,132,0.0,263
HM,86,0.0,403
HMBH,87,0.0,407
HMBV,83,0.0,403
HMH,85,0.0,403
HMN,95,0.0,195
HN,156,0.0,264
HNK,157,0.0,320
HNO,189,0.0,519
HNP,314,0.0,525
HON,184,0.0,711
HOR,102,0.0,265
HR,243,0.0,576
HRL,169,0.0,454
HRLW,171,0.0,471
HRN,277,0.0,572
HRT,113,0.0,435
HT,58,28.161290322580644,354
HTN,82,0.0,245
HTNC,81,0.0,245
HTO,59,27.41935483870968,427
HVL,117,0.0,505
HVS,108,0.0,265
HVSM,109,0.0,266
HVSP,107,0.0,265
HWD,144,0.0,359
HWZB,110,0.0,243
HZE,84,0.0,409
IJT,297,0.0,523
KBD,55,0.0967741935483871,0
KBK,158,0.0,711
KLP,122,0.0,349
KMA,126,0.0,264
KMR,177,0.0,471
KMW,319,0.0,530
KPN,192,0.0,519
KPNZ,192,0.0,519
KRD,177,0.0,482
KRG,62,0.0967741935483871,31
KTR,88,0.0,192
KW,291,0.0,593
KZ,125,0.0,267
LAA,59,0.967741935483871,233
LC,166,0.0,711
LDL,74,0.0,243
LDM,50,0.0,148
LEDN,73,0.967741935483871,233
LG,172,0.0,471
LLS,162,0.0,420
LLZM,72,0.0,272
LP,309,0.0,599
LTN,137,0.0,522
LTV,184,0.0,713
LUT,154,0.0,454
LW,272,0.0,505
LWC,275,0.0,522
MAS,97,0.0,265
MDB,92,0.1290322580645161,43
MES,177,0.0,456
MG,282,0.0,522
MMLH,111,0.0,469
MP,205,0.0,519
MRB,211,0.0,526
MRN,108,0.0,349
MT,171,0.0,454
MTH,292,0.0,595
MTN,174,0.0,456
MTR,172,0.0,456
MZ,94,0.0,414
NDB,114,0.0,266
NH,162,0.0,485
NKK,122,0.0,505
NM,101,27.41935483870968,448
NMD,96,27.41935483870968,451
NMGO,98,27.41935483870968,452
NMH,104,0.0,469
NML,102,7.354838709677419,469
NS,150,0.0,505
NSCH,327,0.0,602
NVD,207,0.0,718
NVP,92,0.0,243
NWK,50,0.0,245
O,77,27.41935483870968,427
OBD,150,0.0,369
ODB,16,29.451612903225808,0
ODZ,205,0.0,778
OMN,200,0.0,526
OP,92,0.0,195
OST,175,0.0,777
OT,44,0.0,354
OTB,124,0.0,708
OVN,104,0.0,243
OW,76,27.41935483870968,427
PMO,138,0.0,264
PMR,137,0.0,264
PMW,136,0.0,267
PT,129,0.0,505
RAI,114,0.0,386
RAT,195,0.0,519
RB,52,0.0967741935483871,0
RD,321,0.0,603
RH,130,0.0,709
RHN,131,0.0,352
RL,171,0.0,713
RLB,28,0.0,216
RM,125,0.0,403
RS,65,27.41935483870968,427
RSD,23,29.548387096774192,0
RSN,191,0.0,711
RSW,54,0.0,218
RTA,45,0.0,187
RTB,34,1.1290322580645162,117
RTD,35,1.1290322580645162,117
RTN,40,0.0,187
RTST,30,0.0,117
RTZ,31,0.0,117
RV,136,0.0,452
RVS,85,27.41935483870968,448
SBK,157,0.0,484
SD,110,0.0,289
SDA,310,0.0,593
SDM,39,1.096774193548387,187
SDT,25,0.0,117
SDTB,22,0.0,117
SGL,181,0.0,470
SGN,158,0.0,369
SHL,102,0.064516129032258,262
SK,294,0.0,522
SKND,293,0.0,522
SM,130,0.0,452
SN,159,0.0,485
SOG,179,0.0,471
SPTN,109,0.0,243
SPTZ,107,0.0,243
SRN,143,0.0,481
SSH,81,0.0,243
ST,109,0.0,289
STD,150,0.0,452
STM,305,0.0,599
STV,323,0.0,530
STZ,108,0.0,289
SWD,294,0.0,587
SWK,219,0.0,569
TB,36,28.870967741935484,341
TBG,156,0.0,745
TBR,31,28.870967741935484,360
TBU,35,28.870967741935484,362
TG,130,0.0,404
TL,76,0.0,192
TPSW,74,0.0,192
TWL,164,0.0,540
UHM,318,0.0,603
UHZ,315,0.0,603
UST,310,0.0,602
UT,90,0.0,192
UTG,121,0.0,263
UTLN,86,0.0,273
UTLR,88,0.0,287
UTO,93,0.0,265
UTT,86,0.0,282
UTVR,89,0.0,273
UTZL,92,0.0,265
VB,61,0.0,262
VD,161,0.0,711
VDL,173,0.0,471
VDM,310,0.0,600
VEM,153,0.0,711
VG,61,0.0,397
VH,81,0.0,243
VHP,217,0.0,848
VK,182,0.0,471
VL,125,0.0,403
VLB,133,0.0,511
VNDC,123,0.0,351
VNDW,122,0.0,351
VP,126,0.0,709
VRY,140,0.0,512
VS,98,0.1290322580645161,31
VSS,97,0.0967741935483871,31
VST,68,0.0,236
VSV,163,0.0,745
VTN,84,0.0,273
VZ,210,0.0,847
WAD,67,0.0,272
WADN,68,0.0,272
WADT,66,0.0,272
WC,92,27.41935483870968,451
WD,75,0.0,272
WDN,199,0.0,718
WF,128,0.0,708
WFM,307,0.0,602
WH,182,0.0,787
WK,310,0.0,525
WL,145,0.0,728
WM,128,0.0,289
WP,122,0.0,433
WR,337,0.0,611
WS,315,0.0,602
WSM,299,0.0,588
WT,101,0.0,403
WTV,125,0.0,710
WV,232,0.0,519
WW,184,0.0,764
WWW,185,0.0,764
WZ,168,0.0,518
YPB,65,0.0,265
ZA,98,0.0,195
ZB,302,0.0,596
ZBM,71,0.0,427
ZD,123,0.0,264
ZDK,126,0.0,267
ZH,295,0.0,587
ZL,177,0.0,505
ZLSH,182,0.0,519
ZLW,0,0.0,0
ZP,149,0.0,711
ZTM,70,0.0,262
ZTMO,71,0.0,262
ZV,134,0.0,708
ZVB,8,29.451612903225808,0
ZVT,110,0.0,243
ZWD,17,0.0,117
ZZS,126,0.0,267
