Station Code,Distance from HN,Services from/to HN,Disruptions on path to HN
AC,58,0.0,293
AH,139,0.0,573
AHP,140,0.0,830
AHPR,142,0.0,830
AHZ,147,0.0,830
AKL,129,0.0,396
AKM,231,0.0,343
ALM,73,0.0,279
ALMB,79,0.0,410
ALMM,72,0.0,286
ALMO,81,0.0,410
ALMP,75,0.0,410
AMF,88,0.0,293
AMFS,91,0.0,533
AML,185,0.0,599
AMPO,70,0.0,286
AMR,24,30.29032258064516,11
AMRI,187,0.0,669
AMRN,23,30.29032258064516,10
ANA,40,2.3548387096774195,10
APD,131,0.0,533
APDM,132,0.0,568
APDO,134,0.0,568
APG,294,0.0,373
APN,98,0.0,38
ARN,244,0.0,146
ASA,49,25.193548387096776,279
ASB,53,8.806451612903226,279
ASD,43,66.70967741935483,21
ASDL,42,25.35483870967742,21
ASDM,47,0.0,279
ASDZ,55,0.0,279
ASHD,54,0.0,293
ASN,232,0.0,293
ASS,39,96.64516129032258,0
ASSP,48,0.0,279
ATN,191,0.0,867
AVAT,94,0.0,539
BD,171,0.0,141
BDE,254,0.0,541
BDG,100,0.0,280
BDM,275,0.0,362
BDPB,166,0.0,263
BET,152,0.064516129032258,352
BF,279,0.0,362
BGN,192,0.0,262
BHDV,140,0.0,416
BHV,91,0.0,352
BK,247,0.0,542
BKF,15,40.41935483870968,8
BKG,14,40.41935483870968,4
BKL,70,0.0,420
BL,216,0.0,293
BLL,56,27.516129032258064,109
BMN,156,0.0,568
BMR,183,0.0,608
BN,194,0.0,669
BNC,107,0.0,534
BNK,90,0.0,352
BNN,104,0.0,533
BNZ,109,0.0,550
BP,273,0.0,550
BR,212,0.0,522
BRD,132,0.0,147
BRN,79,0.0,280
BSD,115,0.0,395
BSK,104,0.0,119
BSKS,105,0.0,142
BSMZ,67,0.0,297
BTL,142,0.064516129032258,425
BV,46,29.451612903225808,89
BZL,224,0.0,293
CAS,36,29.548387096774192,86
CK,173,0.0,605
CL,100,0.0,380
CO,209,0.0,313
CPS,118,0.0,365
CVM,253,0.0,57
DA,196,0.0,303
DB,94,0.0,352
DDN,189,0.0,583
DDR,141,0.0,141
DDRS,144,0.0,258
DDZD,142,0.0,258
DEI,253,0.0,550
DID,158,0.0,830
DL,166,0.0,293
DLD,91,0.0,294
DLN,213,0.0,327
DMN,50,0.0,279
DMNZ,53,0.0,319
DN,184,0.0,494
DR,155,0.0,830
DRH,51,29.451612903225808,107
DRON,122,0.0,424
DRP,260,0.0,564
DT,107,0.0,39
DTC,169,0.0,850
DTCH,167,0.0,850
DTCP,108,0.0,140
DV,146,0.0,533
DVC,150,0.0,568
DVD,51,0.0,316
DVN,148,0.0,832
DVNK,86,19.12903225806452,21
DWE,266,0.0,550
DZ,298,0.0,391
DZW,297,0.0,391
EC,227,0.0,539
ED,122,0.0,551
EDC,120,0.0,550
EDN,269,0.0,543
EEM,305,0.0,390
EGH,252,0.0,56
EGHM,253,0.0,56
EHS,161,0.0,428
EHV,162,24.90322580645161,428
EKZ,18,40.41935483870968,16
EML,111,0.0,533
EMN,229,0.0,328
EMNZ,225,0.0,327
ES,202,0.0,635
ESK,198,0.0,635
EST,150,0.0,830
ETN,182,0.0,464
FN,266,0.0,550
FWD,263,0.0,550
GBG,202,0.0,313
GD,105,0.0,280
GDG,102,0.0,280
GDM,108,0.0,352
GDR,174,0.0,867
GERP,258,0.0,346
GK,279,0.0,361
GLN,243,0.0,541
GN,260,0.0,346
GND,143,0.0,416
GNN,264,0.0,361
GO,179,0.0,575
GP,168,0.0,490
GR,134,0.0,414
GS,229,0.0,146
GV,99,0.0,24
GVC,98,19.12903225806452,24
GVM,94,19.12903225806452,21
GVMW,100,0.0,39
GW,236,0.0,350
GZ,163,0.0,440
HAD,58,0.0,21
HB,251,0.0,56
HBZM,146,0.0,426
HD,115,0.0,536
HDB,196,0.0,300
HDE,136,0.0,533
HDG,259,0.0,550
HDR,52,2.3548387096774195,19
HDRZ,51,2.3548387096774195,19
HFD,59,25.35483870967742,71
HGL,194,0.0,616
HGLG,192,0.0,616
HGLO,196,0.0,635
HGV,202,0.0,293
HGZ,271,0.0,369
HIL,65,0.0,21
HK,43,29.451612903225808,90
HKS,10,40.41935483870968,0
HLG,275,0.0,551
HLGH,276,0.0,555
HLM,54,27.516129032258064,3
HLMS,53,27.41935483870968,21
HLO,29,29.548387096774192,86
HM,175,0.0,490
HMBH,176,0.0,494
HMBV,172,0.0,490
HMH,174,0.0,490
HMN,139,0.0,398
HN,0,0.0,0
HNK,1,61.193548387096776,0
HNO,166,0.0,293
HNP,291,0.0,553
HON,165,0.0,568
HOR,78,0.0,279
HR,220,0.0,350
HRL,247,11.806451612903226,39
HRLW,249,0.0,56
HRN,254,0.0,346
HRT,202,0.0,522
HT,130,24.90322580645161,352
HTN,90,0.0,352
HTNC,91,0.0,380
HTO,131,0.0,425
HVL,94,0.0,533
HVS,72,0.0,279
HVSM,71,0.0,330
HVSP,73,0.0,280
HWD,17,32.83870967741935,0
HWZB,46,27.41935483870968,21
HZE,173,0.0,496
IJT,274,0.0,551
KBD,211,0.0,146
KBK,140,0.0,569
KLP,116,0.0,352
KMA,41,0.0,13
KMR,255,0.0,56
KMW,296,0.0,558
KPN,169,0.0,3
KPNZ,139,0.0,425
KRD,255,0.0,67
KRG,218,0.0,146
KTR,132,0.0,395
KW,268,0.0,367
KZ,35,0.0,3
LAA,97,19.12903225806452,24
LC,166,0.0,568
LDL,84,0.0,31
LDM,122,0.0,396
LEDN,83,19.12903225806452,21
LG,250,0.0,56
LLS,97,0.0,410
LLZM,113,0.0,53
LP,286,0.0,373
LTN,114,0.0,550
LTV,184,0.0,570
LUT,243,0.0,541
LW,249,0.0,533
LWC,252,0.0,550
MAS,75,0.0,293
MDB,248,0.0,173
MES,266,0.0,543
MG,259,0.0,550
MMLH,168,0.0,594
MP,182,0.0,293
MRB,188,0.0,300
MRN,102,0.0,384
MT,260,10.774193548387096,541
MTH,269,0.0,369
MTN,263,0.0,543
MTR,261,0.0,543
MZ,183,0.0,501
