Station Code,Distance from BDM,Services from/to BDM,Disruptions on path to BDM
RTA,254,0.0,481
RTB,265,0.0,551
RTD,264,0.0,481
RTN,259,0.0,483
RTST,269,0.0,560
RTZ,268,0.0,560
RV,290,0.0,555
RVS,232,0.0,419
SBK,333,0.0,650
SD,200,0.0,337
SDA,46,0.0,37
SDM,268,0.0,551
SDT,273,0.0,551
SDTB,276,0.0,552
SGL,357,0.0,636
SGN,292,0.0,590
SHL,242,0.0,293
SK,91,0.0,33
SKND,90,0.0,33
SM,296,0.0,569
SN,335,0.0,651
SOG,355,0.0,637
SPTN,258,0.0,532
SPTZ,256,0.0,532
SRN,319,0.0,647
SSH,263,0.0,471
ST,201,0.0,337
STD,326,0.0,618
STM,7,31.096774193548388,0
STV,120,0.0,41
STZ,202,0.0,327
SWD,4,31.096774193548388,0
SWK,107,0.0,119
TB,278,0.0,469
TBG,231,0.0,208
TBR,283,0.0,482
TBU,279,0.0,482
TG,283,0.0,536
TL,241,0.0,436
TPSW,243,0.0,436
TWL,157,0.0,159
UHM,28,0.0,16
UHZ,25,0.0,16
UST,20,0.0,15
UT,208,0.0,323
UTG,255,0.0,536
UTLN,212,0.0,396
UTLR,211,0.0,396
UTO,205,0.0,347
UTT,213,0.0,396
UTVR,209,0.0,396
UTZL,210,0.0,396
VB,265,0.0,481
VD,180,0.0,159
VDL,349,0.0,637
VDM,46,0.0,44
VEM,172,0.0,159
VG,260,0.0,469
VH,266,0.0,431
VHP,161,0.0,93
VK,358,0.0,637
VL,278,0.0,535
VLB,248,0.0,482
VNDC,243,0.0,430
VNDW,242,0.0,430
VP,191,0.0,165
VRY,255,0.0,483
VS,396,0.0,709
VSS,395,0.0,709
VST,263,0.0,516
VSV,234,0.0,192
VTN,215,0.0,401
VZ,168,0.0,94
WAD,248,0.0,481
WADN,249,0.0,481
WADT,247,0.0,481
WC,225,0.0,419
WD,224,0.0,323
WDN,161,0.0,95
WF,205,0.0,419
WFM,17,0.0,15
WH,135,0.0,83
WK,107,0.0,36
WL,220,0.0,191
WM,248,0.0,501
WP,218,0.0,335
WR,73,0.0,55
WS,51,0.0,46
WSM,9,0.0,1
WT,316,0.0,531
WTV,200,0.0,168
WV,109,0.0,33
WW,213,0.0,173
WWW,212,0.0,173
WZ,130,0.0,83
YPB,261,0.0,481
ZA,219,0.0,433
ZB,38,0.0,40
ZBM,243,0.0,520
ZD,242,0.0,498
ZDK,245,0.0,501
ZH,27,0.0,16
ZL,121,0.0,69
ZLSH,126,0.0,83
ZLW,298,0.0,671
ZP,168,0.0,159
ZTM,256,0.0,481
ZTMO,255,0.0,481
ZV,209,0.0,171
ZVB,306,0.0,676
ZVT,259,0.0,515
ZWD,282,0.0,665
ZZS,245,0.0,501
