Station Code,distance_MZ,services_per_day_MZ,n_of_disruptions_MZ
AC,125,0,255
AH,115,0,188
AHP,116,0,445
AHPR,118,0,447
AHZ,107,0,202
AKL,96,0,190
AKM,265,0,523
ALM,150,0,232
ALMB,156,0,363
ALMM,149,0,231
ALMO,158,0,363
ALMP,152,0,363
AMF,122,0,219
AMFS,125,0,459
AML,199,0,514
AMPO,147,0,231
AMR,179,0,504
AMRI,201,0,584
AMRN,180,0,579
ANA,209,0,590
APD,162,0,448
APDM,161,0,449
APDO,165,0,483
APG,328,0,553
APN,136,0,229
ARN,168,0,432
ASA,134,0,219
ASB,130,0,219
ASD,140,0,219
ASDL,147,0,498
ASDM,136,0,256
ASDZ,136,0,222
ASHD,131,0,233
ASN,266,0,473
ASS,144,0,477
ASSP,137,0,270
ATN,167,0,482
AVAT,128,0,465
BD,79,0,73
BDE,71,0,52
BDG,128,0,220
BDM,309,0,542
BDPB,84,0,396
BET,31,27.580645161290324,73
BF,313,0,542
BGN,116,0,401
BHDV,107,0,210
BHV,110,0,219
BK,64,0,52
BKF,198,0,562
BKG,197,0,558
BKL,113,0,222
BL,250,0,478
BLL,162,0,514
BMN,137,0,448
BMR,91,0,136
BN,194,0,515
BNC,141,0,460
BNK,107,0,270
BNN,138,0,459
BNZ,143,0,476
BP,307,0,490
BR,56,0,83
BRD,118,0,513
BRN,125,0,243
BSD,82,0,189
BSK,142,0,310
BSKS,143,0,333
BSMZ,124,0,220
BTL,41,27.580645161290324,149
BV,169,0,537
BZL,148,0,432
CAS,167,0,501
CK,101,0,164
CL,83,0,189
CO,239,0,601
CPS,140,0,468
CVM,81,0,69
DA,210,0,584
DB,111,0,314
DDN,184,0,463
DDR,109,0,396
DDRS,112,0,513
DDZD,108,0,419
DEI,287,0,490
DID,134,0,445
DL,200,0,473
DLD,113,0,239
DLN,243,0,615
DMN,139,0,270
DMNZ,134,0,222
DN,43,0,77
DR,131,0,445
DRH,167,0,533
DRON,199,0,377
DRP,294,0,504
DT,143,0,466
DTC,145,0,465
DTCH,143,0,465
DTCP,142,0,466
DV,160,0,448
DVC,164,0,514
DVD,132,0,219
DVN,124,0,447
DVNK,154,0,327
DWE,300,0,490
DZ,332,0,571
DZW,331,0,571
EC,44,0,49
ED,132,0,445
EDC,134,0,467
EDN,86,0,53
EEM,339,0,570
EGH,80,0,68
EGHM,81,0,68
EHS,22,27.580645161290324,73
EHV,21,29.129032258064516,11
EKZ,201,0,570
EML,145,0,462
EMN,259,0,616
EMNZ,255,0,615
ES,197,0,515
ESK,193,0,515
EST,104,0,188
ETN,90,0,396
FN,300,0,490
FWD,297,0,490
GBG,232,0,601
GD,133,0,219
GDG,130,0,219
GDM,75,0,146
GDR,150,0,482
GERP,292,0,526
GK,313,0,541
GLN,60,0,51
GN,294,0,526
GND,110,0,210
GNN,298,0,541
GO,174,0,455
GP,15,29.129032258064516,5
GR,101,0,208
GS,153,0,432
GV,151,0,567
GVC,152,0,582
GVM,156,0,582
GVMW,150,0,567
GW,270,0,480
GZ,69,0,88
HAD,163,0,514
HB,71,0,82
HBZM,113,0,220
HD,149,0,462
HDB,226,0,588
HDE,170,0,459
HDG,293,0,490
HDR,221,0,599
HDRZ,220,0,599
HFD,152,0,283
HGL,189,0,496
HGLG,187,0,496
HGLO,191,0,515
HGV,236,0,473
HGZ,305,0,549
HIL,169,0,327
HK,166,0,537
HKS,193,0,554
HLG,309,0,491
HLGH,310,0,495
HLM,159,0,477
HLMS,158,0,498
HLO,174,0,504
HM,34,0,73
HMBH,35,0,77
HMBV,31,0,73
HMH,33,0,73
HMN,106,0,192
HN,183,0,498
HNK,184,0,554
HNO,200,0,473
HNP,325,0,493
HON,179,0,514
HOR,113,0,219
HR,254,0,473
HRL,75,0,51
HRLW,77,0,68
HRN,288,0,526
HRT,61,0,105
HT,53,0,73
HTN,93,0,242
HTNC,92,0,242
HTO,54,0,146
HVL,128,0,459
HVS,119,0,219
HVSM,120,0,220
HVSP,118,0,219
HWD,186,0,580
HWZB,151,0,498
HZE,10,29.129032258064516,0
IJT,308,0,491
KBD,135,0,432
KBK,153,0,448
KLP,133,0,346
KMA,158,0,511
KMR,83,0,68
KMW,330,0,498
KPN,203,0,473
KPNZ,203,0,473
KRD,83,0,79
KRG,142,0,432
KTR,99,0,189
KW,302,0,547
KZ,152,0,501
LAA,153,0,582
LC,161,0,448
LDL,150,0,310
LDM,89,0,190
LEDN,151,0,317
LG,78,0,68
LLS,174,0,363
LLZM,146,0,304
LP,320,0,553
LTN,140,0,468
LTV,179,0,450
LUT,60,0,51
LW,283,0,473
LWC,286,0,490
MAS,108,0,219
MDB,172,0,432
MES,83,0,53
MG,293,0,490
MMLH,106,0,188
MP,216,0,473
MRB,218,0,585
MRN,119,0,346
MT,77,0,51
MTH,303,0,549
MTN,80,0,53
MTR,78,0,53
MZ,0,0,0
NDB,125,0,220
NH,68,0,82
NKK,133,0,459
NM,96,0,167
NMD,91,0,170
NMGO,93,0,171
NMH,99,0,188
NML,97,0,188
NS,161,0,459
NSCH,338,0,556
NVD,202,0,521
NVP,157,0,411
NWK,142,0,304
O,72,0,146
OBD,192,0,590
ODB,110,0,401
ODZ,200,0,515
OMN,211,0,480
OP,103,0,192
OST,170,0,514
OT,50,27.580645161290324,192
OTB,119,0,445
OVN,161,0,514
OW,71,0,149
PMO,165,0,499
PMR,164,0,498
PMW,163,0,501
PT,140,0,462
RAI,135,0,222
RAT,206,0,473
RB,132,0,432
RD,332,0,557
RH,125,0,448
RHN,142,0,349
RL,166,0,450
RLB,122,0,612
RM,31,0,0
RS,60,0,149
RSD,103,0,396
RSN,186,0,514
RSW,148,0,567
RTA,139,0,466
RTB,128,0,513
RTD,129,0,396
RTN,134,0,466
RTST,124,0,618
RTZ,125,0,618
RV,42,0,49
RVS,80,0,167
SBK,63,0,81
SD,121,0,243
SDA,321,0,547
SDM,133,0,466
SDT,114,0,220
SDTB,116,0,515
SGL,87,0,67
SGN,200,0,590
SHL,147,0,233
SK,305,0,490
SKND,304,0,490
SM,36,0,49
SN,65,0,82
SOG,85,0,68
SPTN,166,0,532
SPTZ,164,0,532
SRN,49,0,78
SSH,159,0,327
ST,120,0,243
STD,56,0,49
STM,316,0,553
STV,334,0,498
STZ,119,0,243
SWD,305,0,541
SWK,230,0,523
TB,58,27.580645161290324,73
TBG,151,0,482
TBR,63,0,86
TBU,59,27.580645161290324,86
TG,49,0,63
TL,87,0,189
TPSW,85,0,189
TWL,165,0,514
UHM,329,0,557
UHZ,326,0,557
UST,321,0,556
UT,101,0,146
UTG,163,0,536
UTLN,97,0,270
UTLR,104,0,219
UTO,104,0,219
UTT,106,0,219
UTVR,100,0,270
UTZL,103,0,219
VB,155,0,611
VD,156,0,448
VDL,79,0,68
VDM,321,0,554
VEM,148,0,448
VG,49,0,192
VH,159,0,327
VHP,212,0,585
VK,88,0,68
VL,54,0,82
VLB,84,0,135
VNDC,134,0,348
VNDW,133,0,348
VP,121,0,448
VRY,77,0,135
VS,178,0,434
VSS,177,0,434
VST,156,0,412
VSV,158,0,482
VTN,108,0,224
VZ,205,0,584
WAD,141,0,304
WADN,142,0,304
WADT,140,0,304
WC,87,0,170
WD,117,0,219
WDN,194,0,521
WF,123,0,445
WFM,318,0,556
WH,177,0,524
WK,321,0,493
WL,140,0,465
WM,156,0,501
WP,134,0,231
WR,348,0,565
WS,326,0,556
WSM,310,0,542
WT,7,29.516129032258064,0
WTV,120,0,447
WV,243,0,473
WW,179,0,501
WWW,180,0,501
WZ,179,0,472
YPB,154,0,304
ZA,109,0,192
ZB,313,0,550
ZBM,66,0,146
ZD,150,0,498
ZDK,153,0,501
ZH,306,0,541
ZL,188,0,459
ZLSH,193,0,473
ZLW,94,0,414
ZP,144,0,448
ZTM,149,0,304
ZTMO,148,0,304
ZV,129,0,445
ZVB,102,0,419
ZVT,167,0,515
ZWD,111,0,513
ZZS,153,0,501
