Station Code,Distance from GR,Services from/to GR,Disruptions on path to GR
OVN,112,0.0,511
OW,66,0.0,138
PMO,116,0.0,496
PMR,115,0.0,495
PMW,114,0.0,498
PT,91,0.0,459
RAI,86,0.0,219
RAT,157,0.0,470
RB,90,0.0,166
RD,283,0.0,554
RH,92,0.0,339
RHN,93,0.0,222
RL,133,0.0,341
RLB,36,0.0,229
RM,132,0.0,197
RS,55,0.0,138
RSD,61,0.0,130
RSN,153,0.0,405
RSW,62,0.0,301
RTA,53,0.0,200
RTB,42,0.0,130
RTD,43,0.0,130
RTN,48,0.0,200
RTST,38,0.0,235
RTZ,39,0.0,235
RV,143,0.0,246
RVS,75,0.0,156
SBK,164,0.0,278
SD,72,0.0,240
SDA,272,0.0,544
SDM,47,0.0,200
SDT,13,56.32258064516129,10
SDTB,16,56.32258064516129,11
SGL,188,0.0,264
SGN,151,0.0,587
SHL,98,0.0,230
SK,256,0.0,487
SKND,255,0.0,487
SM,137,0.0,246
SN,166,0.0,279
SOG,186,0.0,265
SPTN,117,0.0,529
SPTZ,115,0.0,529
SRN,150,0.0,275
SSH,89,0.0,326
ST,71,0.0,240
STD,157,0.0,246
STM,267,0.0,550
STV,285,0.0,495
STZ,70,0.0,240
SWD,256,0.0,538
SWK,181,0.0,520
TB,70,0.0,135
TBG,118,0.0,373
TBR,69,0.0,472
TBU,71,0.0,148
TG,137,0.0,282
TL,38,0.0,62
TPSW,36,0.0,62
TWL,126,0.0,491
UHM,280,0.0,554
UHZ,277,0.0,554
UST,272,0.0,553
UT,52,0.0,143
UTG,114,0.0,533
UTLN,48,0.0,143
UTLR,55,0.0,216
UTO,55,0.0,216
UTT,57,0.0,216
UTVR,51,0.0,143
UTZL,54,0.0,216
VB,69,0.0,345
VD,123,0.0,339
VDL,180,0.0,265
VDM,272,0.0,551
VEM,115,0.0,339
VG,52,0.0,135
VH,89,0.0,326
VHP,179,0.0,480
VK,189,0.0,265
VL,132,0.0,281
VLB,111,0.0,142
VNDC,85,0.0,221
VNDW,84,0.0,221
VP,88,0.0,339
VRY,118,0.0,143
VS,136,0.0,168
VSS,135,0.0,168
VST,76,0.0,319
VSV,125,0.0,373
VTN,59,0.0,221
VZ,172,0.0,475
WAD,75,0.0,285
WADN,76,0.0,285
WADT,74,0.0,285
WC,82,0.0,159
WD,68,0.0,216
WDN,161,0.0,412
WF,90,0.0,336
WFM,269,0.0,553
WH,144,0.0,415
WK,272,0.0,490
WL,107,0.0,356
WM,107,0.0,498
WP,85,0.0,228
WR,299,0.0,562
WS,277,0.0,553
WSM,261,0.0,539
WT,108,0.0,197
WTV,87,0.0,338
WV,194,0.0,470
WW,146,0.0,392
WWW,147,0.0,392
WZ,130,0.0,469
YPB,73,0.0,348
ZA,60,0.0,65
ZB,264,0.0,547
ZBM,35,0.0,62
ZD,101,0.0,495
ZDK,104,0.0,498
ZH,257,0.0,538
ZL,139,0.0,456
ZLSH,144,0.0,470
ZLW,38,0.0,130
ZP,111,0.0,339
ZTM,78,0.0,345
ZTMO,79,0.0,348
ZV,96,0.0,336
ZVB,46,0.0,135
ZVT,118,0.0,512
ZWD,25,0.0,130
ZZS,104,0.0,498
