Station Code,Distance from HDR,Services from/to HDR,Disruptions on path to HDR
NWK,148,0.0,341
O,187,0.0,526
OBD,41,2.548387096774193,19
ODB,195,0.0,383
ODZ,243,0.0,736
OMN,215,0.0,401
OP,174,0.0,499
OST,194,0.0,700
OT,189,0.0,569
OTB,173,0.0,674
OVN,79,0.0,135
OW,186,0.0,526
PMO,70,0.0,75
PMR,71,0.0,75
PMW,72,0.0,76
PT,144,0.0,634
RAI,92,0.0,420
RAT,210,0.0,394
RB,231,0.0,383
RD,336,0.0,478
RH,187,0.0,932
RHN,163,0.1612903225806451,488
RL,209,0.0,671
RLB,151,0.0,331
RM,252,1.1612903225806452,591
RS,175,0.0,526
RSD,202,0.0,331
RSN,210,0.0,669
RSW,125,0.0,160
RTA,153,0.0,341
RTB,145,0.0,331
RTD,144,0.0,261
RTN,149,0.0,331
RTST,149,0.0,331
RTZ,148,0.0,331
RV,263,0.0,640
RVS,195,0.0,547
SBK,282,0.0,177
SD,121,0.0,395
SDA,325,0.0,468
SDM,140,0.0,261
SDT,174,0.0,378
SDTB,171,0.0,378
SGL,286,0.0,177
SGN,21,40.064516129032256,9
SHL,92,0.0,122
SK,309,0.0,651
SKND,308,0.0,651
SM,257,0.0,640
SN,280,0.0,177
SOG,280,0.0,177
SPTN,70,0.0,117
SPTZ,72,0.0,118
SRN,270,0.0,669
SSH,113,0.0,172
ST,122,0.0,395
STD,277,1.1612903225806452,640
STM,320,0.0,474
STV,338,0.0,659
STZ,123,0.0,395
SWD,309,0.0,462
SWK,234,0.0,444
TB,190,0.0,526
TBG,213,0.0,968
TBR,195,0.0,539
TBU,191,0.0,539
TG,257,0.0,592
TL,158,0.0,496
TPSW,156,0.0,496
TWL,179,0.0,669
UHM,333,0.0,478
UHZ,330,0.0,478
UST,325,0.0,477
UT,120,34.58064516129032,380
UTG,58,0.8709677419354839,98
UTLN,124,0.0,453
UTLR,123,0.0,453
UTO,123,0.0,453
UTT,125,0.0,453
UTVR,121,0.1612903225806451,453
UTZL,118,0.1612903225806451,397
VB,124,0.0,174
VD,199,0.0,669
VDL,274,0.0,177
VDM,325,0.0,475
VEM,183,0.0,671
VG,172,0.0,526
VH,98,0.0,178
VHP,232,0.0,404
VK,283,0.0,177
VL,252,0.0,591
VLB,228,0.0,737
VNDC,155,0.1612903225806451,487
VNDW,154,0.1612903225806451,487
VP,183,0.0,932
VRY,235,0.0,738
VS,277,0.0,363
VSS,276,0.0,336
VST,111,0.0,230
VSV,220,0.0,968
VTN,127,0.0,458
