Station Code,Distance from WV,Services from/to WV,Disruptions on path to WV
AC,166,0.0,360
AH,131,0.0,93
AHP,130,0.0,97
AHPR,128,0.0,96
AHZ,139,0.0,350
AKL,189,0.0,371
AKM,22,29.677419354838708,7
ALM,136,2.5161290322580645,25
ALMB,130,0.0,25
ALMM,137,0.0,156
ALMO,128,0.0,14
ALMP,134,0.0,30
AMF,121,0.0,14
AMFS,118,0.0,14
AML,100,0.0,35
AMPO,139,0.0,157
AMR,205,0.0,299
AMRI,102,0.0,105
AMRN,206,0.0,374
ANA,235,0.0,385
APD,101,0.0,14
APDM,102,0.0,49
APDO,98,0.0,90
APG,128,0.0,44
APN,177,0.0,264
ARN,320,0.0,524
ASA,163,0.0,18
ASB,163,0.0,18
ASD,166,0.1612903225806451,14
ASDL,173,0.0,272
ASDM,162,0.0,254
ASDZ,165,2.3225806451612905,15
ASHD,164,0.0,32
ASN,77,0.0,57
ASS,170,0.0,272
ASSP,161,0.0,33
ATN,159,0.0,104
AVAT,115,0.0,20
BD,233,0.0,413
BDE,275,0.0,551
BDG,169,0.0,255
BDM,109,0.0,33
BDPB,238,0.0,736
BET,212,0.0,327
BF,113,0.0,33
BGN,268,0.0,523
BHDV,200,0.0,391
BHV,133,0.0,258
BK,268,0.0,552
BKF,224,0.0,357
BKG,223,0.0,353
BKL,154,0.0,327
BL,61,0.0,62
BLL,188,0.0,309
BMN,109,0.0,90
BMR,175,0.0,385
BN,109,0.0,105
BNC,140,0.0,255
BNK,150,0.0,327
BNN,137,0.0,254
BNZ,142,0.0,271
BP,64,0.0,17
BR,210,0.0,414
BRD,209,0.0,488
BRN,130,0.0,254
BSD,175,0.0,370
BSK,183,0.0,345
BSKS,184,0.0,368
BSMZ,142,0.0,15
BTL,202,0.0,400
BV,195,0.0,293
BZL,300,0.0,554
CAS,193,0.0,296
CK,165,0.0,382
CL,160,0.0,355
CO,110,0.0,34
CPS,187,0.0,412
CVM,285,0.0,569
DA,97,0.0,24
DB,154,0.0,327
DDN,119,0.0,124
DDR,217,0.0,402
DDRS,214,0.0,402
DDZD,218,0.0,519
DEI,44,0.0,17
DID,148,0.0,102
DL,67,0.0,14
DLD,130,0.0,254
DLN,114,0.0,48
DMN,159,0.0,32
DMNZ,159,0.0,15
DN,238,0.0,466
DR,115,0.0,90
DRH,193,0.0,310
DRON,87,0.0,14
DRP,51,0.0,31
DT,211,0.0,427
DTC,159,0.0,122
