Station Code,Distance from BSMZ,Services from/to BSMZ,Disruptions on path to BSMZ
OP,77,0.0,120
OST,89,0.0,307
OT,92,0.0,190
OTB,68,0.0,281
OVN,45,0.0,313
OW,89,0.0,147
PMO,49,0.0,276
PMR,48,0.0,297
PMW,47,0.0,300
PT,39,0.0,241
RAI,22,15.064516129032258,29
RAT,105,0.0,15
RB,165,0.0,271
RD,231,0.0,99
RH,82,0.0,539
RHN,66,0.0,109
RL,104,0.0,278
RLB,86,0.0,229
RM,155,0.0,212
RS,78,0.0,147
RSD,136,0.0,266
RSN,105,0.0,276
RSW,82,0.0,108
RTA,69,0.0,159
RTB,80,0.0,229
RTD,79,0.0,159
RTN,74,0.0,161
RTST,84,0.0,229
RTZ,83,0.0,229
RV,165,0.0,417
RVS,98,0.0,168
SBK,187,0.0,293
SD,16,0.0,15
SDA,220,0.0,89
SDM,83,0.0,229
SDT,88,0.0,148
SDTB,91,0.0,149
SGL,211,0.0,279
SGN,84,0.0,389
SHL,34,32.903225806451616,29
SK,204,0.0,258
SKND,203,0.0,258
SM,160,0.0,261
SN,189,0.0,294
SOG,209,0.0,280
SPTN,50,0.0,313
SPTZ,48,0.0,313
SRN,173,0.0,290
SSH,55,0.0,79
ST,17,0.0,15
STD,180,0.0,261
STM,215,0.0,95
STV,233,0.0,266
STZ,18,0.0,15
SWD,204,0.0,83
SWK,129,0.0,65
TB,93,0.0,147
TBG,108,0.0,575
TBR,98,0.0,160
TBU,94,0.0,160
TG,158,0.0,398
TL,61,0.0,117
TPSW,59,0.0,117
TWL,74,0.0,276
UHM,228,0.0,99
UHZ,225,0.0,99
UST,220,0.0,98
UT,23,16.774193548387096,1
UTG,47,0.0,335
UTLN,27,0.0,74
UTLR,26,0.0,74
UTO,20,16.774193548387096,1
UTT,28,0.0,74
UTVR,24,0.0,74
UTZL,25,0.0,74
VB,80,0.0,159
VD,94,0.0,276
VDL,203,0.0,280
VDM,220,0.0,96
VEM,78,0.0,278
VG,75,0.0,147
