Station Code,Distance from MDB,Services from/to MDB,Disruptions on path to MDB
AC,198,0.0,311
AH,198,0.0,465
AHP,199,0.0,722
AHPR,201,0.0,722
AHZ,190,0.0,497
AKL,135,0.0,135
AKM,346,0.0,574
ALM,230,0.0,294
ALMB,236,0.0,425
ALMM,229,0.0,444
ALMO,238,0.0,425
ALMP,232,0.0,425
AMF,203,0.0,270
AMFS,206,0.0,510
AML,282,0.0,791
AMPO,227,0.0,444
AMR,229,0.0,288
AMRI,284,0.0,861
AMRN,230,0.0,363
ANA,259,0.0,374
APD,245,0.0,725
APDM,244,0.0,726
APDO,248,0.0,760
APG,409,0.0,604
APN,169,0.0,300
ARN,4,41.0,0
ASA,207,0.0,291
ASB,203,0.0,277
ASD,213,25.93548387096774,267
ASDL,206,0.0,317
ASDM,209,0.0,291
ASDZ,205,0.0,317
ASHD,202,0.0,438
ASN,347,0.0,524
ASS,209,25.93548387096774,248
ASSP,210,0.0,305
ATN,250,0.0,759
AVAT,209,0.0,516
BD,93,0.0,32
BDE,243,0.0,468
BDG,177,0.0,381
BDM,390,0.0,593
BDPB,98,0.0,355
BET,141,0.0,411
BF,394,0.0,593
BGN,56,54.64516129032258,0
BHDV,124,0.0,133
BHV,191,0.0,270
BK,236,0.0,469
BKF,263,0.0,333
BKG,262,0.0,329
BKL,186,0.0,278
BL,331,0.0,524
BLL,197,0.0,248
BMN,220,0.0,725
BMR,204,0.0,497
BN,277,0.0,792
BNC,222,0.0,511
BNK,188,0.0,278
BNN,219,0.0,510
BNZ,224,0.0,527
BP,388,0.0,527
BR,201,0.0,449
BRD,116,0.0,122
BRN,206,0.0,294
BSD,149,0.0,153
BSK,163,0.0,277
BSKS,162,0.0,277
BSMZ,205,0.0,271
BTL,131,0.0,368
BV,207,0.0,250
BZL,24,33.70967741935484,0
CAS,217,0.0,285
CK,194,0.0,494
CL,164,0.0,197
CO,322,0.0,878
CPS,138,0.0,194
CVM,253,0.0,486
DA,293,0.0,861
DB,192,0.0,322
DDN,267,0.0,740
DDR,107,32.29032258064516,5
DDRS,110,0.0,122
DDZD,106,0.064516129032258,5
DEI,368,0.0,527
DID,217,0.0,722
DL,281,0.0,524
DLD,194,0.0,290
DLN,326,0.0,892
DMN,212,0.0,305
DMNZ,207,0.0,294
DN,173,0.0,421
DR,214,0.0,722
DRH,202,0.0,249
DRON,279,0.0,439
DRP,375,0.0,541
DT,141,31.580645161290324,122
DTC,228,0.0,742
DTCH,226,0.0,742
DTCP,140,0.0,192
DV,243,0.0,725
DVC,247,0.0,791
DVD,205,0.0,291
DVN,207,0.0,724
DVNK,162,0.0,241
DWE,381,0.0,527
DZ,413,0.0,622
DZW,412,0.0,622
EC,216,0.0,466
ED,215,0.0,722
EDC,217,0.0,744
EDN,258,0.0,470
EEM,420,0.0,621
EGH,252,0.0,485
EGHM,253,0.0,485
EHS,150,0.0,487
EHV,151,0.0,355
EKZ,266,0.0,341
EML,226,0.0,510
EMN,342,0.0,893
EMNZ,338,0.0,892
ES,280,0.0,792
ESK,276,0.0,792
EST,187,0.0,483
ETN,82,0.0,32
FN,381,0.0,527
FWD,378,0.0,527
GBG,315,0.0,878
GD,151,0.0,192
GDG,154,0.0,277
GDM,156,0.0,154
GDR,233,0.0,759
GERP,373,0.0,577
GK,394,0.0,592
GLN,232,0.0,468
GN,375,0.0,577
GND,121,0.0,123
GNN,379,0.0,592
GO,257,0.0,732
GP,157,0.0,417
GR,130,0.0,133
GS,19,54.935483870967744,0
GV,149,29.387096774193548,223
GVC,150,0.0,238
GVM,154,0.0,238
GVMW,148,0.0,223
GW,351,0.0,581
GZ,103,0.0,355
HAD,190,25.93548387096774,248
HB,243,0.0,499
HBZM,118,0.0,123
HD,230,0.0,513
HDB,309,0.0,865
HDE,251,0.0,510
HDG,374,0.0,527
HDR,271,0.0,383
HDRZ,270,0.0,383
HFD,189,0.0,238
HGL,272,0.0,773
HGLG,270,0.0,773
HGLO,274,0.0,792
HGV,317,0.0,524
HGZ,386,0.0,600
HIL,183,0.0,248
HK,210,0.0,268
HKS,258,0.0,325
HLG,390,0.0,528
HLGH,391,0.0,532
HLM,194,25.93548387096774,248
HLMS,195,0.0,248
HLO,224,0.0,268
HM,164,0.0,417
HMBH,165,0.0,421
HMBV,161,0.0,417
HMH,163,0.0,417
HMN,187,0.0,200
HN,248,0.0,269
HNK,249,0.0,325
HNO,281,0.0,524
HNP,406,0.0,530
HON,262,0.0,725
HOR,194,0.0,270
HR,335,0.0,581
HRL,247,0.0,468
HRLW,249,0.0,485
HRN,369,0.0,577
HRT,191,0.0,449
HT,136,0.0,368
HTN,174,0.0,250
HTNC,173,0.0,250
HTO,137,0.0,441
HVL,209,0.0,510
HVS,200,0.0,270
HVSM,201,0.0,271
HVSP,199,0.0,270
HWD,236,0.0,364
HWZB,202,0.0,248
HZE,162,0.0,423
IJT,389,0.0,528
KBD,37,38.29032258064516,0
KBK,236,0.0,725
KLP,214,0.0,354
KMA,218,0.0,269
KMR,255,0.0,485
KMW,411,0.0,535
KPN,284,0.0,524
KPNZ,284,0.0,524
KRD,255,0.0,496
KRG,30,37.16129032258065,0
KTR,180,0.0,197
KW,383,0.0,598
KZ,217,0.0,272
LAA,151,29.387096774193548,238
LC,244,0.0,725
LDL,166,0.0,248
LDM,142,0.0,153
LEDN,165,29.387096774193548,238
LG,250,0.0,485
LLS,254,0.0,425
LLZM,164,0.0,277
LP,401,0.0,604
LTN,223,0.0,745
LTV,262,0.0,727
LUT,232,0.0,468
LW,364,0.0,510
LWC,367,0.0,527
MAS,189,0.0,270
MDB,0,0.0,0
MES,255,0.0,470
MG,374,0.0,527
MMLH,189,0.0,483
MP,297,0.0,524
MRB,301,0.0,862
MRN,200,0.0,354
MT,249,0.0,468
MTH,384,0.0,600
MTN,252,0.0,470
MTR,250,0.0,470
MZ,172,0.0,428
NDB,206,0.0,271
NH,240,0.0,499
NKK,214,0.0,510
NM,179,0.0,462
NMD,174,0.0,465
NMGO,176,0.0,466
NMH,182,0.0,483
NML,180,0.0,483
NS,242,0.0,510
NSCH,419,0.0,607
NVD,285,0.0,732
NVP,184,0.0,248
NWK,142,0.0,250
O,155,0.0,441
OBD,242,0.0,374
ODB,76,0.064516129032258,3
ODZ,283,0.0,792
OMN,292,0.0,531
OP,184,0.0,200
OST,253,0.0,791
OT,122,0.0,368
OTB,202,0.0,722
OVN,196,0.0,248
OW,154,0.0,441
PMO,230,0.0,269
PMR,229,0.0,269
PMW,228,0.0,272
PT,221,0.0,510
RAI,206,0.0,391
RAT,287,0.0,524
RB,40,38.38709677419355,0
RD,413,0.0,608
RH,208,0.0,723
RHN,223,0.0,357
RL,249,0.0,727
RLB,120,0.0,221
RM,203,0.0,417
RS,143,0.0,441
RSD,69,54.64516129032258,27
RSN,269,0.0,725
RSW,146,0.0,223
RTA,137,0.0,192
RTB,126,32.29032258064516,122
RTD,127,32.29032258064516,122
RTN,132,0.0,192
RTST,122,0.0,122
RTZ,123,0.0,122
RV,214,0.0,466
RVS,163,0.0,462
SBK,235,0.0,498
SD,202,0.0,294
SDA,402,0.0,598
SDM,131,31.580645161290324,192
SDT,117,0.0,122
SDTB,114,0.0,122
SGL,259,0.0,484
SGN,250,0.0,374
SHL,194,0.0,267
SK,386,0.0,527
SKND,385,0.0,527
SM,208,0.0,466
SN,237,0.0,499
SOG,257,0.0,485
SPTN,201,0.0,248
SPTZ,199,0.0,248
SRN,221,0.0,495
SSH,173,0.0,248
ST,201,0.0,294
STD,228,0.0,466
STM,397,0.0,604
STV,415,0.0,535
STZ,200,0.0,294
SWD,386,0.0,592
SWK,311,0.0,574
TB,114,0.0,355
TBG,234,0.0,759
TBR,109,0.0,374
TBU,113,0.0,376
TG,208,0.0,418
TL,168,0.0,197
TPSW,166,0.0,197
TWL,248,0.0,791
UHM,410,0.0,608
UHZ,407,0.0,608
UST,402,0.0,607
UT,182,0.0,197
UTG,213,0.0,268
UTLN,178,0.0,278
UTLR,180,0.0,292
UTO,185,0.0,270
UTT,178,0.0,287
UTVR,181,0.0,278
UTZL,184,0.0,270
VB,153,0.0,267
VD,239,0.0,725
VDL,251,0.0,485
VDM,402,0.0,605
VEM,231,0.0,725
VG,139,0.0,411
VH,173,0.0,248
VHP,295,0.0,862
VK,260,0.0,485
VL,203,0.0,417
VLB,211,0.0,525
VNDC,215,0.0,356
VNDW,214,0.0,356
VP,204,0.0,723
VRY,218,0.0,526
VS,6,57.54838709677419,0
VSS,5,41.064516129032256,0
VST,160,0.0,241
VSV,241,0.0,759
VTN,176,0.0,278
VZ,288,0.0,861
WAD,159,0.0,277
WADN,160,0.0,277
WADT,158,0.0,277
WC,170,0.0,465
WD,167,0.0,277
WDN,277,0.0,732
WF,206,0.0,722
WFM,399,0.0,607
WH,260,0.0,801
WK,402,0.0,530
WL,223,0.0,742
WM,220,0.0,294
WP,214,0.0,438
WR,429,0.0,616
WS,407,0.0,607
WSM,391,0.0,593
WT,179,0.0,417
WTV,203,0.0,724
WV,324,0.0,524
WW,262,0.0,778
WWW,263,0.0,778
WZ,260,0.0,523
YPB,157,0.0,270
ZA,190,0.0,200
ZB,394,0.0,601
ZBM,149,0.0,441
ZD,215,0.0,269
ZDK,218,0.0,272
ZH,387,0.0,592
ZL,269,0.0,510
ZLSH,274,0.0,524
ZLW,92,0.1290322580645161,0
ZP,227,0.0,725
ZTM,162,0.0,267
ZTMO,163,0.0,267
ZV,212,0.0,722
ZVB,84,0.064516129032258,0
ZVT,202,0.0,248
ZWD,109,0.0,122
ZZS,218,0.0,272
