Station Code,Distance from HRLW,Services from/to HRLW,Disruptions on path to HRLW
AC,202,0.0,312
AH,150,0.0,218
AHP,151,0.0,475
AHPR,153,0.0,477
AHZ,142,0.0,232
AKL,173,0.0,247
AKM,303,0.0,618
ALM,227,0.0,289
ALMB,233,0.0,420
ALMM,226,0.0,288
ALMO,235,0.0,420
ALMP,229,0.0,420
AMF,199,0.0,276
AMFS,202,0.0,516
AML,234,0.0,544
AMPO,224,0.0,288
AMR,256,0.0,561
AMRI,236,0.0,614
AMRN,257,0.0,636
ANA,286,0.0,647
APD,197,0.0,478
APDM,196,0.0,479
APDO,200,0.0,513
APG,366,0.0,648
APN,213,0.0,286
ARN,245,0.0,489
ASA,211,0.0,276
ASB,207,0.0,276
ASD,217,0.0,276
ASDL,224,0.0,555
ASDM,213,0.0,313
ASDZ,213,0.0,279
ASHD,208,0.0,290
ASN,304,0.0,568
ASS,221,0.0,534
ASSP,214,0.0,327
ATN,202,0.0,512
AVAT,205,0.0,522
BD,156,0.0,130
BDE,30,0.0,16
BDG,205,0.0,277
BDM,347,0.0,637
BDPB,161,0.0,453
BET,108,0.0,130
BF,351,0.0,637
BGN,193,0.0,458
BHDV,184,0.0,267
BHV,187,0.0,276
BK,29,0.0,20
BKF,275,0.0,619
BKG,274,0.0,615
BKL,190,0.0,279
BL,288,0.0,573
BLL,239,0.0,571
BMN,172,0.0,478
BMR,106,0.0,155
BN,229,0.0,545
BNC,182,0.0,498
BNK,184,0.0,327
BNN,185,0.0,514
BNZ,180,0.0,498
BP,345,0.0,585
BR,71,0.0,102
BRD,195,0.0,570
BRN,202,0.0,300
BSD,159,0.0,246
BSK,219,0.0,367
BSKS,220,0.0,390
BSMZ,201,0.0,277
BTL,118,0.0,206
BV,246,0.0,594
BZL,225,0.0,489
CAS,244,0.0,558
CK,116,0.0,183
CL,160,0.0,246
CO,274,0.0,631
CPS,217,0.0,525
CVM,8,36.54838709677419,18
DA,245,0.0,614
DB,188,0.0,371
DDN,219,0.0,493
DDR,186,0.0,453
DDRS,189,0.0,570
DDZD,185,0.0,476
DEI,325,0.0,585
DID,169,0.0,475
DL,238,0.0,568
DLD,190,0.0,296
DLN,278,0.0,645
DMN,216,0.0,327
DMNZ,211,0.0,279
DN,99,0.0,154
DR,166,0.0,475
DRH,244,0.0,590
DRON,258,0.0,568
DRP,332,0.0,599
DT,220,0.0,523
DTC,180,0.0,495
DTCH,178,0.0,495
DTCP,219,0.0,523
DV,195,0.0,478
DVC,199,0.0,544
DVD,209,0.0,276
DVN,159,0.0,477
DVNK,231,0.0,384
DWE,338,0.0,585
DZ,370,0.0,666
DZW,369,0.0,666
EC,33,0.0,21
ED,167,0.0,475
EDC,169,0.0,497
EDN,33,0.0,16
EEM,377,0.0,665
EGH,7,36.54838709677419,17
EGHM,8,0.0,17
EHS,99,0.0,130
EHV,98,0.0,68
EKZ,278,0.0,627
EML,222,0.0,519
EMN,294,0.0,646
EMNZ,290,0.0,645
ES,232,0.0,545
ESK,228,0.0,545
EST,139,0.0,218
ETN,167,0.0,453
FN,338,0.0,585
FWD,335,0.0,585
GBG,267,0.0,631
GD,210,0.0,276
GDG,207,0.0,276
GDM,152,0.0,203
GDR,185,0.0,512
GERP,330,0.0,621
GK,351,0.0,636
GLN,17,0.0,18
GN,332,0.0,621
GND,187,0.0,267
GNN,336,0.0,636
GO,209,0.0,485
GP,92,0.0,75
GR,178,0.0,265
GS,230,0.0,489
GV,228,0.0,624
GVC,229,0.0,639
GVM,233,0.0,639
GVMW,227,0.0,624
GW,308,0.0,575
GZ,146,0.0,145
HAD,240,0.0,571
HB,6,0.0,17
HBZM,190,0.0,277
HD,226,0.0,519
HDB,261,0.0,618
HDE,244,0.0,568
HDG,331,0.0,585
HDR,298,0.0,656
HDRZ,297,0.0,656
HFD,229,0.0,340
HGL,224,0.0,526
HGLG,222,0.0,526
HGLO,226,0.0,545
HGV,274,0.0,568
HGZ,343,0.0,644
HIL,246,0.0,384
HK,243,0.0,594
HKS,270,0.0,611
HLG,347,0.0,586
HLGH,348,0.0,590
HLM,236,0.0,534
HLMS,235,0.0,555
HLO,251,0.0,561
HM,108,0.0,182
HMBH,107,0.0,182
HMBV,108,0.0,130
HMH,109,0.0,186
HMN,153,0.0,232
HN,260,0.0,555
HNK,261,0.0,611
HNO,238,0.0,568
HNP,363,0.0,588
HON,214,0.0,544
HOR,190,0.0,276
HR,292,0.0,568
HRL,2,38.41935483870968,0
HRLW,0,0.0,0
HRN,326,0.0,621
HRT,81,0.0,154
HT,130,0.0,130
HTN,170,0.0,299
HTNC,169,0.0,299
HTO,131,0.0,203
HVL,195,0.0,515
HVS,196,0.0,276
HVSM,197,0.0,277
HVSP,195,0.0,276
HWD,263,0.0,637
HWZB,228,0.0,555
HZE,87,0.0,70
IJT,346,0.0,586
KBD,212,0.0,489
KBK,188,0.0,478
KLP,174,0.0,497
KMA,235,0.0,568
KMR,6,38.41935483870968,0
KMW,368,0.0,593
KPN,241,0.0,568
KPNZ,241,0.0,568
KRD,10,36.54838709677419,28
KRG,219,0.0,489
KTR,160,0.0,232
KW,340,0.0,642
KZ,229,0.0,558
LAA,230,0.0,639
LC,196,0.0,478
LDL,227,0.0,367
LDM,166,0.0,247
LEDN,228,0.0,374
LG,5,36.54838709677419,17
LLS,251,0.0,420
LLZM,223,0.0,361
LP,358,0.0,648
LTN,175,0.0,498
LTV,214,0.0,480
LUT,25,0.0,19
LW,321,0.0,568
LWC,324,0.0,585
MAS,185,0.0,276
MDB,249,0.0,489
MES,18,38.41935483870968,0
MG,331,0.0,585
MMLH,121,0.0,186
MP,254,0.0,568
MRB,253,0.0,615
MRN,196,0.0,403
MT,24,38.41935483870968,14
MTH,341,0.0,644
MTN,21,38.41935483870968,14
MTR,25,38.41935483870968,16
MZ,77,0.0,68
NDB,202,0.0,277
NH,9,0.0,17
NKK,210,0.0,516
NM,131,0.0,197
NMD,136,0.0,218
NMGO,134,0.0,218
NMH,128,0.0,197
NML,132,0.0,218
NS,238,0.0,516
NSCH,376,0.0,651
NVD,237,0.0,551
NVP,234,0.0,468
NWK,219,0.0,361
O,149,0.0,203
OBD,269,0.0,647
ODB,187,0.0,458
ODZ,235,0.0,545
OMN,249,0.0,575
OP,156,0.0,232
OST,205,0.0,544
OT,127,0.0,249
OTB,154,0.0,475
OVN,238,0.0,571
OW,148,0.0,206
PMO,242,0.0,556
PMR,241,0.0,555
PMW,240,0.0,558
PT,217,0.0,519
RAI,212,0.0,279
RAT,244,0.0,568
RB,209,0.0,489
RD,370,0.0,652
RH,160,0.0,478
RHN,219,0.0,406
RL,201,0.0,480
RLB,199,0.0,669
RM,46,0.0,19
RS,137,0.0,206
RSD,180,0.0,453
RSN,221,0.0,544
RSW,225,0.0,624
RTA,216,0.0,523
RTB,205,0.0,570
RTD,206,0.0,453
RTN,211,0.0,523
RTST,201,0.0,675
RTZ,202,0.0,675
RV,57,0.0,68
RVS,147,0.0,218
SBK,14,0.0,17
SD,198,0.0,300
SDA,359,0.0,642
SDM,210,0.0,523
SDT,191,0.0,277
SDTB,193,0.0,572
SGL,14,38.41935483870968,0
SGN,277,0.0,647
SHL,224,0.0,290
SK,343,0.0,585
SKND,342,0.0,585
SM,51,0.0,68
SN,12,0.0,17
SOG,8,38.41935483870968,0
SPTN,243,0.0,589
