Station Code,distance_SDA,services_per_day_SDA,n_of_disruptions_SDA
AC,244,0,437
AH,209,0,167
AHP,208,0,171
AHPR,206,0,170
AHZ,217,0,424
AKL,267,0,526
AKM,103,0,78
ALM,214,0,99
ALMB,208,0,99
ALMM,215,0,230
ALMO,206,0,88
ALMP,212,0,104
AMF,199,0,88
AMFS,196,0,88
AML,178,0,100
AMPO,217,0,231
AMR,283,0,515
AMRI,180,0,170
AMRN,284,0,590
ANA,313,0,601
APD,179,0,88
APDM,180,0,123
APDO,176,0,164
APG,65,0,48
APN,255,0,338
ARN,398,0,712
ASA,241,0,233
ASB,241,0,233
ASD,244,0,230
ASDL,251,0,509
ASDM,240,0,347
ASDZ,243,0,230
ASHD,242,0,247
ASN,55,0,21
ASS,248,0,488
ASSP,239,0,347
ATN,237,0,178
AVAT,193,0,94
BD,311,0,487
BDE,353,0,626
BDG,247,0,329
BDM,46,0,37
BDPB,316,0,810
BET,290,0,517
BF,50,0,37
BGN,346,0,681
BHDV,278,0,546
BHV,211,0,332
BK,346,0,626
BKF,302,0,573
BKG,301,0,569
BKL,232,0,404
BL,71,0,74
BLL,266,0,525
BMN,187,0,164
BMR,253,0,459
BN,187,0,170
BNC,218,0,329
BNK,228,0,401
BNN,215,0,328
BNZ,220,0,345
BP,61,0,36
BR,288,0,488
BRD,287,0,571
BRN,208,0,328
BSD,253,0,525
BSK,261,0,419
BSKS,262,0,442
BSMZ,220,0,329
BTL,280,0,474
BV,273,0,548
BZL,378,0,712
CAS,271,0,512
CK,243,0,456
CL,238,0,429
CO,188,0,108
CPS,265,0,486
CVM,363,0,643
DA,175,0,98
DB,232,0,401
DDN,197,0,189
DDR,295,0,559
DDRS,292,0,557
DDZD,296,0,676
DEI,89,0,76
DID,226,0,176
DL,145,0,88
DLD,208,0,328
DLN,192,0,122
DMN,237,0,346
DMNZ,237,0,346
DN,316,0,540
DR,193,0,164
DRH,271,0,544
DRON,165,0,88
DRP,96,0,90
DT,289,0,501
DTC,237,0,196
DTCH,235,0,196
DTCP,289,0,556
DV,164,0,98
DVC,168,0,164
DVD,239,0,230
DVN,216,0,173
DVNK,273,0,436
DWE,68,0,59
DZ,69,0,66
DZW,68,0,66
EC,326,0,623
ED,226,0,424
EDC,228,0,446
EDN,368,0,627
EEM,76,0,65
EGH,362,0,642
EGHM,363,0,642
EHS,299,0,593
EHV,300,0,474
EKZ,305,0,581
EML,176,0,91
EMN,208,0,123
EMNZ,204,0,122
ES,200,0,189
ESK,196,0,189
EST,220,0,424
ETN,322,0,810
FN,102,0,76
FWD,71,0,59
GBG,181,0,108
GD,252,0,401
GDG,249,0,329
GDM,246,0,482
GDR,242,0,213
GERP,29,37.83870967741935,0
GK,50,0,36
GLN,342,0,625
