Station Code,Distance from DMNZ,Services from/to DMNZ,Disruptions on path to DMNZ
AC,9,0.0,17
AH,89,0.0,298
AHP,90,0.0,555
AHPR,92,0.0,557
AHZ,97,0.0,555
AKL,80,0.0,201
AKM,181,0.0,322
ALM,23,37.29032258064516,7
ALMB,29,22.29032258064516,138
ALMM,22,37.29032258064516,6
ALMO,31,22.29032258064516,138
ALMP,25,22.29032258064516,138
AMF,38,0.032258064516129,18
AMFS,41,0.0,258
AML,135,0.032258064516129,324
AMPO,20,37.29032258064516,6
AMR,49,0.0,325
AMRI,137,0.0,394
AMRN,50,0.0,400
ANA,79,0.0,411
APD,81,0.032258064516129,258
APDM,82,0.0,293
APDO,84,0.0,293
APG,244,0.0,352
APN,61,0.0,144
ARN,207,0.0,233
ASA,4,0.0,3
ASB,4,0.0,3
ASD,10,0.0,40
ASDL,17,0.0,319
ASDM,6,0.0,40
ASDZ,6,52.58064516129032,3
ASHD,5,0.0,17
ASN,182,0.0,272
ASS,14,0.0,298
ASSP,7,0.0,54
ATN,141,0.0,592
AVAT,44,0.0,264
BD,124,0.0,162
BDE,205,0.0,263
BDG,60,0.0,77
BDM,225,0.0,341
BDPB,129,0.0,485
BET,103,0.0,192
BF,229,0.0,341
BGN,155,0.0,202
BHDV,91,0.0,221
BHV,42,0.0,76
BK,198,0.0,263
BKF,68,0.0,383
BKG,67,0.0,379
BKL,31,0.0,20
BL,166,0.0,157
BLL,32,0.0,335
BMN,106,0.0,293
BMR,133,0.0,590
BN,144,0.0,394
BNC,57,0.0,259
BNK,41,0.0,76
BNN,54,0.0,258
BNZ,59,0.0,275
BP,223,0.0,169
BR,163,0.0,243
BRD,95,0.0,212
BRN,29,0.0,18
BSD,66,0.0,200
BSK,67,0.0,225
BSKS,68,0.0,248
BSMZ,17,16.774193548387096,17
BTL,93,0.0,149
BV,39,0.0,358
BZL,187,0.0,233
CAS,37,0.0,322
CK,123,0.0,587
CL,51,0.0,104
CO,159,0.0,292
CPS,78,0.0,161
CVM,215,0.0,280
DA,146,0.0,394
DB,45,0.0,76
