Station Code,Distance from HMN,Services from/to HMN,Disruptions on path to HMN
PMO,121,0.0,377
PMR,120,0.0,398
PMW,119,0.0,401
PT,94,0.0,551
RAI,91,0.0,122
RAT,119,0.0,364
RB,147,0.0,200
RD,245,0.0,448
RH,35,0.0,272
RHN,98,0.0,206
RL,76,0.0,276
RLB,93,0.0,294
RM,107,0.0,164
RS,58,0.0,56
RSD,118,0.0,195
RSN,96,0.0,274
RSW,119,0.0,296
RTA,103,0.0,204
RTB,99,0.0,195
RTD,100,0.0,195
RTN,105,0.0,265
RTST,95,0.0,195
RTZ,96,0.0,195
RV,96,0.0,150
RVS,38,0.0,35
SBK,139,0.0,245
SD,77,0.0,143
SDA,234,0.0,438
SDM,104,0.0,265
SDT,70,0.0,77
SDTB,73,0.0,78
SGL,163,0.0,231
SGN,156,0.0,490
SHL,103,0.0,60
SK,218,0.0,381
SKND,217,0.0,381
SM,102,0.0,164
SN,141,0.0,246
SOG,161,0.0,232
SPTN,122,0.0,414
SPTZ,120,0.0,414
SRN,125,0.0,242
SSH,115,0.0,227
ST,76,0.0,143
STD,132,0.0,213
STM,229,0.0,444
STV,247,0.0,389
STZ,75,0.0,143
SWD,218,0.0,432
SWK,143,0.0,414
TB,75,0.0,119
TBG,61,0.0,308
TBR,80,0.0,132
TBU,76,0.0,132
TG,89,0.0,131
TL,19,28.032258064516128,3
TPSW,21,0.0,3
TWL,75,0.0,340
UHM,242,0.0,448
UHZ,239,0.0,448
UST,234,0.0,447
UT,57,0.0,46
UTG,119,0.0,436
UTLN,53,0.0,127
UTLR,60,0.0,119
UTO,60,0.0,119
UTT,62,0.0,119
UTVR,56,0.0,127
UTZL,59,0.0,119
VB,114,0.0,204
VD,66,0.0,274
VDL,155,0.0,232
VDM,234,0.0,445
VEM,58,0.0,274
VG,57,0.0,119
VH,115,0.0,227
VHP,122,0.0,411
VK,164,0.0,232
VL,84,0.0,130
VLB,54,0.0,77
VNDC,90,0.0,205
VNDW,89,0.0,205
VP,31,0.0,272
VRY,61,0.0,78
VS,193,0.0,227
VSS,192,0.0,200
VST,112,0.0,312
VSV,68,0.0,308
VTN,64,0.0,124
VZ,115,0.0,410
WAD,97,0.0,204
WADN,98,0.0,204
WADT,96,0.0,204
WC,31,0.0,35
WD,73,0.0,119
WDN,104,0.0,281
WF,33,0.0,271
WFM,231,0.0,447
WH,87,0.0,350
WK,234,0.0,384
WL,50,0.0,291
WM,112,0.0,401
WP,90,0.0,131
WR,261,0.0,456
WS,239,0.0,447
WSM,223,0.0,433
WT,113,0.0,162
WTV,30,0.0,273
WV,156,0.0,364
WW,89,0.0,327
WWW,90,0.0,327
WZ,110,0.0,364
YPB,110,0.0,122
ZA,3,28.032258064516128,0
ZB,226,0.0,441
ZBM,40,0.0,46
ZD,106,0.0,398
ZDK,109,0.0,401
ZH,219,0.0,432
ZL,101,0.0,350
ZLSH,106,0.0,364
ZLW,95,0.0,195
ZP,54,0.0,274
ZTM,105,0.0,119
ZTMO,104,0.0,204
ZV,39,0.0,271
ZVB,103,0.0,200
ZVT,123,0.0,414
ZWD,82,0.0,195
ZZS,109,0.0,401
