Station Code,Distance from SPTN,Services from/to SPTN,Disruptions on path to SPTN
OP,119,0.0,414
OST,139,0.0,615
OT,134,0.0,484
OTB,118,0.0,589
OVN,9,7.193548387096774,37
OW,131,0.0,441
PMO,40,0.0,22
PMR,39,0.0,24
PMW,38,0.0,22
PT,89,0.0,549
RAI,37,0.0,335
RAT,155,0.0,309
RB,161,0.0,248
RD,281,0.0,393
RH,132,0.0,847
RHN,108,0.0,403
RL,154,0.0,586
RLB,81,0.0,196
RM,197,0.0,506
RS,120,0.0,441
RSD,132,0.0,196
RSN,155,0.0,584
RSW,55,0.0,25
RTA,83,0.0,206
RTB,75,0.0,196
RTD,74,0.0,126
RTN,79,0.0,196
RTST,79,0.0,196
RTZ,78,0.0,196
RV,208,0.0,555
RVS,140,0.0,462
SBK,212,0.0,42
SD,66,0.0,310
SDA,270,0.0,383
SDM,70,0.0,126
SDT,104,0.0,243
SDTB,101,0.0,243
SGL,216,0.0,42
SGN,49,0.0,108
SHL,37,0.0,58
SK,254,0.0,566
SKND,253,0.0,566
SM,202,0.0,555
SN,210,0.0,42
SOG,210,0.0,42
SPTN,0,0.0,0
SPTZ,2,42.935483870967744,0
SRN,215,0.0,584
SSH,44,0.0,10
ST,67,0.0,310
STD,219,0.0,42
STM,265,0.0,389
STV,283,0.0,574
STZ,68,0.0,310
SWD,254,0.0,377
SWK,179,0.0,359
TB,135,0.0,441
TBG,158,0.0,883
TBR,140,0.0,454
TBU,136,0.0,454
TG,202,0.0,507
TL,103,0.0,411
TPSW,101,0.0,411
TWL,124,0.0,584
UHM,278,0.0,393
UHZ,275,0.0,393
UST,270,0.0,392
UT,65,0.0,295
UTG,12,37.935483870967744,19
UTLN,69,0.0,368
UTLR,68,0.0,368
UTO,68,0.0,368
UTT,70,0.0,368
UTVR,66,0.0,368
UTZL,63,0.0,312
VB,54,0.0,39
VD,144,0.0,584
VDL,204,0.0,42
VDM,270,0.0,390
VEM,128,0.0,586
VG,117,0.0,441
VH,28,0.9032258064516128,0
VHP,177,0.0,319
VK,213,0.0,42
VL,197,0.0,506
VLB,173,0.0,652
VNDC,100,0.0,402
VNDW,99,0.0,402
VP,128,0.0,847
VRY,180,0.0,653
VS,207,0.0,228
VSS,206,0.0,201
VST,41,0.0,95
VSV,165,0.0,883
VTN,72,0.0,373
VZ,174,0.0,685
WAD,61,0.0,121
WADN,60,0.0,121
WADT,62,0.0,121
WC,147,0.0,465
WD,70,0.0,107
WDN,163,0.0,591
WF,114,0.0,589
WFM,267,0.0,392
WH,146,0.0,625
WK,270,0.0,569
WL,147,0.0,866
WM,19,0.0,45
WP,40,0.0,296
WR,297,0.0,401
WS,275,0.0,392
WSM,259,0.0,378
WT,173,0.0,506
WTV,127,0.0,848
WV,192,0.0,309
WW,177,0.0,598
WWW,176,0.0,598
WZ,128,0.0,562
YPB,58,0.0,42
ZA,125,0.0,414
ZB,262,0.0,386
ZBM,100,0.0,411
ZD,25,0.0,19
ZDK,28,0.0,22
ZH,255,0.0,377
ZL,137,0.0,295
ZLSH,142,0.0,309
ZLW,109,0.0,243
ZP,132,0.0,584
ZTM,63,0.0,39
ZTMO,64,0.0,39
ZV,136,0.0,846
ZVB,117,0.0,248
ZVT,15,7.193548387096774,37
ZWD,92,0.0,301
ZZS,22,0.0,55
