Station Code,Distance from DDR,Services from/to DDR,Disruptions on path to DDR
STV,308,0.0,413
STZ,93,0.0,172
SWD,279,0.0,470
SWK,204,0.0,452
TB,51,29.41935483870968,323
TBG,141,0.0,386
TBR,46,28.870967741935484,342
TBU,50,28.870967741935484,344
TG,145,0.0,386
TL,61,0.0,75
TPSW,59,0.0,75
TWL,149,0.0,423
UHM,303,0.0,486
UHZ,300,0.0,486
UST,295,0.0,485
UT,75,0.0,75
UTG,106,0.0,146
UTLN,71,0.0,156
UTLR,73,0.0,170
UTO,78,0.0,148
UTT,71,0.0,165
UTVR,74,0.0,156
UTZL,77,0.0,148
VB,46,0.0,145
VD,146,0.0,352
VDL,188,0.0,453
VDM,295,0.0,483
VEM,138,0.0,352
VG,75,0.0,148
VH,66,0.0,126
VHP,202,0.0,412
VK,197,0.0,453
VL,140,0.0,385
VLB,134,0.0,155
VNDC,108,0.0,234
VNDW,107,0.0,234
VP,111,0.0,350
VRY,141,0.0,156
VS,113,33.483870967741936,32
VSS,112,22.83870967741936,5
VST,53,0.0,119
VSV,148,0.0,386
VTN,69,0.0,156
VZ,195,0.0,488
WAD,52,0.0,155
WADN,53,0.0,155
WADT,51,0.0,155
WC,105,27.41935483870968,172
WD,60,0.0,155
WDN,184,0.0,359
WF,113,0.0,349
WFM,292,0.0,485
WH,167,0.0,428
WK,295,0.0,408
WL,130,0.0,369
WM,113,0.0,172
WP,107,0.0,316
WR,322,0.0,494
WS,300,0.0,485
WSM,284,0.0,471
WT,116,0.0,385
WTV,110,0.0,351
WV,217,0.0,402
WW,169,0.0,405
WWW,170,0.0,405
WZ,153,0.0,401
YPB,50,0.0,148
ZA,83,0.0,78
ZB,287,0.0,479
ZBM,58,0.0,75
ZD,108,0.0,147
ZDK,111,0.0,150
ZH,280,0.0,470
ZL,162,0.0,388
ZLSH,167,0.0,402
ZLW,15,60.2258064516129,0
ZP,134,0.0,352
ZTM,55,0.0,145
ZTMO,56,0.0,145
ZV,119,0.0,349
ZVB,23,29.451612903225808,5
ZVT,95,0.0,126
ZWD,2,61.25806451612903,0
ZZS,111,0.0,150
