Station Code,Distance from NM,Services from/to NM,Disruptions on path to NM
AC,101,0.0,363
AH,19,129.3548387096774,0
AHP,20,31.516129032258064,257
AHPR,22,31.516129032258064,257
AHZ,11,44.903225806451616,14
AKL,74,0.0,61
AKM,172,0.0,400
ALM,117,0.0,293
ALMB,123,0.0,424
ALMM,116,0.0,292
ALMO,125,0.0,424
ALMP,119,0.0,424
AMF,70,0.0,40
AMFS,73,0.0,280
AML,103,0.0,326
AMPO,114,0.0,292
AMR,154,35.903225806451616,579
AMRI,105,0.0,396
AMRN,155,33.67741935483871,654
ANA,184,33.67741935483871,665
APD,66,0.0,260
APDM,65,0.0,261
APDO,69,0.0,295
APG,235,0.0,430
APN,112,0.0,340
ARN,175,0.0,435
ASA,110,36.45161290322581,330
ASB,106,8.193548387096774,330
ASD,115,36.45161290322581,294
ASDL,122,0.0,552
ASDM,111,0.0,280
ASDZ,112,7.935483870967742,344
ASHD,105,0.0,490
ASN,173,0.0,350
ASS,119,35.903225806451616,552
ASSP,110,0.0,299
ATN,71,0.0,294
AVAT,76,0.0,286
BD,86,64.80645161290323,107
BDE,125,0.0,180
BDG,104,0.0,331
BDM,216,0.0,419
BDPB,91,27.483870967741936,430
BET,65,0.0,94
BF,220,0.0,419
BGN,123,0.0,435
BHDV,85,0.0,81
BHV,82,0.0,284
BK,118,0.0,181
BKF,173,0.0,637
BKG,172,0.0,633
BKL,89,0.0,330
BL,157,0.0,350
BLL,137,0.0,589
BMN,41,31.516129032258064,260
BMR,25,47.2258064516129,14
BN,98,0.0,327
BNC,51,0.0,23
BNK,69,0.0,54
BNN,54,0.0,39
BNZ,49,0.0,23
BP,214,0.0,367
BR,60,39.0,43
BRD,111,0.0,209
BRN,79,0.0,280
BSD,60,0.0,60
BSK,118,0.0,421
BSKS,119,0.0,444
BSMZ,91,0.0,281
BTL,55,0.0,94
BV,144,0.0967741935483871,573
BZL,155,0.0,466
CAS,142,35.903225806451616,576
CK,15,47.2258064516129,11
CL,61,0.0,60
CO,143,0.0,413
CPS,122,0.0,415
