Station Code,Distance from DZ,Services from/to DZ,Disruptions on path to DZ
AC,255,0.0,410
AH,220,0.0,143
AHP,219,0.0,147
AHPR,217,0.0,146
AHZ,228,0.0,400
AKL,278,0.0,421
AKM,110,0.0,64
ALM,225,0.0,64
ALMB,219,0.0,64
ALMM,226,0.0,195
ALMO,217,0.0,64
ALMP,223,0.0,69
AMF,210,0.0,64
AMFS,207,0.0,64
AML,189,0.0,85
AMPO,228,0.0,196
AMR,294,0.0,349
AMRI,191,0.0,155
AMRN,295,0.0,424
ANA,324,0.0,435
APD,190,0.0,64
APDM,191,0.0,99
APDO,187,0.0,140
APG,4,31.12903225806452,0
APN,266,0.0,314
ARN,409,0.0,574
ASA,252,0.0,198
ASB,252,0.0,198
ASD,255,0.0,64
ASDL,262,0.0,322
ASDM,251,0.0,304
ASDZ,254,0.0,195
ASHD,253,0.0,212
ASN,66,0.0,45
ASS,259,0.0,322
ASSP,250,0.0,203
ATN,248,0.0,154
AVAT,204,0.0,70
BD,322,0.0,463
BDE,364,0.0,601
BDG,258,0.0,305
BDM,23,31.12903225806452,18
BDPB,327,0.0,786
BET,301,0.0,377
BF,35,0.0,30
BGN,357,0.0,573
BHDV,289,0.0,441
BHV,222,0.0,308
BK,357,0.0,602
BKF,313,0.0,407
BKG,312,0.0,403
BKL,243,0.0,377
BL,82,0.0,98
BLL,277,0.0,359
BMN,198,0.0,140
BMR,264,0.0,435
BN,198,0.0,155
BNC,229,0.0,305
BNK,239,0.0,377
BNN,226,0.0,304
BNZ,231,0.0,321
BP,68,0.0,45
BR,299,0.0,464
BRD,298,0.0,538
BRN,219,0.0,304
BSD,264,0.0,420
BSK,272,0.0,395
BSKS,273,0.0,418
BSMZ,231,0.0,65
BTL,291,0.0,450
BV,284,0.0,343
BZL,389,0.0,604
CAS,282,0.0,346
CK,254,0.0,432
CL,249,0.0,405
CO,199,0.0,84
CPS,276,0.0,462
CVM,374,0.0,619
DA,186,0.0,74
DB,243,0.0,377
DDN,208,0.0,174
DDR,306,0.0,452
DDRS,303,0.0,452
DDZD,307,0.0,569
DEI,96,0.0,62
DID,237,0.0,152
DL,156,0.0,64
DLD,219,0.0,304
DLN,203,0.0,98
DMN,248,0.0,202
DMNZ,248,0.0,65
DN,327,0.0,516
DR,204,0.0,140
DRH,282,0.0,360
DRON,176,0.0,64
DRP,103,0.0,76
DT,300,0.0,45
DTC,248,0.0,172
DTCH,246,0.0,172
DTCP,300,0.0,532
DV,175,0.0,74
DVC,179,0.0,140
DVD,250,0.0,195
DVN,227,0.0,149
DVNK,284,0.0,412
DWE,75,0.0,68
DZ,0,0.0,0
DZW,1,31.096774193548388,0
EC,337,0.0,599
ED,237,0.0,400
EDC,239,0.0,422
EDN,379,0.0,603
EEM,61,0.0,58
EGH,373,0.0,618
EGHM,374,0.0,618
EHS,310,0.0,453
EHV,311,0.0,453
EKZ,316,0.0,415
EML,187,0.0,67
EMN,219,0.0,99
EMNZ,215,0.0,98
ES,211,0.0,174
ESK,207,0.0,174
EST,231,0.0,400
ETN,333,0.0,786
FN,109,0.0,62
FWD,78,0.0,45
GBG,192,0.0,84
GD,263,0.0,377
GDG,260,0.0,377
GDM,257,0.0,377
GDR,253,0.0,189
GERP,40,0.0,45
GK,57,0.0,45
GLN,353,0.0,601
GN,38,31.096774193548388,30
GND,292,0.0,441
GNN,34,31.096774193548388,30
GO,218,0.0,207
GP,317,0.0,515
GR,283,0.0,439
GS,394,0.0,574
GV,292,0.0,30
GVC,291,0.0,30
GVM,292,0.0,497
GVMW,293,0.0,30
GW,105,0.0,62
GZ,312,0.0,465
HAD,278,0.0,343
HB,364,0.0,632
HBZM,295,0.0,451
HD,183,0.0,64
HDB,186,0.0,71
HDE,162,0.0,64
HDG,82,0.0,45
HDR,336,0.0,444
HDRZ,335,0.0,444
HFD,270,0.0,269
HGL,203,0.0,155
HGLG,205,0.0,174
HGLO,205,0.0,174
HGV,96,0.0,45
HGZ,53,0.0,68
HIL,285,0.0,343
HK,281,0.0,382
HKS,308,0.0,399
HLG,118,0.0,63
HLGH,119,0.0,67
HLM,274,0.0,322
HLMS,273,0.0,343
HLO,289,0.0,349
HM,324,0.0,515
HMBH,325,0.0,519
HMBV,321,0.0,515
HMH,323,0.0,515
HMN,245,0.0,414
HN,298,0.0,343
HNK,299,0.0,399
HNO,156,0.0,64
HNP,134,0.0,65
HON,194,0.0,140
HOR,232,0.0,65
HR,121,0.0,62
HRL,368,0.0,601
HRLW,370,0.0,618
HRN,44,0.0,45
HRT,309,0.0,516
HT,279,0.0,377
HTN,239,0.0,377
HTNC,240,0.0,405
HTO,280,0.0,450
HVL,216,0.0,304
HVS,226,0.0,64
HVSM,227,0.0,65
HVSP,227,0.0,65
HWD,301,0.0,425
HWZB,266,0.0,343
HZE,322,0.0,521
IJT,117,0.0,63
KBD,376,0.0,574
KBK,199,0.0,100
KLP,244,0.0,422
KMA,273,0.0,356
KMR,376,0.0,618
KMW,139,0.0,70
KPN,159,0.0,64
KPNZ,159,0.0,64
KRD,376,0.0,629
KRG,383,0.0,574
KTR,252,0.0,414
KW,50,0.0,66
KZ,267,0.0,346
LAA,292,0.0,59
LC,208,0.0,140
LDL,280,0.0,395
LDM,271,0.0,421
LEDN,281,0.0,402
LG,371,0.0,618
LLS,201,0.0,50
LLZM,276,0.0,462
LP,12,31.096774193548388,18
LTN,236,0.0,321
LTV,226,0.0,142
LUT,353,0.0,601
LW,92,0.0,45
LWC,89,0.0,55
MAS,238,0.0,377
MDB,413,0.0,601
MES,376,0.0,603
MG,102,0.0,62
MMLH,249,0.0,421
MP,116,0.0,45
MRB,178,0.0,71
MRN,251,0.0,409
MT,370,0.0,601
MTH,51,0.0,68
MTN,373,0.0,603
MTR,371,0.0,603
MZ,332,0.0,526
NDB,232,0.0,65
NH,361,0.0,632
NKK,199,0.0,67
NM,239,0.0,400
NMD,244,0.0,421
NMGO,242,0.0,421
NMH,242,0.0,421
NML,238,0.0,414
NS,171,0.0,64
NSCH,86,0.0,75
NVD,176,0.0,73
NVP,275,0.0,397
NWK,272,0.0,462
O,263,0.0,421
OBD,307,0.0,343
ODB,337,0.0,574
ODZ,214,0.0,174
OMN,167,0.0,71
OP,248,0.0,414
OST,165,0.0,64
OT,300,0.0,493
OTB,224,0.0,400
OVN,276,0.0,359
OW,264,0.0,442
PMO,280,0.0,322
PMR,279,0.0,343
PMW,278,0.0,346
PT,192,0.0,64
RAI,253,0.0,198
RAT,162,0.0,64
RB,373,0.0,574
RD,54,0.0,45
RH,210,0.0,143
RHN,274,0.0,412
RL,213,0.0,142
RLB,294,0.0,532
RM,324,0.0,550
RS,275,0.0,442
RSD,344,0.0,569
RSN,192,0.0,85
RSW,295,0.0,45
RTA,277,0.0,462
RTB,288,0.0,532
RTD,287,0.0,462
RTN,282,0.0,464
RTST,292,0.0,532
RTZ,291,0.0,532
RV,313,0.0,536
RVS,255,0.0,400
SBK,356,0.0,631
SD,223,0.0,318
SDA,69,0.0,66
SDM,291,0.0,532
SDT,296,0.0,451
SDTB,299,0.0,452
SGL,380,0.0,617
SGN,315,0.0,435
SHL,265,0.0,269
SK,114,0.0,62
SKND,113,0.0,62
SM,319,0.0,550
SN,358,0.0,632
SOG,378,0.0,618
SPTN,281,0.0,359
SPTZ,279,0.0,359
SRN,342,0.0,628
SSH,286,0.0,397
ST,224,0.0,318
STD,349,0.0,599
STM,16,31.12903225806452,18
STV,143,0.0,70
STZ,225,0.0,308
SWD,27,31.096774193548388,29
SWK,130,0.0,95
TB,301,0.0,450
TBG,254,0.0,189
TBR,306,0.0,463
TBU,302,0.0,463
TG,306,0.0,517
TL,264,0.0,417
TPSW,266,0.0,417
TWL,180,0.0,140
UHM,51,0.0,45
UHZ,48,0.0,45
UST,43,0.0,44
UT,231,0.0,304
UTG,278,0.0,381
UTLN,235,0.0,377
UTLR,234,0.0,377
UTO,228,0.0,304
UTT,236,0.0,377
UTVR,232,0.0,377
UTZL,233,0.0,377
VB,288,0.0,462
VD,203,0.0,140
VDL,372,0.0,618
VDM,69,0.0,73
VEM,195,0.0,140
VG,283,0.0,450
VH,289,0.0,412
VHP,184,0.0,74
VK,381,0.0,618
VL,301,0.0,516
VLB,271,0.0,463
VNDC,266,0.0,411
VNDW,265,0.0,411
VP,214,0.0,146
VRY,278,0.0,464
VS,419,0.0,601
VSS,418,0.0,574
VST,286,0.0,497
VSV,257,0.0,173
VTN,238,0.0,382
VZ,191,0.0,75
WAD,271,0.0,462
WADN,272,0.0,462
WADT,270,0.0,462
WC,248,0.0,400
WD,247,0.0,304
WDN,184,0.0,85
WF,228,0.0,400
WFM,40,0.0,44
WH,158,0.0,64
WK,130,0.0,65
WL,243,0.0,172
WM,271,0.0,346
WP,241,0.0,196
WR,96,0.0,84
WS,74,0.0,75
WSM,32,0.0,30
WT,339,0.0,515
WTV,223,0.0,149
WV,132,0.0,62
WW,236,0.0,154
WWW,235,0.0,154
WZ,153,0.0,64
YPB,284,0.0,380
ZA,242,0.0,414
ZB,61,0.0,69
ZBM,266,0.0,420
ZD,265,0.0,343
ZDK,268,0.0,346
ZH,50,0.0,45
ZL,144,0.0,50
ZLSH,149,0.0,64
ZLW,321,0.0,569
ZP,191,0.0,140
ZTM,279,0.0,377
ZTMO,278,0.0,462
ZV,232,0.0,152
ZVB,329,0.0,574
ZVT,282,0.0,359
ZWD,305,0.0,637
ZZS,268,0.0,346
