Station Code,Distance from DVD,Services from/to DVD,Disruptions on path to DVD
NMH,111,0.0,351
NML,107,0.0,344
NS,79,0.0,241
NSCH,256,0.0,98
NVD,138,0.0,24
NVP,25,3.4838709677419355,50
NWK,63,36.483870967741936,99
O,98,0.0,146
OBD,60,0.0,316
ODB,129,0.0,291
ODZ,157,0.0,343
OMN,129,0.0,22
OP,85,0.0,119
OST,108,0.0,307
OT,100,0.0,189
OTB,85,0.0,95
OVN,29,0.0,332
OW,97,0.0,146
PMO,33,0.0,295
PMR,32,0.0,316
PMW,31,0.0,319
PT,58,0.0,241
RAI,3,52.54838709677419,0
RAT,124,0.0,15
RB,165,0.0,291
RD,250,0.0,99
RH,99,0.0,331
RHN,74,1.5483870967741935,108
RL,123,0.0,278
RLB,85,0.0,169
RM,163,0.0,211
RS,86,0.0,146
RSD,136,0.0,169
RSN,124,0.064516129032258,276
RSW,63,0.0,79
RTA,68,36.483870967741936,99
RTB,79,6.806451612903226,169
RTD,78,43.70967741935484,99
RTN,73,36.483870967741936,101
RTST,83,0.0,169
RTZ,82,0.0,169
RV,174,0.0,260
RVS,106,0.0,167
SBK,195,0.0,292
SD,35,0.0,15
SDA,239,0.0,89
SDM,78,7.225806451612903,180
SDT,96,0.0,147
SDTB,99,0.0,148
SGL,219,0.0,278
SGN,68,0.0,408
SHL,15,92.5483870967742,0
SK,223,0.0,258
SKND,222,0.0,258
SM,168,0.0,260
SN,197,0.0,293
SOG,217,0.0,279
SPTN,34,0.0,332
SPTZ,32,0.0,332
SRN,181,0.0,289
SSH,36,3.4838709677419355,50
ST,36,0.0,15
STD,188,0.0,260
STM,234,0.0,95
STV,252,0.0,266
STZ,37,0.0,15
SWD,223,0.0,83
SWK,148,0.0,65
TB,101,0.0,146
TBG,125,0.0,367
TBR,106,0.0,159
TBU,102,0.0,159
TG,168,0.0,212
TL,69,0.0,116
TPSW,67,0.0,116
TWL,93,0.0,276
UHM,247,0.0,99
UHZ,244,0.0,99
UST,239,0.0,98
UT,31,27.258064516129032,0
UTG,31,43.41935483870968,354
UTLN,35,0.0,73
UTLR,34,0.0,73
UTO,34,16.774193548387096,73
UTT,36,0.0,73
UTVR,32,6.580645161290323,73
UTZL,29,10.225806451612904,17
VB,62,0.0,79
VD,113,0.0,276
VDL,211,0.0,279
VDM,239,0.0,96
VEM,97,0.0,278
VG,83,0.0,146
VH,48,0.0,316
VHP,146,0.0,25
VK,220,0.0,279
VL,163,0.0,211
VLB,140,0.0,393
VNDC,66,1.5483870967741935,107
VNDW,65,1.5483870967741935,107
VP,95,0.0,331
VRY,147,0.0,394
VS,211,0.0,201
VSS,210,0.0,174
VST,49,3.4838709677419355,145
VSV,132,0.0,367
VTN,38,0.0,78
VZ,143,0.0,377
WAD,62,0.0,99
WADN,63,0.0,99
WADT,61,0.0,99
WC,113,0.0,170
WD,38,36.516129032258064,14
WDN,132,0.0,283
WF,81,0.0,95
WFM,236,0.0,98
WH,115,0.0,317
WK,239,0.0,261
WL,114,0.0,350
WM,24,43.41935483870968,319
WP,9,54.064516129032256,9
WR,266,0.0,107
WS,244,0.0,98
WSM,228,0.0,84
WT,139,0.0,211
WTV,94,0.0,332
WV,161,0.0,15
WW,146,0.0,290
WWW,145,0.0,290
WZ,97,0.0,254
YPB,66,0.0,82
ZA,91,0.0,119
ZB,231,0.0,92
ZBM,66,0.0,116
ZD,18,43.41935483870968,316
ZDK,21,0.0,319
ZH,224,0.0,83
ZL,106,0.0,1
ZLSH,111,0.0,15
ZLW,113,0.0,286
ZP,101,0.0,276
ZTM,70,0.0,99
ZTMO,69,0.0,99
ZV,103,0.0,330
ZVB,121,0.0,291
ZVT,35,0.0,332
ZWD,96,0.0,274
ZZS,21,43.41935483870968,319
