Station Code,Distance from HVS,Services from/to HVS,Disruptions on path to HVS
AC,31,0.0,17
AH,67,0.0,280
AHP,68,0.0,537
AHPR,70,0.0,537
AHZ,75,0.0,537
AKL,65,0.0,117
AKM,159,0.0,64
ALM,31,29.83870967741936,12
ALMB,37,0.0,143
ALMM,30,29.806451612903224,11
ALMO,39,0.0,143
ALMP,33,0.0,143
AMF,16,116.2258064516129,0
AMFS,19,50.54838709677419,240
AML,113,23.83870967741936,306
AMPO,28,29.806451612903224,11
AMR,68,0.0,285
AMRI,115,0.0,376
AMRN,69,0.0,360
ANA,98,0.0,371
APD,59,33.064516129032256,240
APDM,60,0.0,275
APDO,62,0.0,275
APG,222,0.0,94
APN,53,0.0,83
ARN,196,0.0,270
ASA,26,0.0,3
ASB,26,0.0,3
ASD,29,74.83870967741936,0
ASDL,36,18.774193548387096,258
ASDM,25,37.38709677419355,0
ASDZ,28,51.25806451612903,0
ASHD,27,0.0,17
ASN,160,0.0,14
ASS,33,18.774193548387096,258
ASSP,24,37.45161290322581,18
ATN,119,0.0,574
AVAT,22,32.96774193548387,246
BD,109,0.0,159
BDE,190,0.0,262
BDG,45,0.0,74
BDM,203,0.0,83
BDPB,114,0.0,482
BET,88,0.0,73
BF,207,0.0,83
BGN,144,0.0,269
BHDV,76,0.0,137
BHV,21,0.0,0
BK,183,0.0,263
BKF,87,0.0,343
BKG,86,0.0,339
BKL,30,0.0,73
BL,144,0.0,14
BLL,51,0.0,295
BMN,84,0.0,275
BMR,111,0.0,315
BN,122,0.0,376
BNC,35,0.0,241
BNK,26,0.0,73
BNN,32,0.0,240
BNZ,37,0.0,257
BP,201,0.0,257
BR,146,0.0,344
BRD,85,0.0,234
BRN,7,42.87096774193548,0
BSD,51,0.0,116
BSK,59,0.0,164
BSKS,60,0.0,187
BSMZ,5,53.516129032258064,0
BTL,78,0.0,146
BV,58,0.0,279
BZL,176,0.0,300
CAS,56,0.0,282
CK,101,0.0,312
CL,36,0.0,101
CO,137,0.0,34
CPS,63,0.0,158
CVM,200,0.0,280
DA,124,0.0,24
DB,30,0.0,73
DDN,117,0.0,290
DDR,93,0.0,148
DDRS,90,0.0,148
DDZD,94,0.0,265
DEI,181,0.0,257
DID,86,0.0,537
DL,94,0.0,14
DLD,19,0.0,14
DLN,141,0.0,48
DMN,22,37.45161290322581,17
DMNZ,22,15.096774193548388,0
DN,120,0.0,215
DR,83,0.0,537
DRH,56,0.0,296
DRON,80,0.0,157
DRP,188,0.0,271
DT,87,0.0,173
DTC,97,0.0,557
DTCH,95,0.0,557
DTCP,87,0.0,228
DV,74,32.903225806451616,240
DVC,78,0.0,275
DVD,24,48.935483870967744,0
DVN,76,0.0,539
DVNK,71,0.0,212
DWE,194,0.0,257
DZ,226,0.0,112
DZW,225,0.0,112
EC,163,0.0,260
ED,50,0.0,258
EDC,48,0.0,257
EDN,205,0.0,264
EEM,233,0.0,111
EGH,199,0.0,279
EGHM,200,0.0,279
EHS,97,0.0,149
EHV,98,0.0,149
EKZ,90,0.0,351
EML,39,0.0,240
EMN,157,0.0,49
EMNZ,153,0.0,48
ES,130,17.225806451612904,342
ESK,126,0.2903225806451613,342
EST,78,0.0,537
ETN,120,0.0,482
FN,194,0.0,257
FWD,191,0.0,257
GBG,130,0.0,34
GD,50,0.0,73
GDG,47,0.0,73
GDM,44,0.0,73
GDR,102,0.0,574
GERP,186,0.0,67
GK,207,0.0,82
GLN,179,0.0,262
GN,188,0.0,67
GND,79,0.0,137
GNN,192,0.0,82
GO,107,0.0,282
GP,104,0.0,211
GR,70,0.0,135
GS,181,0.0,270
GV,79,0.0,158
GVC,78,2.193548387096774,76
GVM,79,0.0,297
GVMW,80,0.0,173
GW,164,0.0,71
GZ,99,0.0,161
HAD,52,0.0,279
HB,190,0.0,293
HBZM,82,0.0,147
HD,43,0.0,243
HDB,124,0.0,21
HDE,64,0.0,240
HDG,187,0.0,257
HDR,110,0.0,380
HDRZ,109,0.0,380
HFD,44,32.903225806451616,74
HGL,122,23.83870967741936,323
HGLG,120,0.0,323
HGLO,124,0.0,342
HGV,130,0.0,14
HGZ,199,0.0,90
HIL,59,0.0,279
HK,55,0.0,318
HKS,82,0.0,335
HLG,203,0.0,258
HLGH,204,0.0,262
HLM,48,0.0,258
HLMS,47,0.0,279
HLO,63,0.0,285
HM,111,0.0,211
HMBH,112,0.0,215
HMBV,108,0.0,211
HMH,110,0.0,211
HMN,75,0.0,119
HN,72,0.0,279
HNK,73,0.0,335
HNO,94,0.0,14
HNP,219,0.0,260
HON,93,0.0,275
HOR,6,39.0,0
HR,148,0.0,71
HRL,194,0.0,262
HRLW,196,0.0,279
HRN,182,0.0,67
HRT,138,0.0,243
HT,66,0.0,73
HTN,26,0.0,73
HTNC,27,0.0,101
HTO,67,0.0,146
HVL,22,0.0,240
HVS,0,0.0,0
HVSM,1,53.516129032258064,0
HVSP,1,53.80645161290322,0
HWD,75,0.0,361
HWZB,40,0.0,279
HZE,109,0.0,217
IJT,202,0.0,258
KBD,163,0.0,270
KBK,68,0.0,276
KLP,52,0.0,73
KMA,47,0.0,292
KMR,202,0.0,279
KMW,224,0.0,265
KPN,97,0.0,14
KPNZ,97,0.0,14
KRD,202,0.0,290
KRG,170,0.0,270
KTR,68,0.0,116
KW,196,0.0,88
KZ,41,0.0,282
LAA,79,0.0,105
LC,94,0.0,275
LDL,67,0.0,164
LDM,58,0.0,117
LEDN,68,7.064516129032258,202
LG,197,0.0,279
LLS,55,0.0,143
LLZM,63,0.0,158
LP,214,0.0,94
LTN,42,0.0,257
LTV,112,0.0,277
LUT,179,0.0,262
LW,177,0.0,240
LWC,180,0.0,257
MAS,25,0.0,73
MDB,200,0.0,297
MES,202,0.0,264
MG,187,0.0,257
MMLH,96,0.0,301
MP,110,0.0,14
MRB,116,0.0,21
MRN,38,0.0,105
MT,196,0.0,262
MTH,197,0.0,90
MTN,199,0.0,264
MTR,197,0.0,264
MZ,119,0.0,222
NDB,6,83.3225806451613,0
NH,187,0.0,293
NKK,27,0.0,240
NM,86,0.0,280
NMD,91,0.0,301
NMGO,89,0.0,301
NMH,89,0.0,301
NML,85,0.0,551
NS,55,0.0,240
