Station Code,Distance from STZ,Services from/to STZ,Disruptions on path to STZ
AC,42,0.0,130
AH,66,0.0,284
AHP,67,0.0,541
AHPR,69,0.0,541
AHZ,74,0.0,541
AKL,65,0.0,141
AKM,158,0.0,308
ALM,44,0.0,27
ALMB,50,0.0,158
ALMM,43,0.0,26
ALMO,52,0.0,158
ALMP,46,0.0,158
AMF,15,0.0,4
AMFS,18,0.0,244
AML,112,0.0,310
AMPO,41,0.0,26
AMR,81,0.0,300
AMRI,114,0.0,380
AMRN,82,0.0,375
ANA,111,0.0,386
APD,58,0.0,244
APDM,59,0.0,279
APDO,61,0.0,279
APG,221,0.0,338
APN,53,0.0,107
ARN,196,0.0,294
ASA,39,0.0,18
ASB,39,0.0,18
ASD,42,0.0,15
ASDL,49,0.0,273
ASDM,38,0.0,15
ASDZ,41,0.0,15
ASHD,40,0.0,32
ASN,159,0.0,258
ASS,46,0.0,273
ASSP,37,0.0,33
ATN,118,0.0,578
AVAT,21,0.0,250
BD,109,0.0,183
BDE,190,0.0,286
BDG,45,0.0,98
BDM,202,0.0,327
BDPB,114,0.0,506
BET,88,0.0,97
BF,206,0.0,327
BGN,144,0.0,293
BHDV,76,0.0,161
BHV,9,28.225806451612904,4
BK,183,0.0,287
BKF,100,0.0,358
BKG,99,0.0,354
BKL,30,0.0,97
BL,143,0.0,258
BLL,64,0.0,310
BMN,83,0.0,279
BMR,110,0.0,319
BN,121,0.0,380
BNC,34,0.0,245
BNK,26,0.0,97
BNN,31,0.0,244
BNZ,36,0.0,261
BP,200,0.0,261
BR,145,0.0,348
BRD,85,0.0,258
BRN,6,31.193548387096776,0
BSD,51,0.0,140
BSK,59,0.0,188
BSKS,60,0.0,211
BSMZ,18,0.0,15
BTL,78,0.0,170
BV,71,0.0,294
BZL,176,0.0,324
CAS,69,0.0,297
CK,100,0.0,316
CL,36,0.0,125
CO,136,0.0,278
CPS,63,0.0,182
CVM,200,0.0,304
DA,123,0.0,380
DB,30,0.0,97
DDN,116,0.0,294
DDR,93,0.0,172
DDRS,90,0.0,172
DDZD,94,0.0,289
DEI,180,0.0,261
DID,85,0.0,541
DL,93,0.0,258
DLD,6,30.483870967741936,0
DLN,140,0.0,292
DMN,35,0.0,32
DMNZ,35,0.0,15
DN,120,0.0,239
DR,82,0.0,541
DRH,69,0.0,311
DRON,93,0.0,172
DRP,187,0.0,275
DT,87,0.0,197
DTC,96,0.0,561
DTCH,94,0.0,561
DTCP,87,0.0,252
DV,73,0.0,244
DVC,77,0.0,279
DVD,37,0.0,15
DVN,75,0.0,543
DVNK,71,0.0,205
DWE,193,0.0,261
DZ,225,0.0,356
DZW,224,0.0,356
EC,163,0.0,284
ED,49,0.0,262
EDC,47,0.0,261
EDN,205,0.0,288
EEM,232,0.0,355
EGH,199,0.0,303
EGHM,200,0.0,303
EHS,97,0.0,173
EHV,98,0.0,173
EKZ,103,0.0,366
EML,38,0.0,244
EMN,156,0.0,293
EMNZ,152,0.0,292
ES,129,0.0,346
ESK,125,0.0,346
EST,77,0.0,541
ETN,120,0.0,506
FN,193,0.0,261
FWD,190,0.0,261
GBG,129,0.0,278
GD,50,0.0,97
GDG,47,0.0,97
GDM,44,0.0,97
GDR,101,0.0,578
GERP,185,0.0,311
GK,206,0.0,326
GLN,179,0.0,286
GN,187,0.0,311
GND,79,0.0,161
GNN,191,0.0,326
GO,106,0.0,286
GP,104,0.0,235
GR,70,0.0,159
GS,181,0.0,294
GV,79,0.0,182
GVC,78,0.0,100
GVM,79,0.0,290
GVMW,80,0.0,197
GW,163,0.0,315
GZ,99,0.0,185
HAD,65,0.0,294
HB,190,0.0,317
HBZM,82,0.0,171
HD,42,0.0,247
HDB,123,0.0,265
HDE,63,0.0,244
HDG,186,0.0,261
HDR,123,0.0,395
HDRZ,122,0.0,395
HFD,57,0.0,89
HGL,121,0.0,327
HGLG,119,0.0,327
HGLO,123,0.0,346
HGV,129,0.0,258
HGZ,198,0.0,334
HIL,72,0.0,294
HK,68,0.0,333
HKS,95,0.0,350
HLG,202,0.0,262
HLGH,203,0.0,266
HLM,61,0.0,273
HLMS,60,0.0,294
HLO,76,0.0,300
HM,111,0.0,235
HMBH,112,0.0,239
HMBV,108,0.0,235
HMH,110,0.0,235
HMN,75,0.0,143
HN,85,0.0,294
HNK,86,0.0,350
HNO,93,0.0,258
HNP,218,0.0,264
HON,92,0.0,279
HOR,19,0.0,15
HR,147,0.0,315
HRL,194,0.0,286
HRLW,196,0.0,303
HRN,181,0.0,311
HRT,138,0.0,267
HT,66,0.0,97
HTN,26,0.0,97
HTNC,27,0.0,125
HTO,67,0.0,170
HVL,21,0.0,244
HVS,13,0.0,14
HVSM,14,0.0,15
HVSP,14,0.0,15
HWD,88,0.0,376
HWZB,53,0.0,294
HZE,109,0.0,241
IJT,201,0.0,262
KBD,163,0.0,294
KBK,67,0.0,280
KLP,52,0.0,97
KMA,60,0.0,307
KMR,202,0.0,303
KMW,223,0.0,269
KPN,96,0.0,258
KPNZ,96,0.0,258
KRD,202,0.0,314
KRG,170,0.0,294
KTR,68,0.0,140
KW,195,0.0,332
KZ,54,0.0,297
LAA,79,0.0,129
LC,93,0.0,279
LDL,67,0.0,188
LDM,58,0.0,141
LEDN,68,0.0,195
LG,197,0.0,303
LLS,68,0.0,158
LLZM,63,0.0,182
LP,213,0.0,338
LTN,41,0.0,261
LTV,111,0.0,281
LUT,179,0.0,286
LW,176,0.0,244
LWC,179,0.0,261
MAS,25,0.0,97
MDB,200,0.0,321
MES,202,0.0,288
MG,186,0.0,261
MMLH,95,0.0,305
MP,109,0.0,258
MRB,115,0.0,265
MRN,38,0.0,129
MT,196,0.0,286
MTH,196,0.0,334
MTN,199,0.0,288
MTR,197,0.0,288
MZ,119,0.0,246
NDB,19,0.0,15
NH,187,0.0,317
NKK,26,0.0,244
NM,85,0.0,284
NMD,90,0.0,305
NMGO,88,0.0,305
NMH,88,0.0,305
NML,84,0.0,555
NS,54,0.0,244
NSCH,231,0.0,341
NVD,113,0.0,267
NVP,62,0.0,217
NWK,59,0.0,182
O,85,0.0,170
OBD,94,0.0,294
ODB,124,0.0,294
ODZ,132,0.0,346
OMN,104,0.0,265
OP,72,0.0,143
OST,83,0.0,310
OT,87,0.0,213
OTB,62,0.0,284
OVN,63,0.0,310
OW,84,0.0,170
PMO,67,0.0,273
PMR,66,0.0,294
PMW,65,0.0,297
PT,33,0.0,244
RAI,40,0.0,18
RAT,99,0.0,258
RB,160,0.0,294
RD,225,0.0,342
RH,76,0.0,542
RHN,61,0.0,132
RL,98,0.0,281
RLB,81,0.0,252
RM,150,0.0,235
RS,73,0.0,170
RSD,131,0.0,289
RSN,99,0.0,279
RSW,82,0.0,197
RTA,64,0.0,182
RTB,75,0.0,252
RTD,74,0.0,182
RTN,69,0.0,184
RTST,79,0.0,252
RTZ,78,0.0,252
RV,159,0.0,420
RVS,93,0.0,191
SBK,182,0.0,316
SD,2,31.193548387096776,0
SDA,214,0.0,332
SDM,78,0.0,252
SDT,83,0.0,171
SDTB,86,0.0,172
SGL,206,0.0,302
SGN,102,0.0,386
SHL,52,0.0,89
SK,198,0.0,261
SKND,197,0.0,261
SM,155,0.0,284
SN,184,0.0,317
SOG,204,0.0,303
SPTN,68,0.0,310
SPTZ,66,0.0,310
SRN,168,0.0,313
SSH,73,0.0,217
ST,1,31.193548387096776,0
STD,175,0.0,284
STM,209,0.0,338
STV,227,0.0,269
STZ,0,0.0,0
SWD,198,0.0,326
SWK,123,0.0,308
TB,88,0.0,170
TBG,102,0.0,578
TBR,93,0.0,183
TBU,89,0.0,183
TG,152,0.0,401
TL,56,0.0,140
TPSW,54,0.0,140
TWL,68,0.0,279
UHM,222,0.0,342
UHZ,219,0.0,342
UST,214,0.0,341
UT,18,28.225806451612904,24
UTG,65,0.0,332
UTLN,22,0.0,97
UTLR,21,0.0,97
UTO,15,28.225806451612904,24
UTT,23,0.0,97
UTVR,19,0.0,97
UTZL,20,0.0,97
VB,75,0.0,182
VD,88,0.0,279
VDL,198,0.0,303
VDM,214,0.0,339
VEM,72,0.0,281
VG,70,0.0,170
VH,76,0.0,205
VHP,121,0.0,268
VK,207,0.0,303
VL,147,0.0,400
VLB,117,0.0,347
VNDC,53,0.0,131
VNDW,52,0.0,131
VP,72,0.0,542
VRY,124,0.0,348
VS,206,0.0,321
VSS,205,0.0,294
VST,73,0.0,290
VSV,109,0.0,578
VTN,25,0.0,102
VZ,118,0.0,380
WAD,58,0.0,182
WADN,59,0.0,182
WADT,57,0.0,182
WC,94,0.0,541
WD,34,0.0,97
WDN,107,0.0,286
WF,58,0.0,284
WFM,211,0.0,341
WH,90,0.0,320
WK,214,0.0,264
WL,91,0.0,561
WM,58,0.0,297
WP,28,0.0,26
WR,241,0.0,350
WS,219,0.0,341
WSM,203,0.0,327
WT,126,0.0,235
WTV,71,0.0,543
WV,136,0.0,258
WW,121,0.0,293
WWW,120,0.0,293
WZ,72,0.0,257
YPB,71,0.0,100
ZA,78,0.0,143
ZB,206,0.0,335
ZBM,53,0.0,140
ZD,52,0.0,294
ZDK,55,0.0,297
ZH,199,0.0,326
ZL,81,0.0,244
ZLSH,86,0.0,258
ZLW,108,0.0,289
ZP,76,0.0,279
ZTM,66,0.0,97
