Station Code,distance_HGV,services_per_day_HGV,n_of_disruptions_HGV
AC,159,0,363
AH,124,0,93
AHP,123,0,97
AHPR,121,0,96
AHZ,132,0,350
AKL,182,0,452
AKM,69,0,50
ALM,129,2.3225806451612905,14
ALMB,123,0,14
ALMM,130,0,145
ALMO,121,0.03225806451612903,14
ALMP,127,0,19
AMF,114,1.3225806451612903,14
AMFS,111,0.03225806451612903,14
AML,93,0,26
AMPO,132,0,146
AMR,198,0,430
AMRI,95,0,96
AMRN,199,0,505
ANA,228,0,516
APD,94,0,14
APDM,95,0,49
APDO,91,0,90
APG,92,0,80
APN,170,0,264
ARN,313,0,638
ASA,156,0,148
ASB,156,0,148
ASD,159,0.12903225806451613,145
ASDL,166,0,424
ASDM,155,0,153
ASDZ,158,2.193548387096774,145
ASHD,157,0,162
ASN,30,35.354838709677416,0
ASS,163,0,403
ASSP,154,0,153
ATN,152,0,104
AVAT,108,0.03225806451612903,20
BD,226,0,413
BDE,268,0,552
BDG,162,0,255
BDM,73,0,69
BDPB,231,0,736
BET,205,0,443
BF,77,0,69
BGN,261,0,607
BHDV,193,0,472
BHV,126,0,258
BK,261,0,552
BKF,217,0,488
BKG,216,0,484
BKL,147,0,330
BL,14,34.935483870967744,0
BLL,181,0,440
BMN,102,0,90
BMR,168,0,385
BN,102,0,96
BNC,133,0,255
BNK,143,0,327
BNN,130,0,254
BNZ,135,0,271
BP,88,0,68
BR,203,0,414
BRD,202,0,497
BRN,123,0,254
BSD,168,0,451
BSK,176,0,345
BSKS,177,0,368
BSMZ,135,0,255
BTL,195,0,400
BV,188,0,463
BZL,293,0,638
CAS,186,0,427
CK,158,0,382
CL,153,0,355
CO,103,0,34
CPS,180,0,412
CVM,278,0,569
DA,90,0,24
DB,147,0,327
DDN,112,0,115
DDR,210,0,485
DDRS,207,0,483
DDZD,211,0,602
DEI,91,0,112
DID,141,0,102
DL,60,0,14
DLD,123,0,254
DLN,107,0,48
DMN,152,0,152
DMNZ,152,0,152
DN,231,0,466
DR,108,0,90
DRH,186,0,459
DRON,80,0,14
DRP,98,0,126
DT,204,0,427
DTC,152,0,122
DTCH,150,0,122
DTCP,204,0,482
DV,79,0,24
DVC,83,0,90
DVD,154,0,145
DVN,131,0,99
DVNK,188,0,362
DWE,95,0,91
DZ,96,0,98
DZW,95,0,98
EC,241,0,549
ED,141,0,350
EDC,143,0,372
EDN,283,0,553
EEM,103,0,97
EGH,277,0,568
EGHM,278,0,568
EHS,214,0,519
EHV,215,0,400
EKZ,220,0,496
EML,91,0.03225806451612903,17
EMN,123,0,49
EMNZ,119,0,48
ES,115,0,115
ESK,111,0,115
EST,135,0,350
ETN,237,0,736
FN,104,0,112
FWD,98,0,91
GBG,96,0,34
GD,167,1.2903225806451613,327
GDG,164,0,255
GDM,161,0,408
GDR,157,0,139
GERP,56,34.903225806451616,53
GK,77,0,68
GLN,257,0,551
GN,58,35.32258064516129,53
GND,196,0,472
GNN,62,0,68
GO,122,0,148
GP,221,0,462
GR,187,0,470
GS,298,0,638
GV,196,0,412
GVC,195,2.193548387096774,412
GVM,196,0,447
GVMW,197,0,427
GW,74,0,93
GZ,216,0,415
HAD,182,0,440
HB,268,0,582
HBZM,199,0,482
HD,87,0.8709677419354839,14
HDB,90,0,21
HDE,66,0.03225806451612903,14
HDG,97,0,112
HDR,240,0,525
HDRZ,239,0,525
HFD,174,0,269
HGL,107,0,96
HGLG,109,0,115
HGLO,109,0,115
HGV,0,0,0
HGZ,69,0,76
HIL,189,0,480
HK,185,0,463
HKS,212,0,480
HLG,113,0,75
HLGH,114,0,79
HLM,178,0,403
HLMS,177,0,424
HLO,193,0,430
HM,228,0,462
