Station Code,distance_BRN,services_per_day_BRN,n_of_disruptions_BRN
SPTZ,60,0,314
SRN,174,0,310
SSH,67,0,256
ST,5,30.483870967741936,0
STD,181,0,281
STM,203,0,334
STV,221,0,279
STZ,6,30.483870967741936,0
SWD,192,0,322
SWK,117,0,304
TB,94,0,170
TBG,96,0,574
TBR,99,0,183
TBU,95,0,183
TG,146,0,654
TL,62,0,221
TPSW,60,0,221
TWL,62,0,275
UHM,216,0,338
UHZ,213,0,338
UST,208,0,337
UT,24,28.258064516129032,24
UTG,59,0,318
UTLN,28,0,97
UTLR,27,0,97
UTO,21,28.225806451612904,24
UTT,29,0,97
UTVR,25,0,97
UTZL,26,0,97
VB,81,0,182
VD,82,0,275
VDL,204,0,300
VDM,208,0,335
VEM,66,0,277
VG,76,0,170
VH,76,0,339
VHP,115,0,264
VK,213,0,300
VL,141,0,653
VLB,111,0,600
VNDC,59,0,131
VNDW,58,0,131
VP,66,0,540
VRY,118,0,601
VS,212,0,410
VSS,211,0,410
VST,79,0,290
VSV,103,0,574
VTN,31,0,102
VZ,112,0,376
WAD,64,0,182
WADN,65,0,182
WADT,63,0,182
WC,88,0,537
WD,40,0,97
WDN,101,0,313
WF,52,0,280
WFM,205,0,337
WH,84,0,316
WK,208,0,274
WL,85,0,557
WM,52,0,283
WP,22,37.61290322580645,12
WR,235,0,346
WS,213,0,337
WSM,197,0,323
WT,132,0,232
WTV,65,0,539
WV,130,0,254
WW,115,0,289
WWW,114,0,289
WZ,66,0,253
YPB,77,0,182
ZA,82,0,551
ZB,200,0,331
ZBM,59,0,221
ZD,46,0,280
ZDK,49,0,283
ZH,193,0,322
ZL,75,0,240
ZLSH,80,0,254
ZLW,114,0,372
ZP,70,0,275
ZTM,72,0,182
ZTMO,71,0,182
ZV,74,0,537
ZVB,122,0,377
ZVT,63,0,297
ZWD,98,0,366
ZZS,49,0,283
