Station Code,Distance from HM,Services from/to HM,Disruptions on path to HM
AC,117,0.0,149
AH,107,0.0,140
AHP,108,0.0,397
AHPR,110,0.0,397
AHZ,99,0.0,172
AKL,88,0.0,160
AKM,257,0.0,493
ALM,142,0.0,202
ALMB,148,0.0,333
ALMM,141,0.0,201
ALMO,150,0.0,333
ALMP,144,0.0,333
AMF,114,0.0,189
AMFS,117,0.0,429
AML,191,0.0,466
AMPO,139,0.0,201
AMR,171,0.0,474
AMRI,193,0.0,536
AMRN,172,0.0,549
ANA,201,0.0,560
APD,154,0.0,400
APDM,153,0.0,401
APDO,157,0.0,435
APG,320,0.0,523
APN,128,0.0,199
ARN,160,0.0,390
ASA,126,0.0,189
ASB,122,43.54838709677419,189
ASD,132,0.0,189
ASDL,139,0.0,447
ASDM,128,0.0,226
ASDZ,128,43.54838709677419,203
ASHD,121,0.0,276
ASN,258,0.0,443
ASS,136,0.0,447
ASSP,129,0.0,240
ATN,159,0.0,434
AVAT,120,0.0,435
BD,71,0.0,62
BDE,102,0.0,113
BDG,120,0.0,190
BDM,301,0.0,512
BDPB,76,0.0,385
BET,23,27.90322580645161,62
BF,305,0.0,512
BGN,108,0.0,390
BHDV,99,0.0,180
BHV,102,0.0,189
BK,95,0.0,114
BKF,190,0.0,532
BKG,189,0.0,528
BKL,105,0.0,116
BL,242,0.0,443
BLL,154,0.0,484
BMN,129,0.0,400
BMR,72,0.0,81
BN,186,0.0,467
BNC,133,0.0,430
BNK,99,0.0,240
BNN,130,0.0,429
BNZ,135,0.0,446
BP,299,0.0,446
BR,37,36.41935483870968,28
BRD,110,0.0,502
BRN,117,0.0,213
BSD,74,0.0,159
BSK,134,0.0,280
BSKS,135,0.0,303
BSMZ,116,0.0,190
BTL,33,27.967741935483872,0
BV,161,0.0,468
BZL,140,0.0,421
CAS,159,0.0,471
CK,82,0.0,109
CL,75,0.0,159
CO,231,0.0,553
CPS,132,0.0,457
CVM,112,0.0,131
DA,202,0.0,536
DB,103,0.0,284
DDN,176,0.0,415
DDR,101,1.4516129032258065,385
DDRS,104,0.0,502
DDZD,100,0.0,408
DEI,279,0.0,446
DID,126,0.0,397
DL,192,0.0,443
DLD,105,0.0,209
DLN,235,0.0,567
DMN,131,0.0,240
DMNZ,126,0.0,192
DN,9,65.93548387096774,0
DR,123,0.0,397
DRH,159,0.0,485
DRON,191,0.0,347
DRP,286,0.0,460
DT,135,1.4516129032258065,502
DTC,137,0.0,417
DTCH,135,0.0,417
DTCP,134,0.0,455
DV,152,0.0,400
DVC,156,0.0,466
DVD,124,0.0,189
DVN,116,0.0,399
DVNK,146,0.0,297
DWE,292,0.0,446
DZ,324,0.0,541
DZW,323,0.0,541
EC,75,0.0,111
ED,124,0.0,397
EDC,126,0.0,419
EDN,117,0.0,115
EEM,331,0.0,540
EGH,111,0.0,130
EGHM,112,0.0,130
EHS,14,27.90322580645161,62
EHV,13,76.54838709677419,0
EKZ,193,0.0,540
EML,137,0.0,429
EMN,251,0.0,568
EMNZ,247,0.0,567
ES,189,0.0,467
ESK,185,0.0,467
EST,96,0.0,158
ETN,82,0.0,385
FN,292,0.0,446
FWD,289,0.0,446
GBG,224,0.0,553
GD,125,0.0,189
GDG,122,0.0,189
GDM,67,0.0,116
GDR,142,0.0,434
GERP,284,0.0,496
GK,305,0.0,511
GLN,91,0.0,113
GN,286,0.0,496
GND,102,0.0,180
GNN,290,0.0,511
GO,166,0.0,407
GP,19,0.0,62
GR,93,0.0,178
GS,145,0.0,390
GV,143,1.4516129032258065,603
GVC,144,0.0,618
GVM,148,0.0,618
GVMW,142,0.0,603
GW,262,0.0,500
GZ,61,0.0,58
HAD,155,0.0,468
HB,102,0.0,144
HBZM,105,0.0,190
HD,141,0.0,432
HDB,218,0.0,540
HDE,162,0.0,429
HDG,285,0.0,446
HDR,213,0.0,569
HDRZ,212,0.0,569
HFD,144,0.0,277
HGL,181,0.0,448
HGLG,179,0.0,448
HGLO,183,0.0,467
HGV,228,0.0,443
HGZ,297,0.0,519
HIL,161,0.0,297
HK,158,0.0,507
HKS,185,0.0,524
HLG,301,0.0,447
HLGH,302,0.0,451
HLM,151,0.0,447
HLMS,150,0.0,468
HLO,166,0.0,474
HM,0,0.0,0
HMBH,1,29.516129032258064,0
HMBV,3,29.258064516129032,0
HMH,1,29.258064516129032,0
HMN,98,0.0,162
HN,175,0.0,468
HNK,176,0.0,524
HNO,192,0.0,443
HNP,317,0.0,449
HON,171,0.0,400
HOR,105,0.0,189
HR,246,0.0,500
HRL,106,0.0,113
HRLW,108,0.0,130
HRN,280,0.0,496
HRT,27,36.41935483870968,28
HT,45,71.51612903225806,43
HTN,85,0.0,212
HTNC,84,0.0,212
HTO,46,0.935483870967742,116
HVL,120,0.0,429
HVS,111,0.0,189
HVSM,112,0.0,190
HVSP,110,0.0,189
HWD,178,0.0,550
HWZB,143,0.0,468
HZE,24,0.0,68
IJT,300,0.0,447
KBD,127,0.0,390
KBK,145,0.0,400
KLP,125,0.0,316
KMA,150,0.0,481
KMR,114,0.0,130
KMW,322,0.0,454
KPN,195,0.0,443
KPNZ,195,0.0,443
KRD,114,0.0,141
KRG,134,0.0,390
KTR,91,0.0,159
KW,294,0.0,517
KZ,144,0.0,471
LAA,145,1.4516129032258065,618
LC,153,0.0,400
LDL,142,0.0,280
LDM,81,0.0,160
LEDN,143,1.4516129032258065,287
LG,109,0.0,130
LLS,166,0.0,333
LLZM,138,0.0,274
LP,312,0.0,523
LTN,132,0.0,420
LTV,171,0.0,402
LUT,91,0.0,113
LW,275,0.0,429
LWC,278,0.0,446
MAS,100,0.0,189
MDB,164,0.0,417
MES,114,0.0,115
MG,285,0.0,446
MMLH,87,0.0,112
MP,208,0.0,443
MRB,210,0.0,537
MRN,111,0.0,316
MT,108,0.0,113
MTH,295,0.0,519
MTN,111,0.0,115
MTR,109,0.0,115
MZ,34,0.0,73
NDB,117,0.0,190
NH,99,0.0,144
NKK,125,0.0,429
NM,88,0.0,137
NMD,83,0.0,140
NMGO,85,0.0,141
NMH,91,0.0,158
NML,89,0.0,158
NS,153,0.0,429
NSCH,330,0.0,526
NVD,194,0.0,407
NVP,149,0.0,405
NWK,134,0.0,274
O,64,0.935483870967742,116
OBD,184,0.0,468
ODB,102,0.0,390
ODZ,192,0.0,467
