Station Code,Distance from BD,Services from/to BD,Disruptions on path to BD
AC,115,0.0,119
AH,105,43.80645161290322,110
AHP,106,0.7096774193548387,367
AHPR,108,0.7096774193548387,367
AHZ,97,7.354838709677419,142
AKL,58,0.0,130
AKM,255,0.0,463
ALM,140,0.0,172
ALMB,146,0.0,303
ALMM,139,0.0,171
ALMO,148,0.0,303
ALMP,142,0.0,303
AMF,112,0.0,159
AMFS,115,0.0,399
AML,189,0.0,436
AMPO,137,0.0,171
AMR,152,0.0,283
AMRI,191,0.0,506
AMRN,153,0.0,358
ANA,182,0.0,369
APD,152,0.0,370
APDM,151,0.0,371
APDO,155,0.0,405
APG,318,0.0,493
APN,92,0.0,178
ARN,89,0.0,5
ASA,124,0.0,159
ASB,120,0.0,159
ASD,130,16.93548387096774,159
ASDL,129,0.0,312
ASDM,126,0.0,196
ASDZ,126,0.0,173
ASHD,119,0.0,246
ASN,256,0.0,413
ASS,132,0.0,243
ASSP,127,0.0,210
ATN,157,0.0,404
AVAT,118,0.0,405
BD,0,0.0,0
BDE,150,0.0,113
BDG,100,0.0,259
BDM,299,0.0,482
BDPB,5,30.193548387096776,0
BET,48,0.0,56
BF,303,0.0,482
BGN,37,0.0,5
BHDV,47,0.0,128
BHV,100,0.0,159
BK,143,0.0,114
BKF,186,0.0,328
BKG,185,0.0,324
BKL,103,0.0,86
BL,240,0.0,413
BLL,120,0.0,243
BMN,127,0.7096774193548387,370
BMR,111,0.0,142
BN,184,0.0,437
BNC,131,0.0,400
BNK,97,0.0,210
BNN,128,0.0,399
BNZ,133,0.0,416
BP,297,0.0,416
BR,108,0.0,94
BRD,39,0.0,117
BRN,115,0.0,183
BSD,72,0.0,129
BSK,86,0.0,155
BSKS,85,0.0,155
BSMZ,114,0.0,160
BTL,38,0.0,13
BV,130,0.0,245
BZL,69,0.0,36
CAS,140,0.0,280
CK,101,0.0,139
CL,73,0.0,129
CO,229,0.0,523
CPS,61,0.0,72
CVM,160,0.0,131
DA,200,0.0,506
DB,101,0.0,254
DDN,174,0.0,385
DDR,30,30.70967741935484,0
DDRS,33,0.0,117
DDZD,29,30.193548387096776,23
DEI,277,0.0,416
DID,124,0.0,367
DL,190,0.0,413
DLD,103,0.0,179
DLN,233,0.0,537
DMN,129,0.0,210
DMNZ,124,0.0,162
DN,80,0.0,66
DR,121,34.774193548387096,367
DRH,125,0.0,244
DRON,189,0.0,317
DRP,284,0.0,430
DT,64,33.25806451612903,117
DTC,135,0.0,387
DTCH,133,0.0,387
DTCP,63,0.0,70
DV,150,31.61290322580645,370
DVC,154,0.0,436
DVD,122,0.0,159
DVN,114,0.0,369
DVNK,85,0.0,236
DWE,290,0.0,416
DZ,322,0.0,511
DZW,321,0.0,511
EC,123,0.0,111
ED,122,0.0,367
EDC,124,0.0,389
EDN,165,0.0,115
EEM,329,0.0,510
EGH,159,0.0,130
EGHM,160,0.0,130
EHS,57,0.0,132
EHV,58,37.193548387096776,0
EKZ,189,0.0,336
EML,135,0.0,399
EMN,249,0.0,538
EMNZ,245,0.0,537
ES,187,0.0,437
ESK,183,0.0,437
EST,94,7.354838709677419,128
ETN,11,37.58064516129032,0
FN,290,0.0,416
FWD,287,0.0,416
GBG,222,0.0,523
GD,74,0.0,70
GDG,77,0.0,155
GDM,65,0.0,86
