Station Code,Distance from BD,Services from/to BD,Disruptions on path to BD
GDR,140,0.0,404
GERP,282,0.0,466
GK,303,0.0,481
GLN,139,0.0,113
GN,284,0.0,466
GND,44,0.0,118
GNN,288,0.0,481
GO,164,0.0,377
GP,64,0.0,62
GR,53,0.0,128
GS,74,0.0,5
GV,72,33.25806451612903,218
GVC,73,32.54838709677419,233
GVM,77,0.0,233
GVMW,71,0.0,218
GW,260,0.0,470
GZ,10,29.870967741935484,0
HAD,113,0.0,243
HB,150,0.0,144
HBZM,41,0.0,118
HD,139,0.0,402
HDB,216,0.0,510
HDE,160,0.0,399
HDG,283,0.0,416
HDR,194,0.0,378
HDRZ,193,0.0,378
HFD,112,0.0,233
HGL,179,0.0,418
HGLG,177,0.0,418
HGLO,181,0.0,437
HGV,226,0.0,413
HGZ,295,0.0,489
HIL,106,0.0,243
HK,133,0.0,263
HKS,181,0.0,320
HLG,299,0.0,417
HLGH,300,0.0,421
HLM,117,0.0,243
HLMS,118,0.0,243
HLO,147,0.0,263
HM,71,0.0,62
HMBH,72,0.0,66
HMBV,68,0.0,62
HMH,70,0.0,62
HMN,96,0.0,132
HN,171,0.0,264
HNK,172,0.0,320
HNO,190,0.0,413
HNP,315,0.0,419
HON,169,0.0,370
HOR,103,0.0,159
HR,244,0.0,470
HRL,154,0.0,113
HRLW,156,0.0,130
HRN,278,0.0,466
HRT,98,0.0,94
HT,43,65.80645161290323,13
HTN,83,0.0,182
HTNC,82,0.0,182
HTO,44,27.451612903225808,86
HVL,118,0.0,399
HVS,109,0.0,159
HVSM,110,0.0,160
HVSP,108,0.0,159
HWD,159,0.0,359
HWZB,125,0.0,243
HZE,69,0.0,68
IJT,298,0.0,417
KBD,56,0.0,5
KBK,143,0.0,370
KLP,123,0.0,286
KMA,141,0.0,264
KMR,162,0.0,130
KMW,320,0.0,424
KPN,193,0.0,413
KPNZ,193,0.0,413
KRD,162,0.0,141
KRG,63,0.0,5
KTR,89,0.0,129
KW,292,0.0,487
KZ,140,0.0,267
LAA,74,0.0,233
LC,151,0.0,370
LDL,89,0.0,243
LDM,65,0.0,148
LEDN,88,0.0,233
LG,157,0.0,130
LLS,164,0.0,303
LLZM,87,0.0,155
LP,310,0.0,493
LTN,130,0.0,390
LTV,169,0.0,372
LUT,139,0.0,113
LW,273,0.0,399
LWC,276,0.0,416
MAS,98,0.0,159
MDB,93,0.0,32
MES,162,0.0,115
MG,283,0.0,416
MMLH,96,0.0,128
MP,206,0.0,413
MRB,208,0.0,507
MRN,109,0.0,286
MT,156,0.0,113
MTH,293,0.0,489
MTN,159,0.0,115
MTR,157,0.0,115
MZ,79,0.0,73
NDB,115,0.0,160
NH,147,0.0,144
NKK,123,0.0,399
NM,86,63.87096774193548,107
NMD,81,27.451612903225808,110
NMGO,83,27.451612903225808,111
NMH,89,0.0,128
NML,87,7.354838709677419,128
NS,151,0.0,399
NSCH,328,0.0,496
NVD,192,0.0,377
NVP,107,0.0,243
NWK,65,0.0,128
O,62,63.87096774193548,86
OBD,165,0.0,369
ODB,31,0.0,5
ODZ,190,0.0,437
OMN,201,0.0,420
OP,93,0.0,132
OST,160,31.61290322580645,436
OT,29,0.0,13
OTB,109,0.0,367
OVN,119,0.0,243
OW,61,27.451612903225808,86
PMO,153,0.0,264
PMR,152,0.0,264
PMW,151,0.0,267
PT,130,0.0,399
RAI,125,0.0,162
RAT,196,0.0,413
RB,53,0.0,36
RD,322,0.0,497
RH,115,0.7096774193548387,368
RHN,132,0.0,289
RL,156,0.0,372
RLB,43,0.0,216
RM,110,0.0,62
RS,50,27.451612903225808,86
RSD,24,37.87096774193548,0
RSN,176,0.0,370
RSW,69,0.0,218
RTA,60,0.0,70
RTB,49,0.0,117
RTD,50,55.32258064516129,0
RTN,55,0.0,70
RTST,45,0.0,117
RTZ,46,0.0,0
RV,121,0.0,111
RVS,70,27.451612903225808,107
SBK,142,0.0,143
SD,111,0.0,183
SDA,311,0.0,487
SDM,54,0.0,70
SDT,40,0.0,117
SDTB,37,0.0,117
SGL,166,0.0,129
SGN,173,0.0,369
SHL,117,16.032258064516128,262
SK,295,0.0,416
SKND,294,0.0,416
SM,115,0.0,111
SN,144,0.0,144
SOG,164,0.0,130
SPTN,124,0.0,243
SPTZ,122,0.0,243
SRN,128,0.0,140
SSH,96,0.0,243
ST,110,0.0,183
STD,135,0.0,111
STM,306,0.0,493
STV,324,0.0,424
STZ,109,0.0,183
SWD,295,0.0,481
SWK,220,0.0,463
TB,21,103.70967741935485,0
TBG,141,0.0,404
TBR,16,29.870967741935484,19
TBU,20,29.870967741935484,21
TG,115,0.0,63
TL,77,0.0,129
TPSW,75,0.0,129
TWL,155,0.0,436
UHM,319,0.0,497
UHZ,316,0.0,497
UST,311,0.0,496
UT,91,0.0,86
UTG,136,0.0,263
UTLN,87,0.0,210
UTLR,94,0.0,159
UTO,94,0.0,159
UTT,96,0.0,159
UTVR,90,0.0,210
UTZL,93,0.0,159
VB,76,0.0,262
VD,146,0.0,370
VDL,158,0.0,130
VDM,311,0.0,494
VEM,138,0.0,370
VG,46,0.0,56
VH,96,0.0,243
VHP,202,0.0,507
VK,167,0.0,130
VL,110,0.0,62
VLB,118,0.0,170
VNDC,124,0.0,288
VNDW,123,0.0,288
VP,111,0.7096774193548387,368
VRY,125,0.0,171
VS,99,0.0,32
VSS,98,0.0,5
VST,83,0.0,236
VSV,148,0.0,404
VTN,98,0.0,164
VZ,195,0.0,506
WAD,82,0.0,155
WADN,83,0.0,155
WADT,81,0.0,155
WC,77,27.451612903225808,110
WD,90,0.0,155
WDN,184,0.0,377
WF,113,0.0,367
WFM,308,0.0,496
WH,167,31.61290322580645,446
WK,311,0.0,419
WL,130,0.0,387
WM,143,0.0,289
WP,124,0.0,171
WR,338,0.0,505
WS,316,0.0,496
WSM,300,0.0,482
WT,86,0.0,62
WTV,110,0.0,369
WV,233,0.0,413
WW,169,0.0,423
WWW,170,0.0,423
WZ,169,0.0,412
YPB,80,0.0,265
ZA,99,0.0,132
ZB,303,0.0,490
ZBM,56,0.0,86
ZD,138,0.0,264
ZDK,141,0.0,267
ZH,296,0.0,481
ZL,178,31.61290322580645,399
ZLSH,183,0.0,413
ZLW,15,30.193548387096776,18
ZP,134,34.774193548387096,370
ZTM,85,0.0,262
ZTMO,86,0.0,262
ZV,119,0.0,367
ZVB,23,0.0,23
ZVT,125,0.0,243
ZWD,32,0.0,117
ZZS,141,0.0,267
