Station Code,Distance from EGH,Services from/to EGH,Disruptions on path to EGH
AC,205,0.0,217
AH,153,0.0,218
AHP,154,0.0,475
AHPR,156,0.0,475
AHZ,145,0.0,232
AKL,176,0.0,228
AKM,306,0.0,618
ALM,230,0.0,270
ALMB,236,0.0,401
ALMM,229,0.0,269
ALMO,238,0.0,401
ALMP,232,0.0,401
AMF,202,0.0,257
AMFS,205,0.0,497
AML,237,0.0,544
AMPO,227,0.0,269
AMR,233,0.0,82
AMRI,239,0.0,614
AMRN,234,0.0,157
ANA,263,0.0,168
APD,200,0.0,478
APDM,199,0.0,479
APDO,203,0.0,513
APG,369,0.0,648
APN,184,0.0,49
ARN,248,0.0,458
ASA,214,0.0,257
ASB,210,0.0,257
ASD,217,0.0,61
ASDL,210,0.0,111
ASDM,216,0.0,294
ASDZ,209,0.0,111
ASHD,209,0.0,344
ASN,307,0.0,568
ASS,213,0.0,42
ASSP,217,0.0,308
ATN,205,0.0,512
AVAT,208,0.0,503
BD,159,0.0,130
BDE,37,0.0,19
BDG,192,0.0,130
BDM,350,0.0,637
BDPB,164,0.0,453
BET,111,0.0,130
BF,354,0.0,637
BGN,196,0.0,458
BHDV,187,0.0,248
BHV,190,0.0,257
BK,32,0.0,20
BKF,267,0.0,127
BKG,266,0.0,123
BKL,193,0.0,184
BL,291,0.0,568
BLL,201,0.0,42
BMN,175,0.0,478
BMR,109,0.0,155
BN,232,0.0,545
BNC,185,0.0,241
BNK,187,0.0,308
BNN,188,0.0,257
BNZ,183,0.0,241
BP,348,0.0,585
BR,74,0.0,102
BRD,184,0.0,194
BRN,205,0.0,281
BSD,162,0.0,227
BSK,190,0.0,130
BSKS,191,0.0,153
BSMZ,204,0.0,258
BTL,121,0.0,68
BV,211,0.0,44
BZL,228,0.0,489
CAS,221,0.0,79
CK,119,0.0,183
CL,163,0.0,227
CO,277,0.0,631
CPS,184,0.0,190
CVM,1,37.54838709677419,0
DA,248,0.0,614
DB,191,0.0,352
DDN,222,0.0,493
DDR,189,0.0,453
DDRS,192,0.0,570
DDZD,188,0.0,476
DEI,328,0.0,585
DID,172,0.0,475
DL,241,0.0,568
DLD,193,0.0,277
DLN,281,0.0,645
DMN,219,0.0,308
DMNZ,214,0.0,260
DN,102,0.0,102
DR,169,0.0,475
DRH,206,0.0,43
DRON,261,0.0,568
DRP,335,0.0,599
DT,159,0.0,17
DTC,183,0.0,495
DTCH,181,0.0,495
DTCP,160,0.0,118
DV,198,0.0,478
DVC,202,0.0,544
DVD,212,0.0,257
DVN,162,0.0,477
DVNK,166,0.0,35
DWE,341,0.0,585
DZ,373,0.0,666
DZW,372,0.0,666
EC,36,0.0,21
ED,170,0.0,218
EDC,172,0.0,240
EDN,40,0.0,19
EEM,380,0.0,665
EGH,0,0.0,0
EGHM,5,0.0,0
EHS,102,0.0,130
EHV,101,0.0,68
EKZ,270,0.0,135
EML,225,0.0,497
EMN,297,0.0,646
EMNZ,293,0.0,645
ES,235,0.0,545
ESK,231,0.0,545
EST,142,0.0,218
ETN,170,0.0,453
FN,341,0.0,585
FWD,338,0.0,585
GBG,270,0.0,631
GD,182,0.0,32
GDG,185,0.0,117
GDM,155,0.0,184
GDR,188,0.0,512
GERP,333,0.0,621
GK,354,0.0,636
GLN,20,0.0,18
GN,335,0.0,621
GND,190,0.0,248
GNN,339,0.0,636
GO,212,0.0,485
GP,95,0.0,75
GR,181,0.0,246
GS,233,0.0,458
GV,153,0.0,17
GVC,154,0.0,32
