Station Code,distance_MTH,services_per_day_MTH,n_of_disruptions_MTH
AC,226,0,439
AH,191,0,169
AHP,190,0,173
AHPR,188,0,172
AHZ,199,0,426
AKL,249,0,528
AKM,85,0,80
ALM,196,0,101
ALMB,190,0,101
ALMM,197,0,232
ALMO,188,0,90
ALMP,194,0,106
AMF,181,0,90
AMFS,178,0,90
AML,160,0,102
AMPO,199,0,233
AMR,265,0,517
AMRI,162,0,172
AMRN,266,0,592
ANA,295,0,603
APD,161,0,90
APDM,162,0,125
APDO,158,0,166
APG,47,0,50
APN,237,0,340
ARN,380,0,714
ASA,223,0,235
ASB,223,0,235
ASD,226,0,232
ASDL,233,0,511
ASDM,222,0,349
ASDZ,225,0,232
ASHD,224,0,249
ASN,37,0,23
ASS,230,0,490
ASSP,221,0,349
ATN,219,0,180
AVAT,175,0,96
BD,293,0,489
BDE,335,0,628
BDG,229,0,331
BDM,28,0,39
BDPB,298,0,812
BET,272,0,519
BF,32,0,39
BGN,328,0,683
BHDV,260,0,548
BHV,193,0,334
BK,328,0,628
BKF,284,0,575
BKG,283,0,571
BKL,214,0,406
BL,53,0,76
BLL,248,0,527
BMN,169,0,166
BMR,235,0,461
BN,169,0,172
BNC,200,0,331
BNK,210,0,403
BNN,197,0,330
BNZ,202,0,347
BP,43,0,38
BR,270,0,490
BRD,269,0,573
BRN,190,0,330
BSD,235,0,527
BSK,243,0,421
BSKS,244,0,444
BSMZ,202,0,331
BTL,262,0,476
BV,255,0,550
BZL,360,0,714
CAS,253,0,514
CK,225,0,458
CL,220,0,431
CO,170,0,110
CPS,247,0,488
CVM,345,0,645
DA,157,0,100
DB,214,0,403
DDN,179,0,191
DDR,277,0,561
DDRS,274,0,559
DDZD,278,0,678
DEI,71,0,78
DID,208,0,178
DL,127,0,90
DLD,190,0,330
DLN,174,0,124
DMN,219,0,348
DMNZ,219,0,348
DN,298,0,542
DR,175,0,166
DRH,253,0,546
DRON,147,0,90
DRP,78,0,92
