Station Code,distance_BGN,services_per_day_BGN,n_of_disruptions_BGN
SRN,165,0,468
SSH,117,0,201
ST,145,0,377
STD,172,0,439
STM,341,0,687
STV,359,0,632
STZ,144,0,377
SWD,330,0,675
SWK,255,0,657
TB,58,0,328
TBG,178,0,750
TBR,53,0,347
TBU,57,0,349
TG,152,0,475
TL,112,0,199
TPSW,110,0,199
TWL,192,0,782
UHM,354,0,691
UHZ,351,0,691
UST,346,0,690
UT,126,0,280
UTG,157,0,316
UTLN,122,0,280
UTLR,124,0,183
UTO,129,0,353
UTT,122,0,178
UTVR,125,0,280
UTZL,128,0,353
VB,97,0,220
VD,183,0,716
VDL,195,0,458
VDM,346,0,688
VEM,175,0,716
VG,83,0,384
VH,117,0,201
VHP,239,0,853
VK,204,0,458
VL,147,0,474
VLB,155,0,498
VNDC,159,0,358
VNDW,158,0,358
VP,148,0,716
VRY,162,0,499
VS,62,57.54838709677419,2
VSS,61,41.064516129032256,2
VST,104,0,194
VSV,185,0,750
VTN,120,0,169
VZ,232,0,852
WAD,103,0,160
WADN,104,0,160
WADT,102,0,160
WC,114,0,438
WD,111,0,168
WDN,221,0,789
WF,150,0,713
WFM,343,0,690
WH,204,0,792
WK,346,0,627
WL,167,0,733
WM,164,0,342
WP,159,0,365
WR,373,0,699
WS,351,0,690
WSM,335,0,676
WT,123,0,390
WTV,147,0,715
WV,268,0,607
WW,206,0,769
WWW,207,0,769
WZ,204,0,606
YPB,101,0,223
ZA,134,0,202
ZB,338,0,684
ZBM,93,0,414
ZD,159,0,146
ZDK,162,0,149
ZH,331,0,675
ZL,213,0,593
ZLSH,218,0,607
ZLW,36,0.0967741935483871,5
ZP,171,0,716
ZTM,106,0,220
ZTMO,107,0,223
ZV,156,0,713
ZVB,28,0.03225806451612903,35
ZVT,146,0,279
ZWD,53,0,122
ZZS,162,0,149
