Station Code,distance_VST,services_per_day_VST,n_of_disruptions_VST
SDTB,60,0,308
SGL,243,0,468
SGN,90,0,300
SHL,34,43.193548387096776,95
SK,259,0,464
SKND,258,0,464
SM,192,0,450
SN,221,0,483
SOG,241,0,469
SPTN,41,0,190
SPTZ,39,0,190
SRN,205,0,479
SSH,13,43.16129032258065,95
ST,74,0,290
STD,212,0,450
STM,270,0,527
STV,288,0,472
STZ,73,0,290
SWD,259,0,515
SWK,184,0,497
TB,104,0,512
TBG,149,0,560
TBR,99,0,531
TBU,103,0,533
TG,192,0,486
TL,93,0,390
TPSW,91,0,390
TWL,129,0,468
UHM,283,0,531
UHZ,280,0,531
UST,275,0,530
UT,55,0,193
UTG,53,0,210
UTLN,59,0,266
UTLR,52,0,207
UTO,58,0,266
UTT,50,0,202
UTVR,56,0,266
UTZL,57,0,266
VB,13,0,32
VD,149,0,468
VDL,235,0,469
VDM,275,0,528
VEM,133,0,470
VG,107,0,339
VH,13,17.612903225806452,95
VHP,182,0,457
VK,244,0,469
VL,187,0,485
VLB,164,0,586
VNDC,90,0,300
VNDW,89,0,300
VP,119,0,526
VRY,171,0,587
VS,166,0,227
VSS,165,0,227
VST,0,0,0
VSV,156,0,560
VTN,48,0,193
VZ,179,0,569
WAD,30,0,206
WADN,29,0,206
WADT,31,0,206
WC,137,0,363
WD,39,0,192
WDN,168,0,506
WF,105,0,288
WFM,272,0,530
WH,151,0,509
WK,275,0,467
WL,138,0,543
WM,60,0,236
WP,58,23.161290322580644,231
WR,302,0,539
WS,280,0,530
WSM,264,0,516
WT,163,0,401
WTV,118,0,525
WV,197,0,447
WW,177,0,579
WWW,178,0,579
WZ,133,0,446
YPB,17,0,35
ZA,115,0,393
ZB,267,0,524
ZBM,90,0,390
ZD,55,18.483870967741936,166
ZDK,58,18.483870967741936,169
ZH,260,0,515
ZL,142,18.258064516129032,433
ZLSH,147,0,447
ZLW,68,0,306
ZP,137,0,468
ZTM,22,0,32
ZTMO,23,0,35
ZV,127,0,523
ZVB,76,0,311
ZVT,42,0,173
ZWD,51,0,303
ZZS,58,0,169
