Station Code,distance_ODZ,services_per_day_ODZ,n_of_disruptions_ODZ
TBU,170,0,455
TG,171,0,444
TL,129,0,344
TPSW,131,0,344
TWL,69,0,155
UHM,211,0,199
UHZ,208,0,199
UST,203,0,198
UT,138,0,342
UTG,185,0,660
UTLN,142,0,415
UTLR,141,0,415
UTO,135,0,366
UTT,143,0,415
UTVR,139,0,415
UTZL,140,0,415
VB,195,0,500
VD,68,0,67
VDL,237,0,545
VDM,203,0,196
VEM,60,0,67
VG,151,0,442
VH,196,0,450
VHP,38,0,90
VK,246,0,545
VL,166,0,443
VLB,136,0,390
VNDC,154,0,383
VNDW,153,0,383
VP,79,0,73
VRY,143,0,391
VS,289,0,816
VSS,288,0,816
VST,193,0,535
VSV,122,0,100
VTN,145,0,420
VZ,31,0,89
WAD,178,0,500
WADN,179,0,500
WADT,177,0,500
WC,113,0,327
WD,154,0,342
WDN,30,0,89
WF,93,0,327
WFM,200,0,198
WH,81,0,165
WK,203,0,135
WL,108,0,99
WM,178,0,625
WP,148,0,354
WR,230,0,207
WS,208,0,198
WSM,192,0,184
WT,207,0,504
WTV,88,0,76
WV,125,0,115
WW,101,0,81
WWW,100,0,81
WZ,79,0,115
YPB,191,0,500
ZA,107,0,341
ZB,195,0,192
ZBM,150,0,387
ZD,172,0,622
ZDK,175,0,625
ZH,188,0,183
ZL,70,0,101
ZLSH,75,0,115
ZLW,205,0,796
ZP,56,32.12903225806452,67
ZTM,186,0,500
ZTMO,185,0,500
ZV,97,0,79
ZVB,213,0,801
ZVT,189,0,639
ZWD,192,0,538
ZZS,175,0,625
