Station Code,Distance from BNK,Services from/to BNK,Disruptions on path to BNK
AC,32,5.0,106
AH,50,0.0,54
AHP,51,0.0,311
AHPR,53,0.0,311
AHZ,58,0.0,311
AKL,53,0.0,125
AKM,172,0.0,377
ALM,57,0.0,86
ALMB,63,0.0,217
ALMM,56,0.0,85
ALMO,65,0.0,217
ALMP,59,0.0,217
AMF,29,0.0,73
AMFS,32,0.0,313
AML,126,0.0,379
AMPO,54,0.0,85
AMR,86,0.0,358
AMRI,128,0.0,449
AMRN,87,0.0,433
ANA,116,0.0,444
APD,72,0.0,313
APDM,73,0.0,348
APDO,75,0.0,348
APG,235,0.0,407
APN,43,0.0,83
ARN,184,0.0,278
ASA,41,5.0,73
ASB,37,5.0,73
ASD,47,5.0,73
ASDL,54,0.0,331
ASDM,43,5.0,110
ASDZ,43,0.0,87
ASHD,36,5.0,233
ASN,173,0.0,327
ASS,51,3.3548387096774195,331
ASSP,44,0.0,124
ATN,102,0.0,348
AVAT,35,0.0,319
BD,97,0.0,210
BDE,178,0.0,291
BDG,35,0.0,74
BDM,216,0.0,396
BDPB,102,0.0,533
BET,76,0.0,197
BF,220,0.0,396
BGN,132,0.0,277
BHDV,64,0.0,145
BHV,17,0.0,73
BK,171,0.0,292
BKF,105,0.0,416
BKG,104,0.0,412
BKL,20,40.67741935483871,73
BL,157,0.0,327
BLL,69,0.0,368
BMN,72,0.0,314
BMR,94,0.0,89
BN,129,0.0,381
BNC,48,0.0,55
BNK,0,0.0,0
BNN,45,0.0,313
BNZ,46,0.0,55
BP,214,0.0,330
BR,129,0.0,118
BRD,75,0.0,234
BRN,32,0.0,97
BSD,39,0.0,124
BSK,49,0.0,164
BSKS,50,0.0,187
BSMZ,31,0.0,74
BTL,66,0.0,197
BV,76,0.0,352
BZL,164,0.0,308
CAS,74,0.0,355
CK,84,0.0,86
CL,24,0.0,28
CO,150,0.0,347
CPS,53,0.0,158
CVM,188,0.0,309
DA,137,0.0,449
DB,4,42.54838709677419,0
DDN,119,0.0,329
DDR,81,0.0,156
DDRS,78,0.0,156
DDZD,82,0.0,273
DEI,194,0.0,330
DID,69,0.0,311
DL,107,0.0,327
DLD,20,0.0,93
DLN,154,0.0,361
DMN,46,0.0,124
DMNZ,41,0.0,76
DN,108,0.0,244
DR,66,0.0,311
DRH,74,0.0,369
DRON,106,0.0,231
DRP,201,0.0,344
DT,77,0.0,173
DTC,80,0.0,331
DTCH,78,0.0,331
DTCP,77,0.0,228
DV,87,0.0,313
DVC,91,0.0,348
DVD,39,5.0,73
DVN,59,0.0,313
DVNK,61,0.0,181
DWE,207,0.0,330
DZ,239,0.0,425
DZW,238,0.0,425
EC,151,0.0,289
ED,33,0.0,32
EDC,35,0.0,54
EDN,193,0.0,293
EEM,246,0.0,424
EGH,187,0.0,308
EGHM,188,0.0,308
EHS,85,0.0,273
EHV,86,0.0,197
EKZ,108,0.0,424
EML,52,0.0,313
EMN,170,0.0,362
EMNZ,166,0.0,361
ES,132,0.0,381
ESK,128,0.0,381
EST,61,0.0,311
ETN,108,0.0,533
FN,207,0.0,330
FWD,204,0.0,330
GBG,143,0.0,347
GD,40,0.0,73
GDG,37,0.0,73
GDM,32,0.0,81
GDR,85,0.0,348
GERP,199,0.0,380
GK,220,0.0,395
GLN,167,0.0,291
GN,201,0.0,380
GND,67,0.0,145
GNN,205,0.0,395
GO,109,0.0,321
GP,92,0.0,259
GR,58,0.0,143
GS,169,0.0,278
GV,69,0.0,158
GVC,68,0.0,76
GVM,69,0.0,266
GVMW,70,0.0,173
GW,177,0.0,384
GZ,87,0.0,212
HAD,70,0.0,352
HB,178,0.0,322
HBZM,70,0.0,155
HD,56,0.0,316
HDB,137,0.0,334
HDE,77,0.0,313
HDG,200,0.0,330
HDR,128,0.0,453
HDRZ,127,0.0,453
HFD,59,0.0,161
HGL,124,0.0,362
HGLG,122,0.0,362
HGLO,126,0.0,381
HGV,143,0.0,327
HGZ,212,0.0,403
HIL,76,0.0,181
HK,73,0.0,391
HKS,100,0.0,408
HLG,216,0.0,331
HLGH,217,0.0,335
HLM,66,0.0,331
HLMS,65,0.0,352
HLO,81,0.0,358
HM,99,0.0,240
HMBH,100,0.0,244
HMBV,96,0.0,259
HMH,98,0.0,259
HMN,63,0.0,127
HN,90,0.0,352
HNK,91,0.0,408
HNO,107,0.0,327
HNP,232,0.0,333
HON,106,0.0,348
HOR,20,0.0,73
HR,161,0.0,384
HRL,182,0.0,291
HRLW,184,0.0,308
HRN,195,0.0,380
HRT,126,0.0,272
HT,54,0.0,124
HTN,14,0.0,0
HTNC,15,0.0,28
HTO,55,0.0,197
HVL,35,0.0,313
HVS,26,0.0,73
HVSM,27,0.0,74
HVSP,25,0.0,73
HWD,93,0.0,434
HWZB,58,0.0,352
HZE,97,0.0,265
IJT,215,0.0,331
KBD,151,0.0,278
KBK,81,0.0,349
KLP,26,0.0,32
KMA,65,3.3548387096774195,365
KMR,190,0.0,308
KMW,237,0.0,338
KPN,110,0.0,327
KPNZ,110,0.0,327
KRD,190,0.0,319
KRG,158,0.0,278
KTR,56,0.0,124
KW,209,0.0,401
KZ,59,3.3548387096774195,355
LAA,69,0.0,105
LC,96,0.0,314
LDL,57,0.0,164
LDM,46,0.0,125
LEDN,58,0.0,171
LG,185,0.0,308
LLS,81,0.0,217
LLZM,53,0.0,158
LP,227,0.0,407
LTN,41,0.0,55
LTV,114,0.0,316
LUT,167,0.0,291
LW,190,0.0,313
LWC,193,0.0,330
MAS,15,40.67741935483871,73
MDB,188,0.0,305
MES,190,0.0,293
MG,200,0.0,330
MMLH,79,0.0,75
MP,123,0.0,327
MRB,129,0.0,334
MRN,12,36.96774193548387,32
MT,184,0.0,291
MTH,210,0.0,403
MTN,187,0.0,293
MTR,185,0.0,293
MZ,107,0.0,270
NDB,32,0.0,74
NH,175,0.0,322
NKK,40,0.0,313
NM,69,0.0,54
NMD,74,0.0,75
NMGO,72,0.0,75
NMH,72,0.0,75
NML,68,0.0,325
NS,68,0.0,313
NSCH,245,0.0,410
NVD,127,0.0,336
NVP,64,0.0,289
NWK,49,0.0,158
O,73,0.0,197
OBD,99,0.0,352
ODB,112,0.0,278
ODZ,135,0.0,381
OMN,118,0.0,334
OP,60,0.0,127
OST,97,0.0,379
OT,75,0.0,240
OTB,46,0.0,54
OVN,68,0.0,368
