Station Code,Distance from SBK,Services from/to SBK,Disruptions on path to SBK
PMO,228,0.0,528
PMR,227,0.0,549
PMW,226,0.0,552
PT,203,0.0,510
RAI,198,0.0,273
RAT,230,0.0,581
RB,195,0.0,502
RD,356,0.0,665
RH,146,0.0,489
RHN,205,0.0,400
RL,187,0.0,493
RLB,185,0.0,682
RM,32,0.0,32
RS,123,0.0,197
RSD,166,0.0,466
RSN,207,0.0,491
RSW,161,0.0,17
RTA,190,0.0,188
RTB,181,0.0,188
RTD,180,0.0,118
RTN,185,0.0,188
RTST,185,0.0,188
RTZ,184,0.0,188
RV,43,0.0,81
RVS,133,0.0,231
SBK,0,0.0,0
SD,184,0.0,294
SDA,345,0.0,655
SDM,176,0.0,118
SDT,177,0.0,271
SDTB,179,0.0,583
SGL,28,0.0,17
SGN,261,0.0,168
SHL,205,0.0,61
SK,329,0.0,598
SKND,328,0.0,598
SM,37,0.0,81
SN,2,26.61290322580645,0
SOG,22,0.0,17
SPTN,212,0.0,42
SPTZ,210,0.0,42
SRN,14,0.0,32
SSH,184,0.0,42
ST,183,0.0,294
STD,7,26.64516129032258,30
STM,340,0.0,661
STV,358,0.0,606
STZ,182,0.0,294
SWD,329,0.0,649
SWK,254,0.0,631
TB,121,0.0,124
TBG,172,0.0,525
TBR,126,0.0,137
TBU,122,0.0,137
TG,50,0.0,95
TL,150,0.0,240
TPSW,148,0.0,240
TWL,186,0.0,557
UHM,353,0.0,665
UHZ,350,0.0,665
UST,345,0.0,664
UT,164,0.0,197
UTG,224,0.0,62
UTLN,160,0.0,321
UTLR,167,0.0,270
UTO,167,0.0,270
UTT,169,0.0,270
UTVR,163,0.0,321
UTZL,166,0.0,270
VB,164,0.0,61
VD,177,0.0,491
VDL,16,0.0,17
VDM,345,0.0,662
VEM,169,0.0,491
VG,112,0.0,124
VH,184,0.0,42
VHP,233,0.0,628
VK,25,0.0,17
VL,55,0.0,114
VLB,85,0.0,167
VNDC,197,0.0,399
VNDW,196,0.0,399
VP,142,0.0,489
VRY,78,0.0,167
VS,241,0.0,498
VSS,240,0.0,471
VST,171,0.0,35
VSV,179,0.0,525
VTN,171,0.0,275
VZ,226,0.0,627
WAD,197,0.0,117
WADN,198,0.0,117
WADT,196,0.0,117
WC,126,0.0,231
WD,180,0.0,270
WDN,215,0.0,498
WF,144,0.0,231
WFM,342,0.0,664
WH,198,0.0,567
WK,345,0.0,601
WL,161,0.0,508
WM,219,0.0,552
WP,197,0.0,282
WR,372,0.0,673
WS,350,0.0,664
WSM,334,0.0,650
WT,56,0.0,81
WTV,141,0.0,490
WV,267,0.0,581
WW,200,0.0,544
WWW,201,0.0,544
WZ,221,0.0,581
YPB,168,0.0,64
ZA,136,0.0,245
ZB,337,0.0,658
ZBM,129,0.0,197
ZD,213,0.0,549
ZDK,216,0.0,552
ZH,330,0.0,649
ZL,212,0.0,567
ZLSH,217,0.0,581
ZLW,157,0.0,484
ZP,165,0.0,491
ZTM,173,0.0,61
ZTMO,174,0.0,61
ZV,150,0.0,488
ZVB,165,0.0,489
ZVT,213,0.0,42
ZWD,174,0.0,583
ZZS,216,0.0,552
