Station Code,Distance from BNN,Services from/to BNN,Disruptions on path to BNN
AC,61,0.0,346
AH,35,0.0,39
AHP,36,0.0,296
AHPR,38,0.0,296
AHZ,43,0.0,296
AKL,84,0.0,357
AKM,159,0.0,304
ALM,63,0.0,253
ALMB,69,0.0,384
ALMM,62,0.0,252
ALMO,71,0.0,384
ALMP,65,0.0,384
AMF,16,62.0,0
AMFS,19,0.0,240
AML,113,0.0,306
AMPO,60,0.0,252
AMR,100,0.0,539
AMRI,115,0.0,376
AMRN,101,0.0,614
ANA,130,0.0,625
APD,59,0.0,240
APDM,60,0.0,275
APDO,62,0.0,275
APG,222,0.0,334
APN,72,0.0,250
ARN,215,0.0,510
ASA,58,0.0,244
ASB,58,0.0,244
ASD,61,0.0,254
ASDL,68,0.0,512
ASDM,57,0.0,240
ASDZ,60,0.0,241
ASHD,59,0.0,258
ASN,160,0.0,254
ASS,65,0.0,512
ASSP,56,0.0,259
ATN,87,0.0,333
AVAT,22,0.0,246
BD,128,0.0,399
BDE,179,0.0,240
BDG,64,0.0,241
BDM,203,0.0,323
BDPB,133,0.0,722
BET,107,0.0,313
BF,207,0.0,323
BGN,163,0.0,509
BHDV,95,0.0,377
BHV,28,0.0,244
BK,172,0.0,241
BKF,119,0.0,597
BKG,118,0.0,593
BKL,49,0.0,313
BL,144,0.0,254
BLL,83,0.0,549
BMN,57,0.0,299
BMR,79,0.0,74
BN,114,0.0,366
BNC,3,61.87096774193548,0
BNK,45,0.0,313
BNN,0,0.0,0
BNZ,5,61.87096774193548,16
BP,201,0.0,257
BR,114,0.0,103
BRD,104,0.0,474
BRN,25,0.0,240
BSD,70,0.0,356
BSK,78,0.0,331
BSKS,79,0.0,354
BSMZ,37,0.0,241
BTL,97,0.0,386
BV,90,0.0,533
BZL,195,0.0,540
CAS,88,0.0,536
CK,69,0.0,71
CL,55,0.0,341
CO,137,0.0,274
CPS,82,0.0,398
CVM,189,0.0,258
DA,124,0.0,376
DB,47,0.0,39
DDN,104,0.0,314
DDR,112,0.0,388
DDRS,109,0.0,388
DDZD,113,0.0,505
DEI,181,0.0,257
DID,54,0.0,296
DL,94,0.0,254
DLD,25,0.0,240
DLN,141,0.0,288
DMN,54,0.0,258
DMNZ,54,0.0,241
DN,139,0.0,455
DR,51,0.0,296
DRH,88,0.0,550
DRON,112,0.0,398
DRP,188,0.0,271
DT,106,0.0,413
DTC,65,0.0,316
DTCH,63,0.0,316
DTCP,106,0.0,468
DV,74,0.0,240
DVC,78,0.0,275
DVD,56,0.0,241
DVN,44,0.0,298
DVNK,90,0.0,348
DWE,194,0.0,257
DZ,226,0.0,352
DZW,225,0.0,352
EC,152,0.0,238
ED,18,38.25806451612903,17
EDC,16,38.25806451612903,16
EDN,194,0.0,242
EEM,233,0.0,351
EGH,188,0.0,257
EGHM,189,0.0,257
EHS,116,0.0,389
EHV,117,0.0,389
EKZ,122,0.0,605
EML,39,0.0,240
EMN,157,0.0,289
EMNZ,153,0.0,288
ES,117,0.0,366
ESK,113,0.0,366
EST,46,0.0,296
ETN,139,0.0,722
FN,194,0.0,257
FWD,191,0.0,257
GBG,130,0.0,274
GD,69,0.0,313
GDG,66,0.0,313
GDM,63,0.0,313
GDR,70,0.0,333
GERP,186,0.0,307
GK,207,0.0,322
GLN,168,0.0,240
GN,188,0.0,307
GND,98,0.0,377
GNN,192,0.0,322
GO,94,0.0,306
GP,123,0.0,451
GR,89,0.0,375
GS,200,0.0,510
GV,98,0.0,398
GVC,97,0.0,316
GVM,98,0.0,433
GVMW,99,0.0,413
GW,164,0.0,311
GZ,118,0.0,401
HAD,84,0.0,533
HB,179,0.0,271
HBZM,101,0.0,387
HD,43,0.0,243
HDB,124,0.0,261
HDE,64,0.0,240
HDG,187,0.0,257
HDR,142,0.0,634
HDRZ,141,0.0,634
HFD,76,0.0,315
HGL,109,0.0,347
HGLG,107,0.0,347
HGLO,111,0.0,366
HGV,130,0.0,254
HGZ,199,0.0,330
HIL,91,0.0,533
HK,87,0.0,572
HKS,114,0.0,589
HLG,203,0.0,258
HLGH,204,0.0,262
HLM,80,0.0,512
HLMS,79,0.0,533
HLO,95,0.0,539
HM,130,0.0,451
HMBH,131,0.0,455
HMBV,127,0.0,451
HMH,129,0.0,451
HMN,60,0.0,310
HN,104,0.0,533
HNK,105,0.0,589
HNO,94,0.0,254
HNP,219,0.0,260
HON,93,0.0,275
HOR,38,0.0,241
HR,148,0.0,311
HRL,183,0.0,240
HRLW,185,0.0,257
HRN,182,0.0,307
HRT,124,0.0,155
HT,85,0.0,313
HTN,45,0.0,313
HTNC,46,0.0,341
HTO,86,0.0,386
HVL,10,62.0,0
HVS,32,0.0,240
HVSM,33,0.0,241
HVSP,33,0.0,241
HWD,107,0.0,615
HWZB,72,0.0,533
HZE,128,0.0,457
IJT,202,0.0,258
KBD,182,0.0,510
KBK,68,0.0,276
KLP,25,0.0,39
KMA,79,0.0,546
KMR,191,0.0,257
KMW,224,0.0,265
KPN,97,0.0,254
KPNZ,97,0.0,254
KRD,191,0.0,268
KRG,189,0.0,510
KTR,67,0.0,310
KW,196,0.0,328
KZ,73,0.0,536
LAA,98,0.0,345
LC,81,0.0,299
LDL,86,0.0,331
LDM,77,0.0,357
LEDN,87,0.0,338
LG,186,0.0,257
LLS,87,0.0,384
LLZM,82,0.0,398
LP,214,0.0,334
LTN,10,38.25806451612903,16
LTV,99,0.0,301
LUT,168,0.0,240
LW,177,0.0,240
LWC,180,0.0,257
MAS,44,0.0,313
MDB,219,0.0,537
MES,191,0.0,242
MG,187,0.0,257
MMLH,64,0.0,60
MP,110,0.0,254
MRB,116,0.0,261
MRN,55,0.0,71
MT,185,0.0,240
MTH,197,0.0,330
MTN,188,0.0,242
MTR,186,0.0,242
MZ,138,0.0,462
NDB,38,0.0,241
NH,176,0.0,271
NKK,27,0.0,240
NM,54,0.0,39
NMD,59,0.0,60
NMGO,57,0.0,60
NMH,57,0.0,60
NML,53,0.0,310
NS,55,0.0,240
NSCH,232,0.0,337
NVD,114,0.0,263
NVP,81,0.0,443
NWK,78,0.0,398
O,78,0.0,60
OBD,113,0.0,533
ODB,143,0.0,510
ODZ,120,0.0,366
OMN,105,0.0,261
OP,63,0.0,310
OST,84,0.0,306
OT,106,0.0,429
OTB,31,0.0,39
