Station Code,Distance from BNN,Services from/to BNN,Disruptions on path to BNN
OVN,82,0.0,549
OW,79,0.0,81
PMO,86,0.0,512
PMR,85,0.0,533
PMW,84,0.0,536
PT,34,0.0,240
RAI,59,0.0,244
RAT,100,0.0,254
RB,179,0.0,510
RD,226,0.0,338
RH,45,0.0,297
RHN,78,0.0,74
RL,86,0.0,301
RLB,100,0.0,468
RM,139,0.0,189
RS,90,0.0,81
RSD,150,0.0,505
RSN,100,0.0,275
RSW,101,0.0,413
RTA,83,0.0,398
RTB,94,0.0,468
RTD,93,0.0,398
RTN,88,0.0,400
RTST,98,0.0,468
RTZ,97,0.0,468
RV,128,0.0,175
RVS,70,0.0,296
SBK,171,0.0,270
SD,29,0.0,254
SDA,215,0.0,328
SDM,97,0.0,468
SDT,102,0.0,387
SDTB,105,0.0,388
SGL,195,0.0,256
SGN,121,0.0,625
SHL,71,0.0,315
SK,199,0.0,257
SKND,198,0.0,257
SM,134,0.0,189
SN,173,0.0,271
SOG,193,0.0,257
SPTN,87,0.0,549
SPTZ,85,0.0,549
SRN,157,0.0,267
SSH,92,0.0,443
ST,30,0.0,254
STD,164,0.0,238
STM,210,0.0,334
STV,228,0.0,265
STZ,31,0.0,244
SWD,199,0.0,322
SWK,124,0.0,304
TB,107,0.0,386
TBG,71,0.0,333
TBR,112,0.0,399
TBU,108,0.0,399
TG,121,0.0,156
TL,75,0.0,356
TPSW,73,0.0,356
TWL,69,0.0,275
UHM,223,0.0,338
UHZ,220,0.0,338
UST,215,0.0,337
UT,37,0.0,240
UTG,84,0.0,571
UTLN,41,0.0,313
UTLR,40,0.0,313
UTO,34,0.0,240
UTT,42,0.0,313
UTVR,38,0.0,313
UTZL,39,0.0,313
VB,94,0.0,398
VD,76,0.0,299
VDL,187,0.0,257
VDM,215,0.0,335
VEM,68,0.0,299
VG,89,0.0,386
VH,95,0.0,348
VHP,122,0.0,264
VK,196,0.0,257
VL,116,0.0,155
VLB,86,0.0,102
VNDC,70,0.0,73
VNDW,69,0.0,73
VP,41,0.0,297
VRY,93,0.0,103
VS,225,0.0,537
VSS,224,0.0,510
VST,92,0.0,433
VSV,78,0.0,333
VTN,44,0.0,318
VZ,119,0.0,376
WAD,77,0.0,398
WADN,78,0.0,398
WADT,76,0.0,398
WC,63,0.0,296
WD,53,0.0,240
WDN,108,0.0,282
WF,27,0.0,39
WFM,212,0.0,337
WH,91,0.0,316
WK,215,0.0,260
WL,60,0.0,316
WM,77,0.0,536
WP,47,0.0,252
WR,242,0.0,346
WS,220,0.0,337
WSM,204,0.0,323
WT,145,0.0,451
WTV,40,0.0,298
WV,137,0.0,254
WW,99,0.0,352
WWW,100,0.0,352
WZ,73,0.0,253
YPB,90,0.0,316
ZA,57,0.0,310
ZB,207,0.0,331
ZBM,72,0.0,356
ZD,71,0.0,533
ZDK,74,0.0,536
ZH,200,0.0,322
ZL,82,0.0,240
ZLSH,87,0.0,254
ZLW,127,0.0,505
ZP,64,0.0,299
ZTM,85,0.0,313
ZTMO,84,0.0,398
ZV,49,0.0,296
ZVB,135,0.0,510
ZVT,88,0.0,549
ZWD,111,0.0,573
ZZS,74,0.0,536
