Station Code,Distance from MAS,Services from/to MAS,Disruptions on path to MAS
AC,17,11.0,33
AH,65,0.0,73
AHP,66,0.0,330
AHPR,68,0.0,332
AHZ,73,0.0,330
AKL,54,0.0,198
AKM,171,0.0,377
ALM,49,0.0,17
ALMB,55,0.0,148
ALMM,48,0.0,32
ALMO,57,0.0,148
ALMP,51,0.0,148
AMF,28,0.0,73
AMFS,31,0.0,313
AML,125,0.0,379
AMPO,46,0.0,32
AMR,71,0.0,299
AMRI,127,0.0,449
AMRN,72,0.0,374
ANA,101,0.0,385
APD,71,0.0,313
APDM,72,0.0,348
APDO,74,0.0,348
APG,234,0.0,407
APN,42,0.0,83
ARN,185,0.0,384
ASA,26,10.870967741935484,14
ASB,22,11.03225806451613,0
ASD,32,10.903225806451612,14
ASDL,39,0.0,293
ASDM,28,10.870967741935484,51
ASDZ,28,0.0,14
ASHD,23,11.0,14
ASN,172,0.0,327
ASS,36,7.258064516129032,272
ASSP,29,0.0,65
ATN,117,0.0,367
AVAT,34,0.0,319
BD,98,0.0,159
BDE,179,0.0,260
BDG,34,0.0,74
BDM,215,0.0,396
BDPB,103,0.0,482
BET,77,0.0,189
BF,219,0.0,396
BGN,133,0.0,353
BHDV,65,0.0,218
BHV,16,0.0,73
BK,172,0.0,260
BKF,90,0.0,357
BKG,89,0.0,353
BKL,5,46.67741935483871,0
BL,156,0.0,332
BLL,54,0.0,309
BMN,87,0.0,333
BMR,109,0.0,365
BN,134,0.0,449
BNC,47,0.0,314
BNK,15,41.0,73
BNN,44,0.0,313
BNZ,49,0.0,330
BP,213,0.0,344
BR,137,0.0,240
BRD,74,0.0,243
BRN,31,0.0,97
BSD,40,0.0,197
BSK,48,0.0,164
BSKS,49,0.0,187
BSMZ,30,0.0,74
BTL,67,0.0,146
BV,61,0.0,332
BZL,165,0.0,384
CAS,59,0.0,296
CK,99,0.0,362
CL,25,0.0,101
CO,149,0.0,347
CPS,52,0.0,158
CVM,189,0.0,277
DA,136,0.0,449
DB,19,41.0,73
DDN,129,0.0,363
DDR,82,0.0,231
DDRS,79,0.0,229
DDZD,83,0.0,348
DEI,193,0.0,344
DID,84,0.0,330
DL,106,0.0,327
DLD,19,0.0,93
DLN,153,0.0,361
DMN,31,0.0,65
DMNZ,26,0.0,17
DN,109,0.0,212
DR,81,0.0,330
DRH,59,0.0,328
DRON,98,0.0,162
DRP,200,0.0,358
DT,76,0.032258064516129,173
DTC,95,0.0,350
DTCH,93,0.0,350
DTCP,76,0.0,228
DV,86,0.0,313
DVC,90,0.0,379
DVD,24,10.870967741935484,14
DVN,74,0.0,332
DVNK,60,0.0,181
DWE,206,0.0,344
DZ,238,0.0,425
DZW,237,0.0,425
EC,152,0.0,257
ED,48,0.0,73
EDC,50,0.0,95
EDN,194,0.0,261
EEM,245,0.0,424
EGH,188,0.0,276
EGHM,189,0.0,276
EHS,86,0.0,265
EHV,87,0.0,146
EKZ,93,0.0,365
EML,51,0.0,316
EMN,169,0.0,362
EMNZ,165,0.0,361
ES,142,0.0,415
ESK,138,0.0,415
EST,76,0.0,330
ETN,109,0.0,482
FN,206,0.0,344
FWD,203,0.0,344
GBG,142,0.0,347
GD,39,0.0,73
GDG,36,0.0,73
GDM,33,0.0,154
GDR,100,0.0,367
GERP,198,0.0,380
GK,219,0.0,395
GLN,168,0.0,259
GN,200,0.0,380
GND,68,0.0,218
GNN,204,0.0,395
GO,119,0.0,355
GP,93,0.0,208
GR,59,0.0,216
GS,170,0.0,384
GV,68,0.032258064516129,158
GVC,67,0.0,158
GVM,68,0.0,266
GVMW,69,0.0,173
GW,176,0.0,334
GZ,88,0.0,161
HAD,55,0.0,309
HB,179,0.0,290
HBZM,71,0.0,228
HD,55,0.0,316
HDB,136,0.0,334
HDE,76,0.0,313
HDG,199,0.0,344
HDR,113,0.0,394
HDRZ,112,0.0,394
HFD,44,0.0,64
HGL,134,0.0,396
HGLG,132,0.0,396
HGLO,136,0.0,415
HGV,142,0.0,327
HGZ,211,0.0,403
HIL,62,0.0,349
HK,58,0.0,332
HKS,85,0.0,349
HLG,215,0.0,345
HLGH,216,0.0,349
HLM,51,0.0,272
HLMS,50,0.0,293
HLO,66,0.0,299
HM,100,0.0,208
HMBH,101,0.0,212
HMBV,97,0.0,208
HMH,99,0.0,208
HMN,64,0.0,200
HN,75,0.0,293
HNK,76,0.0,349
HNO,106,0.0,327
HNP,231,0.0,347
HON,105,0.0,379
HOR,19,0.0,73
HR,160,0.0,327
HRL,183,0.0,259
HRLW,185,0.0,276
HRN,194,0.0,380
HRT,127,0.0,240
HT,55,0.0,73
HTN,15,0.0,73
HTNC,16,0.0,101
HTO,56,0.0,146
HVL,34,0.0,313
HVS,25,0.0,73
HVSM,26,0.0,74
HVSP,24,0.0,73
HWD,78,0.0,375
HWZB,43,0.0,293
HZE,98,0.0,214
IJT,214,0.0,345
KBD,152,0.0,384
KBK,80,0.0,349
KLP,41,0.0,73
KMA,50,7.225806451612903,306
KMR,191,0.0,276
KMW,236,0.0,352
KPN,109,0.0,327
KPNZ,109,0.0,327
KRD,191,0.0,287
KRG,159,0.0,384
KTR,57,0.0,197
KW,208,0.0,401
KZ,44,7.225806451612903,296
LAA,68,0.0,187
LC,106,0.0,348
LDL,56,0.0,164
LDM,47,0.0,198
LEDN,57,0.032258064516129,171
LG,186,0.0,276
LLS,73,0.0,148
LLZM,52,0.0,158
LP,226,0.0,407
LTN,54,0.0,330
LTV,124,0.0,350
LUT,168,0.0,259
LW,189,0.0,327
LWC,192,0.0,344
MAS,0,0.0,0
MDB,189,0.0,384
MES,191,0.0,261
MG,199,0.0,344
MMLH,94,0.0,351
MP,122,0.0,327
MRB,128,0.0,334
MRN,27,35.96774193548387,105
MT,185,0.0,259
MTH,209,0.0,403
MTN,188,0.0,261
MTR,186,0.0,261
MZ,108,0.0,219
NDB,31,0.0,74
NH,176,0.0,290
NKK,39,0.0,313
NM,84,0.0,330
NMD,89,0.0,351
NMGO,87,0.0,351
NMH,87,0.0,351
NML,83,0.0,344
NS,67,0.0,313
NSCH,244,0.0,410
NVD,126,0.0,327
NVP,49,0.0,192
NWK,48,0.0,158
O,74,0.0,146
OBD,84,0.0,385
ODB,113,0.0,353
ODZ,145,0.0,415
OMN,117,0.0,334
OP,61,0.0,200
OST,96,0.0,379
OT,76,0.0,189
OTB,61,0.0,95
OVN,53,0.0,309
OW,73,0.0,149
PMO,57,0.0,294
PMR,56,0.0,293
PMW,55,0.0,296
PT,46,0.0,316
RAI,27,0.0,17
RAT,112,0.0,327
RB,149,0.0,384
RD,238,0.0,411
RH,75,0.0,333
RHN,50,35.96774193548387,108
RL,111,0.0,350
RLB,70,0.0,237
RM,139,0.0,208
RS,62,0.0,149
RSD,120,0.0,348
RSN,112,0.0,379
RSW,71,0.0,173
RTA,53,0.0,158
RTB,64,0.0,228
RTD,63,0.032258064516129,158
RTN,58,0.0,160
RTST,68,0.0,237
RTZ,67,0.0,237
RV,150,0.0,257
RVS,82,0.0,167
SBK,171,0.0,289
SD,27,0.0,97
SDA,227,0.0,401
SDM,67,0.0,228
SDT,72,0.0,228
SDTB,75,0.0,229
SGL,195,0.0,275
SGN,92,0.0,385
SHL,39,0.032258064516129,14
SK,211,0.0,344
SKND,210,0.0,344
SM,144,0.0,257
SN,173,0.0,290
SOG,193,0.0,276
SPTN,58,0.0,327
SPTZ,56,0.0,327
SRN,157,0.0,286
SSH,60,0.0,192
ST,26,0.0,97
STD,164,0.0,257
STM,222,0.0,407
STV,240,0.0,352
STZ,25,0.0,97
SWD,211,0.0,395
SWK,136,0.0,377
TB,77,0.0,146
TBG,101,0.0,367
TBR,82,0.0,159
TBU,78,0.0,159
TG,144,0.0,293
TL,45,0.0,197
TPSW,43,0.0,197
TWL,81,0.0,348
UHM,235,0.0,411
UHZ,232,0.0,411
UST,227,0.0,410
UT,7,46.193548387096776,0
UTG,55,7.225806451612903,331
UTLN,11,0.0,73
UTLR,10,0.0,73
UTO,10,0.0,73
UTT,12,0.0,73
UTVR,8,41.0,73
UTZL,5,46.193548387096776,0
VB,64,0.0,158
VD,101,0.0,348
VDL,187,0.0,276
VDM,227,0.0,408
VEM,85,0.0,350
VG,59,0.0,146
VH,65,0.0,181
VHP,134,0.0,337
VK,196,0.0,276
VL,139,0.0,292
VLB,116,0.0,393
VNDC,42,35.96774193548387,107
VNDW,41,35.96774193548387,107
VP,71,0.0,333
VRY,123,0.0,394
VS,195,0.0,386
VSS,194,0.0,386
VST,62,0.0,266
VSV,108,0.0,367
VTN,14,0.0,78
VZ,131,0.0,449
WAD,47,0.0,158
WADN,48,0.0,158
WADT,46,0.0,158
WC,89,0.0,170
WD,23,0.0,73
WDN,120,0.0,386
WF,57,0.0,95
WFM,224,0.0,410
WH,103,0.0,389
WK,227,0.0,347
WL,90,0.0,350
WM,48,7.225806451612903,296
WP,33,0.0,26
WR,254,0.0,419
WS,232,0.0,410
WSM,216,0.0,396
WT,115,0.0,208
WTV,70,0.0,332
WV,149,0.0,327
WW,129,0.0,386
WWW,130,0.0,386
WZ,85,0.0,326
YPB,60,0.0,158
ZA,67,0.0,200
ZB,219,0.0,404
ZBM,42,0.0,197
ZD,42,7.225806451612903,293
ZDK,45,0.0,296
ZH,212,0.0,395
ZL,94,0.0,313
ZLSH,99,0.0,327
ZLW,97,0.0,348
ZP,89,0.0,348
ZTM,55,0.0,158
ZTMO,54,0.0,158
ZV,79,0.0,330
ZVB,105,0.0,353
ZVT,59,0.0,310
ZWD,81,0.0,342
ZZS,45,7.225806451612903,296
