Station Code,Distance from VTN,Services from/to VTN,Disruptions on path to VTN
OTB,61,0.0,100
OVN,67,0.0,373
OW,73,0.0,151
PMO,71,0.0,336
PMR,70,0.0,357
PMW,69,0.0,360
PT,46,0.0,318
RAI,41,0.0,81
RAT,112,0.0,332
RB,136,0.0,278
RD,238,0.0,416
RH,75,0.0,336
RHN,50,0.0,113
RL,111,0.0,355
RLB,56,0.0,156
RM,139,0.0,216
RS,62,0.0,151
RSD,107,0.0,156
RSN,112,0.0,353
RSW,57,0.0,101
RTA,39,0.0,86
RTB,50,0.0,156
RTD,49,0.0,86
RTN,44,0.0,88
RTST,54,0.0,156
RTZ,53,0.0,156
RV,150,0.0,265
RVS,82,0.0,172
SBK,171,0.0,297
SD,27,0.0,102
SDA,227,0.0,406
SDM,53,0.0,156
SDT,72,0.0,152
SDTB,75,0.0,153
SGL,195,0.0,283
SGN,106,0.0,449
SHL,53,0.0,92
SK,211,0.0,335
SKND,210,0.0,335
SM,144,0.0,265
SN,173,0.0,298
SOG,193,0.0,284
SPTN,72,0.0,373
SPTZ,70,0.0,373
SRN,157,0.0,294
SSH,51,0.0,108
ST,26,0.0,102
STD,164,0.0,265
STM,222,0.0,412
STV,240,0.0,343
STZ,25,0.0,102
SWD,211,0.0,400
SWK,136,0.0,382
TB,77,0.0,151
TBG,101,0.0,372
TBR,82,0.0,164
TBU,78,0.0,164
TG,144,0.0,217
TL,45,35.225806451612904,121
TPSW,43,35.225806451612904,121
TWL,81,0.0,353
UHM,235,0.0,416
UHZ,232,0.0,416
UST,227,0.0,415
UT,7,50.74193548387097,5
UTG,69,0.0,395
UTLN,11,36.25806451612903,78
UTLR,4,50.74193548387097,5
UTO,10,0.0,78
UTT,2,50.74193548387097,0
UTVR,8,36.25806451612903,78
UTZL,9,0.0,78
VB,50,36.45161290322581,86
VD,101,0.0,353
VDL,187,0.0,284
VDM,227,0.0,413
VEM,85,0.0,355
VG,59,0.0,151
VH,51,0.0,108
VHP,134,0.0,342
VK,196,0.0,284
VL,139,0.0,216
VLB,116,0.0,398
VNDC,42,0.0,112
VNDW,41,0.0,112
VP,71,0.0,336
VRY,123,0.0,399
VS,182,0.0,188
VSS,181,0.0,161
VST,48,0.0,193
VSV,108,0.0,372
VTN,0,0.0,0
VZ,131,0.0,454
WAD,33,0.0,86
WADN,34,0.0,86
WADT,32,0.0,86
WC,89,0.0,175
WD,9,49.70967741935484,0
WDN,120,0.0,360
WF,57,0.0,100
WFM,224,0.0,415
WH,103,0.0,394
WK,227,0.0,338
WL,90,0.0,355
WM,62,0.0,360
WP,40,0.0,90
WR,254,0.0,424
WS,232,0.0,415
WSM,216,0.0,401
WT,115,0.0,216
WTV,70,0.0,337
WV,149,0.0,332
WW,129,0.0,391
WWW,130,0.0,391
WZ,85,0.0,331
YPB,46,36.45161290322581,89
ZA,67,0.0,124
ZB,219,0.0,409
ZBM,42,1.032258064516129,121
ZD,56,0.0,357
ZDK,59,0.0,360
ZH,212,0.0,400
ZL,94,0.0,318
ZLSH,99,0.0,332
ZLW,84,0.0,273
ZP,89,0.0,353
ZTM,41,28.032258064516128,86
ZTMO,40,36.45161290322581,86
ZV,79,0.0,335
ZVB,92,0.0,278
ZVT,73,0.0,373
ZWD,67,0.0,261
ZZS,59,0.0,360
