Station Code,Distance from ZA,Services from/to ZA,Disruptions on path to ZA
AC,84,0.0,236
AH,22,28.032258064516128,14
AHP,23,0.0,271
AHPR,25,0.0,273
AHZ,14,0.0,14
AKL,55,0.0,47
AKM,175,0.0,414
ALM,109,0.0,213
ALMB,115,0.0,344
ALMM,108,0.0,212
ALMO,117,0.0,344
ALMP,111,0.0,344
AMF,73,0.0,311
AMFS,76,0.0,551
AML,106,0.0,340
AMPO,106,0.0,212
AMR,138,0.0,485
AMRI,108,0.0,410
AMRN,139,0.0,560
ANA,168,0.0,571
APD,69,0.0,274
APDM,68,0.0,275
APDO,72,0.0,309
APG,238,0.0,444
APN,95,0.0,210
ARN,186,0.0,233
ASA,93,0.0,200
ASB,89,0.0,200
ASD,99,0.0,200
ASDL,106,0.0,479
ASDM,95,0.0,237
ASDZ,95,0.0,203
ASHD,90,0.0,214
ASN,176,0.0,364
ASS,103,0.0,458
ASSP,96,0.0,251
ATN,74,0.0,308
AVAT,79,0.0,557
BD,99,0.0,132
BDE,144,0.0,216
BDG,87,0.0,201
BDM,219,0.0,433
BDPB,104,0.0,455
BET,78,0.0,162
BF,223,0.0,433
BGN,134,0.0,202
BHDV,66,0.0,67
BHV,69,0.0,200
BK,137,0.0,216
BKF,157,0.0,543
BKG,156,0.0,539
BKL,72,0.0,203
BL,160,0.0,369
BLL,121,0.0,495
BMN,44,0.0,274
BMR,44,0.0,49
BN,101,0.0,341
BNC,54,0.0,294
BNK,66,0.0,127
BNN,57,0.0,310
BNZ,52,0.0,294
BP,217,0.0,381
BR,79,0.0,78
BRD,92,0.0,197
BRN,82,0.0,551
BSD,41,0.0,46
BSK,101,0.0,291
BSKS,102,0.0,314
BSMZ,83,0.0,201
BTL,68,0.0,119
BV,128,0.0,518
BZL,166,0.0,233
CAS,126,0.0,482
CK,34,0.0,46
CL,42,0.0,46
CO,146,0.0,427
CPS,105,0.0,285
CVM,154,0.0,233
DA,117,0.0,410
DB,68,0.0,293
DDN,91,0.0,289
DDR,83,0.0,80
DDRS,80,0.0,78
DDZD,84,0.0,197
DEI,197,0.0,381
DID,41,0.0,271
DL,110,0.0,364
DLD,72,0.0,220
DLN,150,0.0,441
DMN,98,0.0,251
DMNZ,93,0.0,203
DN,107,0.0,130
DR,38,0.0,271
