Station Code,Distance from DDRS,Services from/to DDRS,Disruptions on path to DDRS
AC,94,0.0,306
AH,102,0.0,92
AHP,103,0.0,349
AHPR,105,0.0,349
AHZ,94,0.0,92
AKL,25,32.16129032258065,13
AKM,236,0.0,452
ALM,121,0.0,161
ALMB,127,0.0,292
ALMM,120,0.0,160
ALMO,129,0.0,292
ALMP,123,0.0,292
AMF,93,0.0,148
AMFS,96,0.0,388
AML,186,0.0,418
AMPO,118,0.0,160
AMR,125,0.0,283
AMRI,188,0.0,488
AMRN,126,0.0,358
ANA,155,0.0,369
APD,136,0.0,388
APDM,137,0.0,423
APDO,139,0.0,423
APG,299,0.0,482
APN,65,0.0,295
ARN,106,0.0,122
ASA,103,0.0,286
ASB,99,0.0,272
ASD,109,0.0,262
ASDL,102,0.0,312
ASDM,105,0.0,286
ASDZ,101,0.0,312
ASHD,98,0.0,433
ASN,237,0.0,402
ASS,105,0.0,243
ASSP,106,0.0,300
ATN,154,0.0,386
AVAT,99,0.0,394
BD,33,0.0,117
BDE,183,0.0,553
BDG,73,0.0,376
BDM,280,0.0,471
BDPB,28,0.0,122
BET,81,0.0,496
BF,284,0.0,471
BGN,54,0.0,121
BHDV,14,57.193548387096776,11
BHV,81,0.0,148
BK,176,0.0,554
BKF,159,0.0,328
BKG,158,0.0,324
BKL,82,0.0,273
BL,221,0.0,402
BLL,93,0.0,243
BMN,124,0.0,352
BMR,124,0.0,127
BN,181,0.0,419
BNC,112,0.0,389
BNK,78,0.0,156
BNN,109,0.0,388
BNZ,114,0.0,405
BP,278,0.0,405
BR,141,0.0,534
BRD,12,0.0,117
BRN,96,0.0,172
BSD,39,32.16129032258065,31
BSK,59,0.0,272
BSKS,58,0.0,272
BSMZ,95,0.0,149
BTL,71,0.0,453
BV,103,0.0,245
BZL,86,0.0,152
CAS,113,0.0,280
CK,114,0.0,124
CL,54,0.0,75
CO,214,0.0,422
CPS,34,0.0,189
CVM,193,0.0,571
DA,197,0.0,488
DB,82,0.0,200
DDN,171,0.0,367
DDR,3,56.483870967741936,0
DDRS,0,0.0,0
DDZD,4,0.0,117
DEI,258,0.0,405
DID,121,0.0,349
DL,171,0.0,402
DLD,84,0.0,168
DLN,218,0.0,436
DMN,108,0.0,300
DMNZ,103,0.0,289
DN,113,0.0,506
DR,118,0.0,349
DRH,98,0.0,244
DRON,170,0.0,306
DRP,265,0.0,419
DT,37,0.0,117
DTC,132,0.0,369
DTCH,130,0.0,369
DTCP,36,0.0,187
DV,147,0.0,352
DVC,151,0.0,418
DVD,101,0.0,286
DVN,111,0.0,351
DVNK,58,0.0,236
DWE,271,0.0,405
DZ,303,0.0,500
DZW,302,0.0,500
EC,156,0.0,551
ED,111,0.0,232
EDC,113,0.0,254
EDN,198,0.0,555
EEM,310,0.0,499
EGH,192,0.0,570
EGHM,193,0.0,570
EHS,90,0.0,572
EHV,91,0.0,440
EKZ,162,0.0,336
EML,116,0.0,388
EMN,234,0.0,437
EMNZ,230,0.0,436
ES,184,0.0,419
ESK,180,0.0,419
EST,91,0.0,78
ETN,44,0.0,440
FN,271,0.0,405
FWD,268,0.0,405
GBG,207,0.0,422
GD,47,0.0,187
GDG,50,0.0,272
GDM,46,32.16129032258065,32
GDR,137,0.0,386
GERP,263,0.0,455
GK,284,0.0,470
GLN,172,0.0,553
GN,265,0.0,455
GND,11,57.2258064516129,1
GNN,269,0.0,470
GO,161,0.0,359
GP,97,0.0,502
GR,20,57.2258064516129,11
GS,91,0.0,122
GV,45,0.0,218
GVC,46,0.0,233
GVM,50,0.0,233
GVMW,44,0.0,218
GW,241,0.0,459
GZ,43,0.0,440
HAD,86,0.0,243
HB,183,0.0,584
HBZM,8,33.96774193548387,1
HD,120,0.0,391
HDB,201,0.0,409
HDE,141,0.0,388
HDG,264,0.0,405
HDR,167,0.0,378
HDRZ,166,0.0,378
HFD,85,0.0,233
HGL,176,0.0,400
HGLG,174,0.0,400
HGLO,178,0.0,419
HGV,207,0.0,402
HGZ,276,0.0,478
HIL,79,0.0,243
HK,106,0.0,263
HKS,154,0.0,320
HLG,280,0.0,406
