Station Code,Distance from RD,Services from/to RD,Disruptions on path to RD
AC,255,0.0,396
AH,220,0.0,129
AHP,219,0.0,133
AHPR,217,0.0,132
AHZ,228,0.0,386
AKL,278,0.0,407
AKM,110,0.0,50
ALM,225,0.0,50
ALMB,219,0.0,50
ALMM,226,0.0,181
ALMO,217,0.0,50
ALMP,223,0.0,55
AMF,210,0.0,50
AMFS,207,0.0,50
AML,189,0.0,71
AMPO,228,0.0,182
AMR,294,0.0,335
AMRI,191,0.0,141
AMRN,295,0.0,410
ANA,324,0.0,421
APD,190,0.0,50
APDM,191,0.0,85
APDO,187,0.0,126
APG,50,0.0,27
APN,266,0.0,300
ARN,409,0.0,560
ASA,252,0.0,184
ASB,252,0.0,184
ASD,255,0.0,50
ASDL,262,0.0,308
ASDM,251,0.0,290
ASDZ,254,0.0,181
ASHD,253,0.0,198
ASN,66,0.0,31
ASS,259,0.0,308
ASSP,250,0.0,189
ATN,248,0.0,140
AVAT,204,0.0,56
BD,322,0.0,449
BDE,364,0.0,587
BDG,258,0.0,291
BDM,31,0.0,16
BDPB,327,0.0,772
BET,301,0.0,363
BF,19,34.03225806451613,1
BGN,357,0.0,559
BHDV,289,0.0,427
BHV,222,0.0,294
BK,357,0.0,588
BKF,313,0.0,393
BKG,312,0.0,389
BKL,243,0.0,363
BL,82,0.0,84
BLL,277,0.0,345
BMN,198,0.0,126
BMR,264,0.0,421
BN,198,0.0,141
BNC,229,0.0,291
BNK,239,0.0,363
BNN,226,0.0,290
BNZ,231,0.0,307
BP,68,0.0,31
BR,299,0.0,450
BRD,298,0.0,524
BRN,219,0.0,290
BSD,264,0.0,406
BSK,272,0.0,381
BSKS,273,0.0,404
BSMZ,231,0.0,51
BTL,291,0.0,436
BV,284,0.0,329
BZL,389,0.0,590
CAS,282,0.0,332
CK,254,0.0,418
CL,249,0.0,391
CO,199,0.0,70
CPS,276,0.0,448
CVM,374,0.0,605
DA,186,0.0,60
DB,243,0.0,363
DDN,208,0.0,160
DDR,306,0.0,438
DDRS,303,0.0,438
DDZD,307,0.0,555
DEI,96,0.0,48
DID,237,0.0,138
DL,156,0.0,50
DLD,219,0.0,290
DLN,203,0.0,84
DMN,248,0.0,188
DMNZ,248,0.0,51
DN,327,0.0,502
DR,204,0.0,126
DRH,282,0.0,346
DRON,176,0.0,50
DRP,103,0.0,62
DT,300,0.1290322580645161,0
DTC,248,0.0,158
DTCH,246,0.0,158
DTCP,300,0.0,518
DV,175,0.0,60
DVC,179,0.0,126
DVD,250,0.0,181
DVN,227,0.0,135
DVNK,284,0.0,398
DWE,75,0.0,54
DZ,54,0.0,45
DZW,53,0.0,45
EC,337,0.0,585
ED,237,0.0,386
EDC,239,0.0,408
EDN,379,0.0,589
EEM,7,4.774193548387097,0
EGH,373,0.0,604
EGHM,374,0.0,604
EHS,310,0.0,439
EHV,311,0.0,439
EKZ,316,0.0,401
EML,187,0.0,53
EMN,219,0.0,85
EMNZ,215,0.0,84
ES,211,0.0,160
ESK,207,0.0,160
EST,231,0.0,386
ETN,333,0.0,772
FN,109,0.0,48
FWD,78,0.0,31
GBG,192,0.0,70
GD,263,0.0,363
GDG,260,0.0,363
