Station Code,Distance from BTL,Services from/to BTL,Disruptions on path to BTL
OBD,151,0.0,425
ODB,69,0.0,341
ODZ,159,0.0,424
OMN,170,0.0,407
OP,62,0.0,119
OST,129,0.0,423
OT,9,30.32258064516129,0
OTB,78,0.0,354
OVN,120,0.0,441
OW,30,0.935483870967742,73
PMO,124,0.0,404
PMR,123,0.0,425
PMW,122,0.0,428
PT,99,0.0,386
RAI,94,0.0,149
RAT,165,0.0,400
RB,91,0.0,372
RD,291,0.0,484
RH,84,0.0,355
RHN,101,0.0,276
RL,125,0.0,359
RLB,81,0.0,552
RM,72,0.064516129032258,0
RS,19,0.935483870967742,73
RSD,62,0.0,336
RSN,145,0.0,357
RSW,107,0.0,554
RTA,98,0.0,406
RTB,87,0.0,453
RTD,88,0.064516129032258,336
RTN,93,0.0,406
RTST,83,0.0,453
RTZ,84,0.0,336
RV,83,0.0,49
RVS,39,0.0,94
SBK,104,0.0,81
SD,80,0.0,170
SDA,280,0.0,474
SDM,92,0.0,406
SDT,73,0.0,147
SDTB,75,0.0,453
SGL,128,0.0,67
SGN,159,0.0,517
SHL,106,0.064516129032258,160
SK,264,0.0,403
SKND,263,0.0,403
SM,77,0.0,49
SN,106,0.0,82
SOG,126,0.0,68
SPTN,125,0.0,441
SPTZ,123,0.0,441
SRN,90,0.0,78
SSH,118,0.0,254
ST,79,0.0,170
STD,97,0.064516129032258,49
STM,275,0.0,480
STV,293,0.0,411
STZ,78,0.0,170
SWD,264,0.0,468
SWK,189,0.0,450
TB,17,30.35483870967742,0
TBG,110,0.0,391
TBR,22,0.0,13
TBU,18,30.29032258064516,13
TG,77,0.0,63
TL,46,0.0,116
TPSW,44,0.0,116
TWL,124,0.0,423
UHM,288,0.0,484
UHZ,285,0.0,484
UST,280,0.0,483
UT,60,0.1290322580645161,73
UTG,122,0.0,463
UTLN,56,0.0,197
UTLR,63,0.0,146
UTO,63,0.0,146
UTT,65,0.0,146
UTVR,59,0.0,197
UTZL,62,0.0,146
VB,114,0.0,598
VD,115,0.0,357
VDL,120,0.0,68
VDM,280,0.0,481
VEM,107,0.0,357
VG,8,30.93548387096774,0
VH,118,0.0,254
VHP,171,0.0,494
VK,129,0.0,68
VL,72,0.032258064516129,62
VLB,87,0.0,157
VNDC,93,0.0,275
VNDW,92,0.0,275
VP,80,0.0,355
VRY,91,0.0,84
VS,137,0.0,368
VSS,136,0.0,341
VST,115,0.0,339
