Station Code,Distance from RL,Services from/to RL,Disruptions on path to RL
PMW,151,0.0,573
PT,101,0.0,277
RAI,126,0.0,281
RAT,87,0.0,92
RB,209,0.0,749
RD,213,0.0,176
RH,41,0.0,5
RHN,128,0.0,319
RL,0,0.0,0
RLB,167,0.0,505
RM,155,0.0,412
RS,106,0.0,304
RSD,180,0.0,713
RSN,64,0.0,2
RSW,168,0.0,450
RTA,150,0.0,435
RTB,161,0.0,505
RTD,160,0.0,435
RTN,155,0.0,437
RTST,165,0.0,505
RTZ,164,0.0,505
RV,144,0.0,398
RVS,86,0.0,262
SBK,187,0.0,493
SD,96,0.0,291
SDA,202,0.0,166
SDM,164,0.0,505
SDT,146,0.0,353
SDTB,149,0.0,354
SGL,211,0.0,479
SGN,188,0.0,662
SHL,138,0.0,352
SK,186,0.0,109
SKND,185,0.0,109
SM,150,0.0,412
SN,189,0.0,494
SOG,209,0.0,480
SPTN,154,0.0,586
SPTZ,152,0.0,586
SRN,173,0.0,490
SSH,159,0.0,480
ST,97,0.0,291
STD,180,0.0,461
STM,197,0.0,172
STV,215,0.0,117
STZ,98,0.0,281
SWD,186,0.0,160
SWK,111,0.0,142
TB,135,0.0,377
TBG,51,0.0,31
TBR,140,0.0,390
TBU,136,0.0,390
TG,137,0.0,379
TL,95,0.0,279
TPSW,97,0.0,279
TWL,43,0.0,68
UHM,210,0.0,176
UHZ,207,0.0,176
UST,202,0.0,175
UT,104,0.0,277
UTG,151,0.0,608
UTLN,108,0.0,350
UTLR,107,0.0,350
UTO,101,0.0,277
UTT,109,0.0,350
UTVR,105,0.0,350
UTZL,106,0.0,350
VB,161,0.0,435
VD,10,33.25806451612903,0
VDL,203,0.0,480
VDM,202,0.0,173
VEM,26,1.0,2
VG,117,0.0,377
VH,162,0.0,385
VHP,90,0.0,139
VK,212,0.0,480
VL,132,0.0,378
VLB,102,0.0,325
VNDC,120,0.0,318
VNDW,119,0.0,318
VP,45,0.0,8
VRY,109,0.0,326
VS,255,0.0,745
VSS,254,0.0,718
VST,159,0.0,470
VSV,44,0.0,31
VTN,111,0.0,355
VZ,83,0.0,138
WAD,144,0.0,435
WADN,145,0.0,435
WADT,143,0.0,435
WC,79,0.0,262
WD,120,0.0,277
WDN,72,0.0,9
WF,59,0.0,262
WFM,199,0.0,175
WH,55,0.0,78
WK,202,0.0,112
WL,62,0.0,48
WM,144,0.0,573
WP,114,0.0,289
WR,229,0.0,184
WS,207,0.0,175
WSM,191,0.0,161
WT,173,0.0,420
WTV,54,0.0,11
WV,124,0.0,92
WW,23,32.516129032258064,12
WWW,22,32.516129032258064,12
WZ,78,0.0,92
YPB,157,0.0,353
ZA,73,0.0,276
ZB,194,0.0,169
ZBM,116,0.0,322
ZD,138,0.0,570
ZDK,141,0.0,573
ZH,187,0.0,160
ZL,69,0.0,78
ZLSH,74,0.0,92
ZLW,171,0.0,731
ZP,22,33.25806451612903,2
ZTM,152,0.0,350
ZTMO,151,0.0,435
ZV,63,0.0,14
ZVB,179,0.0,736
ZVT,155,0.0,586
ZWD,158,0.0,471
ZZS,141,0.0,573
