Station Code,Distance from DR,Services from/to DR,Disruptions on path to DR
DTCP,143,0.0,485
DV,29,34.41935483870968,0
DVC,33,0.0,66
DVD,105,0.0,330
DVN,23,0.0,6
DVNK,127,0.0,438
DWE,172,0.0,107
DZ,204,0.0,188
DZW,203,0.0,188
EC,133,0.0,456
ED,33,0.0,257
EDC,35,0.0,279
EDN,175,0.0,460
EEM,211,0.0,187
EGH,169,0.0,475
EGHM,170,0.0,475
EHS,109,0.0,491
EHV,110,0.0,372
EKZ,173,0.0,889
EML,90,0.0,540
EMN,128,0.0,168
EMNZ,124,0.0,167
ES,66,0.0,67
ESK,62,0.0,67
EST,27,31.774193548387096,257
ETN,132,34.45161290322581,708
FN,172,0.0,107
FWD,169,0.0,107
GBG,101,0.0,153
GD,106,0.0,330
GDG,103,0.0,330
GDM,72,0.0,274
GDR,0,0.0,0
GERP,164,0.0,143
GK,185,0.0,158
GLN,149,0.0,458
GN,166,0.0,143
GND,107,0.0,338
GNN,170,0.0,158
GO,43,0.0,7
GP,116,0.0,434
GR,98,0.0,336
GS,195,0.0,744
GV,135,0.0,415
GVC,134,0.0,415
GVM,135,0.0,523
GVMW,136,0.0,430
GW,142,0.0,147
GZ,111,0.2258064516129032,387
HAD,135,0.0,833
HB,160,0.0,489
HBZM,110,0.0,348
HD,94,0.0,540
HDB,95,0.0,140
HDE,78,0.0,90
HDG,165,0.0,107
HDR,0,0.0,0
HDRZ,192,0.0,918
HFD,125,0.0,394
HGL,58,0.0,48
HGLG,56,0.0,48
HGLO,60,0.0,67
HGV,108,0.0,90
HGZ,177,0.0,166
HIL,142,0.0,438
HK,138,0.0,856
HKS,165,0.0,873
HLG,181,0.0,108
HLGH,182,0.0,112
HLM,131,0.0,796
HLMS,130,0.0,817
HLO,146,0.0,823
HM,123,0.0,434
HMBH,124,0.0,438
HMBV,120,0.0,434
HMH,122,0.0,434
HMN,41,0.0,271
HN,155,0.0,817
HNK,156,0.0,873
HNO,72,0.0,90
HNP,197,0.0,110
HON,48,0.0,66
HOR,86,0.0,330
HR,126,0.0,90
HRL,164,0.0,458
HRLW,166,0.0,475
HRN,160,0.0,143
HRT,105,0.0,373
HT,78,34.483870967741936,299
HTN,80,0.0,355
HTNC,81,0.0,383
HTO,77,0.0,299
HVL,61,0.0,297
HVS,83,0.0,537
HVSM,84,0.0,538
HVSP,84,0.0,538
HWD,158,0.0,899
HWZB,123,0.0,817
HZE,121,0.0,440
IJT,180,0.0,108
KBD,177,0.0,744
KBK,22,0.0,0
KLP,40,0.0,279
KMA,130,0.0,830
KMR,172,0.0,475
KMW,202,0.0,115
KPN,75,0.0,90
KPNZ,75,0.0,90
KRD,172,0.0,486
KRG,184,0.0,744
KTR,48,0.0,271
KW,174,0.0,164
KZ,124,0.0,820
LAA,135,0.0,444
LC,30,0.0,0
LDL,123,0.0,421
LDM,86,0.0,318
LEDN,124,0.0,428
LG,167,0.0,475
LLS,117,0.0,90
LLZM,119,0.0,415
LP,192,0.0,170
LTN,41,0.0,280
LTV,48,0.0,2
LUT,149,0.0,458
LW,155,0.0,90
LWC,158,0.0,107
MAS,81,0.0,330
MDB,214,0.0,744
MES,172,0.0,460
MG,165,0.0,107
MMLH,45,0.0,278
MP,88,0.0,90
MRB,87,0.0,137
MRN,70,0.0,311
MT,166,0.0,458
MTH,175,0.0,166
MTN,169,0.0,460
MTR,167,0.0,460
MZ,131,0.0,445
