Station Code,Distance from DWE,Services from/to DWE,Disruptions on path to DWE
KW,49,0.0,59
KZ,235,0.0,313
LAA,260,0.0,362
LC,176,0.0,107
LDL,248,0.0,348
LDM,239,0.0,374
LEDN,249,0.0,355
LG,339,0.0,585
LLS,169,0.0,17
LLZM,244,0.0,415
LP,63,0.0,50
LTN,204,0.0,274
LTV,194,0.0,109
LUT,321,0.0,568
LW,17,31.451612903225808,0
LWC,14,31.451612903225808,10
MAS,206,0.0,330
MDB,381,0.0,554
MES,344,0.0,570
MG,27,0.0,17
MMLH,217,0.0,388
MP,84,0.0,24
MRB,146,0.0,38
MRN,219,0.0,362
MT,338,0.0,568
MTH,50,0.0,61
MTN,341,0.0,570
MTR,339,0.0,570
MZ,300,0.0,479
NDB,200,0.0,32
NH,329,0.0,599
NKK,167,0.0,34
NM,207,0.0,367
NMD,212,0.0,388
NMGO,210,0.0,388
NMH,210,0.0,388
NML,206,0.0,381
NS,139,0.0,31
NSCH,85,0.0,68
NVD,144,0.0,40
NVP,243,0.0,234
NWK,240,0.0,415
O,231,0.0,388
OBD,275,0.0,310
ODB,305,0.0,527
ODZ,182,0.0,141
OMN,135,0.0,38
OP,216,0.0,381
OST,133,0.0,31
OT,268,0.0,446
OTB,192,0.0,367
OVN,244,0.0,326
OW,232,0.0,409
PMO,248,0.0,289
PMR,247,0.0,310
PMW,246,0.0,313
PT,160,0.0,31
RAI,221,0.0,35
RAT,130,0.0,31
RB,341,0.0,527
RD,75,0.0,54
RH,178,0.0,110
RHN,242,0.0,365
RL,181,0.0,109
RLB,262,0.0,485
RM,292,0.0,517
RS,243,0.0,409
RSD,312,0.0,522
RSN,160,0.0,52
RSW,263,0.0,430
RTA,245,0.0,415
RTB,256,0.0,485
RTD,255,0.0,415
RTN,250,0.0,417
RTST,260,0.0,485
RTZ,259,0.0,485
RV,281,0.0,503
RVS,223,0.0,367
SBK,324,0.0,598
SD,191,0.0,271
SDA,68,0.0,59
SDM,259,0.0,485
SDT,264,0.0,404
SDTB,267,0.0,405
SGL,348,0.0,584
SGN,283,0.0,402
SHL,233,0.0,106
SK,39,0.0,17
SKND,38,0.0,17
SM,287,0.0,517
SN,326,0.0,599
SOG,346,0.0,585
SPTN,249,0.0,326
SPTZ,247,0.0,326
SRN,310,0.0,595
SSH,254,0.0,234
ST,192,0.0,271
STD,317,0.0,566
STM,59,0.0,50
STV,68,0.0,25
STZ,193,0.0,261
SWD,48,0.0,38
SWK,70,0.0,17
TB,269,0.0,403
TBG,222,0.0,156
TBR,274,0.0,416
TBU,270,0.0,416
TG,274,0.0,484
TL,232,0.0,384
TPSW,234,0.0,384
TWL,148,0.0,107
UHM,72,0.0,54
UHZ,69,0.0,54
UST,64,0.0,53
UT,199,0.0,257
UTG,246,0.0,348
UTLN,203,0.0,330
UTLR,202,0.0,330
UTO,196,0.0,257
UTT,204,0.0,330
UTVR,200,0.0,330
UTZL,201,0.0,330
VB,256,0.0,415
VD,171,0.0,107
VDL,340,0.0,585
VDM,68,0.0,66
VEM,163,0.0,107
VG,251,0.0,403
VH,257,0.0,365
VHP,152,0.0,41
VK,349,0.0,585
VL,269,0.0,483
VLB,239,0.0,430
VNDC,234,0.0,364
VNDW,233,0.0,364
VP,182,0.0,113
VRY,246,0.0,431
VS,387,0.0,554
VSS,386,0.0,527
VST,254,0.0,450
VSV,225,0.0,140
VTN,206,0.0,335
VZ,159,0.0,42
WAD,239,0.0,415
WADN,240,0.0,415
WADT,238,0.0,415
WC,216,0.0,367
WD,215,0.0,257
WDN,152,0.0,52
WF,196,0.0,367
WFM,61,0.0,53
WH,126,0.0,31
WK,55,0.0,20
WL,211,0.0,139
WM,239,0.0,313
WP,209,0.0,43
WR,95,0.0,77
WS,73,0.0,68
WSM,53,0.0,39
WT,307,0.0,468
WTV,191,0.0,116
WV,57,0.0,17
WW,204,0.0,121
WWW,203,0.0,121
WZ,121,0.0,31
YPB,252,0.0,333
ZA,210,0.0,381
ZB,60,0.0,62
ZBM,234,0.0,373
ZD,233,0.0,310
ZDK,236,0.0,313
ZH,25,31.451612903225808,24
ZL,112,0.0,17
ZLSH,117,0.0,31
ZLW,289,0.0,522
ZP,159,0.0,107
ZTM,247,0.0,330
ZTMO,246,0.0,415
ZV,200,0.0,119
ZVB,297,0.0,527
ZVT,250,0.0,326
ZWD,273,0.0,590
ZZS,236,0.0,313
