Station Code,Distance from AC,Services from/to AC,Disruptions on path to AC
SPTN,41,0.0,327
SPTZ,39,0.0,327
SRN,174,0.0,322
SSH,43,0.0,192
ST,43,0.0,32
STD,181,0.0,293
STM,239,0.0,443
STV,257,0.0,388
STZ,42,0.0,133
SWD,228,0.0,431
SWK,153,0.0,413
TB,94,0.0,182
TBG,118,0.0,403
TBR,99,0.0,195
TBU,95,0.0,195
TG,161,0.0,329
TL,62,0.0,233
TPSW,60,0.0,233
TWL,98,0.0,384
UHM,252,0.0,447
UHZ,249,0.0,447
UST,244,0.0,446
UT,24,10.225806451612904,36
UTG,38,43.41935483870968,331
UTLN,28,0.0,109
UTLR,27,0.0,109
UTO,27,0.0,109
UTT,29,0.0,109
UTVR,25,6.580645161290323,109
UTZL,22,10.225806451612904,36
VB,69,0.0,93
VD,118,0.0,384
VDL,204,0.0,312
VDM,244,0.0,444
VEM,102,0.0,386
VG,76,0.0,182
VH,55,0.0,352
VHP,151,0.0,373
VK,213,0.0,312
VL,156,0.0,328
VLB,133,0.0,429
VNDC,59,1.5483870967741935,143
VNDW,58,1.5483870967741935,143
VP,88,0.0,369
VRY,140,0.0,430
VS,204,0.0,235
VSS,203,0.0,235
VST,56,0.0,159
VSV,125,0.0,403
VTN,31,0.0,114
VZ,148,0.0,485
WAD,55,0.0,127
WADN,56,0.0,127
WADT,54,0.0,127
WC,106,0.0,206
WD,31,36.483870967741936,33
WDN,137,0.0,422
WF,74,0.0,131
WFM,241,0.0,446
WH,120,0.0,425
WK,244,0.0,383
WL,107,0.0,386
WM,31,43.41935483870968,296
WP,16,0.032258064516129,0
WR,271,0.0,455
WS,249,0.0,446
WSM,233,0.0,432
WT,132,0.0,244
WTV,87,0.0,368
WV,166,0.0,363
WW,146,0.0,422
WWW,147,0.0,422
WZ,102,0.0,362
YPB,68,0.0,127
ZA,84,0.0,236
ZB,236,0.0,440
ZBM,59,0.0,233
ZD,25,43.41935483870968,293
ZDK,28,0.0,296
ZH,229,0.0,431
ZL,111,0.0,349
ZLSH,116,0.0,363
ZLW,106,0.0,314
ZP,106,0.0,384
ZTM,63,0.0,127
ZTMO,62,0.0,127
ZV,96,0.0,366
ZVB,114,0.0,319
ZVT,42,0.0,310
ZWD,89,0.0,311
ZZS,28,43.41935483870968,296
