Station Code,Distance from OP,Services from/to OP,Disruptions on path to OP
PMO,118,0.0,377
PMR,117,0.0,398
PMW,116,0.0,401
PT,93,0.0,359
RAI,88,0.0,122
RAT,122,0.0,364
RB,144,0.0,200
RD,248,0.0,448
RH,38,0.0,272
RHN,95,0.0,206
RL,79,0.0,276
RLB,90,0.0,294
RM,110,0.0,164
RS,57,0.0,119
RSD,115,0.0,195
RSN,99,0.0,274
RSW,116,0.0,296
RTA,100,0.0,204
RTB,96,0.0,195
RTD,97,0.0,195
RTN,102,0.0,265
RTST,92,0.0,195
RTZ,93,0.0,195
RV,99,0.0,150
RVS,41,0.0,35
SBK,142,0.0,245
SD,74,0.0,143
SDA,237,0.0,438
SDM,101,0.0,265
SDT,67,0.0,77
SDTB,70,0.0,78
SGL,166,0.0,231
SGN,153,0.0,490
SHL,100,0.0,60
SK,221,0.0,381
SKND,220,0.0,381
SM,105,0.0,164
SN,144,0.0,246
SOG,164,0.0,232
SPTN,119,0.0,414
SPTZ,117,0.0,414
SRN,128,0.0,242
SSH,112,0.0,227
ST,73,0.0,143
STD,135,0.0,213
STM,232,0.0,444
STV,250,0.0,389
STZ,72,0.0,143
SWD,221,0.0,432
SWK,146,0.0,414
TB,72,0.0,119
TBG,64,0.0,308
TBR,77,0.0,132
TBU,73,0.0,132
TG,92,0.0,131
TL,16,28.032258064516128,3
TPSW,18,0.0,3
TWL,78,0.0,340
UHM,245,0.0,448
UHZ,242,0.0,448
UST,237,0.0,447
UT,54,0.0,46
UTG,116,0.0,436
UTLN,50,0.0,127
UTLR,57,0.0,119
UTO,57,0.0,119
UTT,59,0.0,119
UTVR,53,0.0,127
UTZL,56,0.0,119
VB,111,0.0,204
VD,69,0.0,274
VDL,158,0.0,232
VDM,237,0.0,445
VEM,61,0.0,274
VG,54,0.0,119
VH,112,0.0,227
VHP,125,0.0,411
VK,167,0.0,232
VL,87,0.0,130
VLB,57,0.0,77
VNDC,87,0.0,205
VNDW,86,0.0,205
VP,34,0.0,272
VRY,64,0.0,78
VS,190,0.0,227
VSS,189,0.0,200
VST,109,0.0,312
VSV,71,0.0,308
VTN,61,0.0,124
VZ,118,0.0,410
WAD,94,0.0,204
WADN,95,0.0,204
WADT,93,0.0,204
