Station Code,Distance from FN,Services from/to FN,Disruptions on path to FN
VTN,206,0.0,335
VZ,159,0.0,42
WAD,239,0.0,415
WADN,240,0.0,415
WADT,238,0.0,415
WC,216,0.0,367
WD,215,0.0,257
WDN,152,0.0,52
WF,196,0.0,367
WFM,95,0.0,47
WH,126,0.0,31
WK,55,0.0,20
WL,211,0.0,139
WM,239,0.0,313
WP,209,0.0,43
WR,129,0.0,71
WS,107,0.0,62
WSM,87,0.0,33
WT,307,0.0,468
WTV,191,0.0,116
WV,57,0.0,17
WW,204,0.0,121
WWW,203,0.0,121
WZ,121,0.0,31
YPB,252,0.0,333
ZA,210,0.0,381
ZB,94,0.0,56
ZBM,234,0.0,373
ZD,233,0.0,310
ZDK,236,0.0,313
ZH,59,0.0,17
ZL,112,0.0,17
ZLSH,117,0.0,31
ZLW,289,0.0,522
ZP,159,0.0,107
ZTM,247,0.0,330
ZTMO,246,0.0,415
ZV,200,0.0,119
ZVB,297,0.0,527
ZVT,250,0.0,326
ZWD,273,0.0,590
ZZS,236,0.0,313
