Station Code,Distance from DMN,Services from/to DMN,Disruptions on path to DMN
LW,199,0.0,258
LWC,202,0.0,275
MAS,31,0.0,28
MDB,212,0.0,215
MES,222,0.0,343
MG,209,0.0,275
MMLH,118,0.0,319
MP,132,0.0,32
MRB,138,0.0,39
MRN,58,0.0,60
MT,216,0.0,341
MTH,219,0.0,108
MTN,219,0.0,343
MTR,217,0.0,343
MZ,139,0.0,320
NDB,16,38.2258064516129,6
NH,207,0.0,372
NKK,49,0.0,258
NM,108,0.0,298
NMD,113,0.0,319
NMGO,111,0.0,319
NMH,111,0.0,319
NML,107,0.0,569
NS,77,0.0,258
NSCH,254,0.0,115
NVD,136,0.0,41
NVP,32,33.38709677419355,104
NWK,70,0.0,113
O,105,0.0,247
OBD,59,0.0,279
ODB,136,0.0,305
ODZ,155,0.0,360
OMN,127,0.0,39
OP,92,0.0,74
OST,106,0.0,324
OT,107,0.0,290
OTB,85,0.0,298
OVN,28,0.0,295
OW,104,0.0,247
PMO,32,0.0,258
PMR,31,0.0,279
PMW,30,0.0,282
PT,56,0.0,258
RAI,10,0.0,54
RAT,122,0.0,32
RB,172,0.0,305
RD,248,0.0,116
RH,99,0.0,556
RHN,81,0.0,63
RL,121,0.0,295
RLB,92,0.0,183
RM,170,0.0,290
RS,93,0.0,247
RSD,143,0.0,183
RSN,122,0.0,293
RSW,70,0.0,133
RTA,75,0.0,113
RTB,86,0.0,183
RTD,85,0.0,113
RTN,80,0.0,115
RTST,90,0.0,183
RTZ,89,0.0,183
RV,181,0.0,339
RVS,113,0.0,268
SBK,202,0.0,371
SD,33,0.0,32
SDA,237,0.0,106
SDM,85,0.0,234
SDT,103,0.0,102
SDTB,106,0.0,103
SGL,226,0.0,357
SGN,67,0.0,371
SHL,22,53.774193548387096,54
SK,221,0.0,275
SKND,220,0.0,275
SM,175,0.0,339
SN,204,0.0,372
SOG,224,0.0,358
SPTN,33,0.0,295
SPTZ,31,0.0,295
SRN,188,0.0,368
SSH,43,33.38709677419355,104
ST,34,0.0,32
STD,195,0.0,339
STM,232,0.0,112
STV,250,0.0,283
STZ,35,0.0,32
SWD,221,0.0,100
SWK,146,0.0,82
TB,108,0.0,247
TBG,125,0.0,592
TBR,113,0.0,260
TBU,109,0.0,260
TG,175,0.0,248
TL,76,0.0,71
TPSW,74,0.0,71
TWL,91,0.0,293
UHM,245,0.0,116
UHZ,242,0.0,116
UST,237,0.0,115
UT,38,0.0,51
UTG,30,0.0,317
UTLN,42,0.0,124
UTLR,41,0.0,124
UTO,37,0.0,18
UTT,43,0.0,124
UTVR,39,0.0,124
UTZL,36,0.0,31
VB,69,0.0,133
VD,111,0.0,293
VDL,218,0.0,358
VDM,237,0.0,113
VEM,95,0.0,295
VG,90,0.0,247
VH,47,0.0,279
VHP,144,0.0,42
VK,227,0.0,358
VL,170,0.0,247
VLB,140,0.0,361
VNDC,73,0.0,62
VNDW,72,0.0,62
VP,95,0.0,556
VRY,147,0.0,362
VS,218,0.0,215
VSS,217,0.0,188
VST,56,18.32258064516129,199
VSV,132,0.0,592
VTN,45,0.0,129
VZ,141,0.0,394
WAD,69,0.0,113
WADN,70,0.0,113
WADT,68,0.0,113
WC,117,0.0,555
WD,45,0.0,28
WDN,130,0.0,300
WF,81,0.0,298
WFM,234,0.0,115
WH,113,0.0,334
WK,237,0.0,278
